state_fips,state,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,federal_induced,n_controls,controls,n_controls_strict,controls_strict,event_id
2,Alaska,1996-10,4.75,5.25,5.65,0.10526315789473695,0.18947368421052646,2,0,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,1
2,Alaska,2003-01,5.65,7.15,7.15,0.2654867256637168,0.2654867256637168,1,0,29,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56,29,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56,2
2,Alaska,2010-01,7.25,7.75,7.75,0.06896551724137923,0.06896551724137923,1,0,24,1 5 9 13 16 18 20 22 23 26 28 31 34 38 40 44 45 46 47 48 49 50 51 56,6,9 23 26 34 44 50,3
2,Alaska,2015-01,7.75,8.75,9.84,0.12903225806451624,0.2696774193548388,2,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,4
2,Alaska,2024-01,10.85,11.73,13.0,0.08110599078341019,0.1981566820276499,2,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,5
4,Arizona,2007-01,5.15,6.75,7.25,0.3106796116504853,0.40776699029126195,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,6
4,Arizona,2017-01,8.05,10.0,12.0,0.2422360248447204,0.4906832298136645,3,0,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,7
5,Arkansas,2006-10,5.15,6.25,7.25,0.21359223300970864,0.40776699029126195,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,8
5,Arkansas,2016-01,7.5,8.0,9.25,0.06666666666666665,0.2333333333333334,3,0,27,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,27,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,9
6,California,1996-10,4.25,4.75,5.75,0.11764705882352944,0.3529411764705883,3,1,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,10
6,California,2007-01,6.75,7.5,8.0,0.11111111111111116,0.18518518518518512,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,11
6,California,2014-07,8.0,9.0,11.0,0.125,0.375,3,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,12
8,Colorado,2007-01,5.15,6.85,7.25,0.33009708737864063,0.40776699029126195,1,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,13
8,Colorado,2017-01,8.31,9.3,12.0,0.11913357400722013,0.44404332129963886,4,0,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,14
9,Connecticut,1996-10,4.27,4.77,6.15,0.1170960187353629,0.44028103044496514,4,0,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,15
9,Connecticut,2014-01,8.25,8.7,10.1,0.05454545454545445,0.22424242424242413,3,0,29,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,16
10,Delaware,1996-05,4.25,4.65,5.65,0.09411764705882364,0.3294117647058825,3,0,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,17
10,Delaware,2007-01,6.15,6.65,7.25,0.08130081300813008,0.17886178861788604,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,18
10,Delaware,2014-06,7.25,7.75,8.25,0.06896551724137923,0.13793103448275867,2,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,19
10,Delaware,2019-01,8.25,8.75,10.5,0.06060606060606055,0.2727272727272727,3,0,21,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56,21,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56,20
11,District of Columbia,1993-10,4.85,5.25,6.15,0.08247422680412386,0.2680412371134022,3,0,29,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 35 38 39 40 45 46 47 48 49 51 54 56,0,,21
11,District of Columbia,2005-01,6.15,6.6,7.55,0.07317073170731692,0.22764227642276413,3,0,19,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 53 56,2,9 53,22
11,District of Columbia,2014-07,8.25,9.5,12.5,0.1515151515151516,0.5151515151515151,4,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,23
12,Florida,2005-06,5.15,6.15,7.21,0.1941747572815533,0.3999999999999999,2,0,18,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,1,9,24
12,Florida,2021-10,8.56,10.0,13.0,0.16822429906542058,0.5186915887850467,4,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,25
15,Hawaii,2002-01,5.25,5.75,6.25,0.09523809523809534,0.19047619047619047,2,0,33,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56,33,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56,26
15,Hawaii,2015-01,7.25,7.75,10.1,0.06896551724137923,0.39310344827586197,4,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,27
15,Hawaii,2022-10,10.1,12.0,14.0,0.18811881188118806,0.38613861386138626,2,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,28
17,Illinois,2004-01,5.15,5.5,7.5,0.06796116504854366,0.4563106796116503,3,0,20,1 9 13 16 18 20 22 28 31 35 38 40 45 46 47 48 49 51 53 56,2,9 53,29
17,Illinois,2020-01,8.25,9.25,13.0,0.1212121212121211,0.5757575757575757,5,0,24,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56,24,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56,30
19,Iowa,1997-09,4.75,5.15,5.15,0.08421052631578951,0.08421052631578951,1,1,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,31
19,Iowa,2007-04,5.15,6.2,7.25,0.20388349514563098,0.40776699029126195,2,0,20,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56,3,9 23 50,32
21,Kentucky,2007-07,5.15,5.85,7.25,0.13592233009708732,0.40776699029126195,3,0,20,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56,3,9 23 50,33
23,Maine,1996-10,4.25,4.75,5.15,0.11764705882352944,0.21176470588235308,2,1,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,34
23,Maine,2002-01,5.15,5.75,6.5,0.11650485436893199,0.26213592233009697,2,0,33,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56,33,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56,35
23,Maine,2017-01,7.5,9.0,12.0,0.19999999999999996,0.6000000000000001,4,0,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,24,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56,36
24,Maryland,2007-01,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,3,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,37
24,Maryland,2015-01,7.25,8.0,10.1,0.10344827586206895,0.39310344827586197,4,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,38
25,Massachusetts,1996-01,4.25,4.75,5.25,0.11764705882352944,0.23529411764705888,2,0,31,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,1,34,39
25,Massachusetts,2007-01,6.75,7.5,8.0,0.11111111111111116,0.18518518518518512,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,40
25,Massachusetts,2015-01,8.0,9.0,11.0,0.125,0.375,3,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,41
26,Michigan,2006-10,5.15,6.95,7.4,0.34951456310679596,0.4368932038834952,1,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,42
26,Michigan,2014-09,7.4,8.15,9.25,0.10135135135135132,0.25,1,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,43
26,Michigan,2025-03,10.56,12.48,12.48,0.18181818181818188,0.18181818181818188,1,0,25,1 5 6 13 16 18 19 20 21 22 27 28 33 35 37 38 40 42 45 47 48 49 54 55 56,25,1 5 6 13 16 18 19 20 21 22 27 28 33 35 37 38 40 42 45 47 48 49 54 55 56,44
27,Minnesota,2005-08,5.15,6.15,6.55,0.1941747572815533,0.27184466019417464,2,0,18,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,1,9,45
27,Minnesota,2014-08,7.25,8.0,9.65,0.10344827586206895,0.3310344827586207,3,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,46
29,Missouri,2007-01,5.15,6.5,7.25,0.26213592233009697,0.40776699029126195,2,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,47
29,Missouri,2019-01,7.85,8.6,11.15,0.09554140127388533,0.42038216560509567,4,0,21,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56,21,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56,48
30,Montana,1996-10,4.25,4.75,5.15,0.11764705882352944,0.21176470588235308,2,1,32,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56,2,15 34,49
30,Montana,2007-01,5.15,6.15,7.25,0.1941747572815533,0.40776699029126195,3,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,50
30,Montana,2022-01,8.75,9.2,10.55,0.05142857142857138,0.20571428571428574,2,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,51
31,Nebraska,2015-01,7.25,8.0,9.0,0.10344827586206895,0.24137931034482762,2,0,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,52
31,Nebraska,2023-01,9.0,10.5,13.5,0.16666666666666674,0.5,3,0,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,22,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56,53
32,Nevada,2006-12,5.15,6.15,8.25,0.1941747572815533,0.6019417475728155,4,0,19,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56,2,9 23,54
