state_fips,state,date,minwage,minwage_small_employer
2,Alaska,1959-07-28,1.5,
2,Alaska,1963-09-01,1.75,
2,Alaska,1968-02-01,2.1,
2,Alaska,1974-05-01,2.5,
2,Alaska,1975-01-01,2.6,
2,Alaska,1976-01-01,2.8,
2,Alaska,1978-03-01,3.15,
2,Alaska,1979-01-01,3.4,
2,Alaska,1980-01-01,3.6,
2,Alaska,1981-01-01,3.85,
2,Alaska,1990-04-01,4.3,
2,Alaska,1991-04-01,4.75,
2,Alaska,1996-10-01,5.25,
2,Alaska,1997-09-01,5.65,
2,Alaska,2003-01-01,7.15,
2,Alaska,2009-07-24,7.25,
2,Alaska,2010-01-01,7.75,
2,Alaska,2015-01-01,8.75,
2,Alaska,2016-01-01,9.75,
2,Alaska,2017-01-01,9.8,
2,Alaska,2018-01-01,9.84,
2,Alaska,2019-01-01,9.89,
2,Alaska,2020-01-01,10.19,
2,Alaska,2021-01-01,10.34,
4,Arizona,2007-01-01,6.75,
4,Arizona,2008-01-01,6.9,
4,Arizona,2009-01-01,7.25,
4,Arizona,2011-01-01,7.35,
4,Arizona,2012-01-01,7.65,
4,Arizona,2013-01-01,7.8,
4,Arizona,2014-01-01,7.9,
4,Arizona,2015-01-01,8.05,
4,Arizona,2017-01-01,10.0,
4,Arizona,2018-01-01,10.5,
4,Arizona,2019-01-01,11.0,
4,Arizona,2020-01-01,12.0,
4,Arizona,2021-01-01,12.15,
4,Arizona,2022-01-01,12.8,
5,Arkansas,1980-01-01,2.55,
5,Arkansas,1981-01-01,2.7,
5,Arkansas,1982-01-01,2.8,
5,Arkansas,1983-01-01,2.95,
5,Arkansas,1984-01-01,3.05,
5,Arkansas,1985-01-01,3.15,
5,Arkansas,1988-01-01,3.25,
5,Arkansas,1989-01-01,3.3,
5,Arkansas,1991-07-01,3.65,
5,Arkansas,1992-07-01,4.0,
5,Arkansas,1993-08-01,4.15,
5,Arkansas,1994-07-01,4.25,
5,Arkansas,1997-07-01,4.75,
5,Arkansas,1997-10-01,5.15,
5,Arkansas,2006-10-01,6.25,
5,Arkansas,2015-01-01,7.5,
5,Arkansas,2016-01-01,8.0,
5,Arkansas,2017-01-01,8.5,
5,Arkansas,2019-01-01,9.25,
5,Arkansas,2020-01-01,10.0,
5,Arkansas,2021-01-01,11.0,
6,California,1943-02-08,0.45,
6,California,1947-06-01,0.65,
6,California,1952-08-01,0.75,
6,California,1957-11-15,1.0,
6,California,1963-08-30,1.25,
6,California,1964-08-30,1.65,
6,California,1968-02-01,2.0,
6,California,1976-10-18,2.5,
6,California,1978-04-01,2.65,
6,California,1979-01-01,2.9,
6,California,1980-01-01,3.1,
6,California,1981-01-01,3.35,
6,California,1988-07-01,4.25,
6,California,1996-10-01,4.75,
6,California,1997-03-01,5.0,
6,California,1997-09-01,5.15,
