year,band,w,enrolled,employed,inlf,enr_emp,enr_only,emp_only,neither
1994,1617,86963864.1452,0.7778037213245595,0.3491956380330202,0.4363129450819637,0.2499672486356489,0.5278364726889107,0.09922838939737129,0.12296788927806912
1995,1617,88814787.6248,0.7796541581738194,0.3489790191880763,0.4384302626596264,0.2481971920861151,0.5314569660877044,0.10078182710196125,0.11956401472421935
1996,1617,92089555.7747,0.7965335859612465,0.34709304052025247,0.42811550369245366,0.2543981223996334,0.542135463561613,0.09269491812061907,0.11077149591813448
1997,1617,94324769.73089999,0.8013934052429172,0.33914651874331986,0.415500844354153,0.25065103167757735,0.5507423735653401,0.0884954870657425,0.11011110769134023
1998,1617,94931421.2221,0.81046199058683,0.35650431541439154,0.4296039246982826,0.2691812559154133,0.5412807346714166,0.0873230594989782,0.10221494991419185
1999,1617,96795413.7326,0.8172090139809897,0.35154134604354453,0.4190671816121223,0.2660278289944174,0.5511811849865723,0.08551351704912707,0.09727746896988317
2000,1617,95798299.0621,0.8079182246798378,0.35363289366066303,0.41665598894324485,0.2632400635856049,0.5446781610942328,0.09039283007505808,0.10168894524510416
2001,1617,96553913.4783,0.8268823732136279,0.3267829573711809,0.39417205406027933,0.24890980053751358,0.5779725726761143,0.0778731568336673,0.09524446995270476
2002,1617,97311592.9631,0.8361517195145906,0.2960517407378616,0.3637398404044418,0.2274614465122704,0.6086902730023201,0.06859029422559121,0.09525798625981818
2003,1617,102447382.9817,0.8421958529151709,0.2740733181472829,0.33848924278323783,0.21344476497663234,0.6287510879385386,0.06062855317065055,0.09717559391417849
2004,1617,102389549.2326,0.8531463968637868,0.26222725283911485,0.32772839637344603,0.20825452876015693,0.64489186810363,0.053972724078957944,0.09288087905725524
2005,1617,104793488.9384,0.8444262584378373,0.26789953207686984,0.3305770483761977,0.20837987282813153,0.6360463856097057,0.05951965924873836,0.09605408231342437
2006,1617,108650456.776,0.8455047282276325,0.2746361192748457,0.3317748907141511,0.21253385948305384,0.6329708687445786,0.062102259791791826,0.09239301198057578
2007,1617,110097422.1408,0.8555194729468131,0.2547550480839641,0.3085275237503683,0.2013160844252529,0.6542033885215601,0.053438963658711224,0.09104156339447574
2008,1617,109224479.2789,0.8593479383007894,0.22200515828491854,0.2844764239595002,0.1759604214218741,0.6833875168789152,0.04604473686304444,0.09460732483616624
2009,1617,106876750.3009,0.8632747186000757,0.18879516946474828,0.25453100969024245,0.1472963979048625,0.715978320695213,0.041498771559885746,0.09522650984003858
2010,1617,106653339.1723,0.8764121094717362,0.1647132102879584,0.23128435420432275,0.1310252435943365,0.7453868658773998,0.03368796669362188,0.08989992383464192
2011,1617,103556803.6744,0.8741200022290517,0.15880720890930186,0.21712326109731364,0.12477625421142921,0.7493437480176224,0.03403095469787267,0.0918490430730756
2012,1617,105435732.3311,0.8776131326970091,0.15971631813508844,0.21988782423301373,0.12474270028113137,0.7528704324158778,0.03497361785395709,0.08741324944903377
2013,1617,106185658.8935,0.8461575403154561,0.16795733554459982,0.22779675737719304,0.12316226767229256,0.7229952726431637,0.04479506787230726,0.10904739181223659
2014,1617,105450960.11410001,0.8450264429843264,0.1772824599204414,0.22540839369201476,0.12882418021325892,0.7162022627710675,0.048458279707182465,0.10651527730849113
2015,1617,105203386.1031,0.8443023238525081,0.18816057055046348,0.22890868433454714,0.13733458278463398,0.7069677410678743,0.050825987765829514,0.10487168838166226
2016,1617,107181375.5502,0.8370473663652527,0.1957247893340818,0.23757189585586064,0.14072202577056642,0.6963253405946863,0.05500276356351538,0.10794987007123188
2017,1617,107809757.912,0.8494208710462834,0.20901527606149847,0.24731423548380146,0.1527723259701962,0.6966485450760874,0.05624295009130231,0.09433617886241413
2018,1617,106076247.1103,0.8568150382535056,0.20691362869839677,0.23979833210398405,0.15389542257867905,0.7029196156748264,0.053018206119717755,0.09016675562677672
2019,1617,104621256.04750001,0.8603901754910251,0.2084578013936121,0.242231047373337,0.1556698372203224,0.7047203382707026,0.0527879641732897,0.08682186033568515
2020,1617,104908068.8221,0.8432629783664828,0.19550511477225227,0.23729593974048788,0.1438324550772905,0.6994305232891923,0.05167265969496175,0.10506436193855545
2021,1617,104398785.5444,0.8630096704245891,0.22946183067054832,0.2582545335839515,0.17209517962504434,0.6909144907995447,0.05736665104550398,0.07962367852990693
2022,1617,109118251.62990001,0.8476846936892657,0.24393357488149475,0.27160662278957337,0.18541103513755539,0.6622736585517103,0.058522539743939374,0.0937927665667949
2023,1617,110284246.7364,0.850204326076723,0.24332790079476388,0.27358312761582815,0.18281618213334083,0.6673881439433822,0.060511718661423054,0.08928395526185397
2024,1617,110587881.2298,0.8539276800915231,0.22694155687501444,0.26004481733438495,0.16988117266358785,0.6840465074279352,0.057060384211426604,0.08901193569705036
2025,1617,102950317.644,0.8557017550167241,0.21058105981534567,0.24871781749273997,0.1568896124162793,0.6988121426004448,0.053691447399066373,0.0906067975842097
2026,1617,72473103.2093,0.8395774704206668,0.21269974379711523,0.2527385156863206,0.1535830452996482,0.6859944251210186,0.059116698497467056,0.1013058310818662
1994,1619,170398914.231,0.6561025157111056,0.4364449194340595,0.5298858847621315,0.24359551809602165,0.41250699761508386,0.1928494013380378,0.15104808295085667
1995,1619,174054997.12489998,0.6538529791111587,0.4438864151154396,0.5373226421220667,0.24429834516033544,0.40955463395082325,0.19958806995510425,0.14655895093373728
1996,1619,179215326.375,0.6700760840081359,0.4369855414164211,0.5251564327203039,0.2493237217485719,0.420752362259564,0.18766181966784928,0.1422620963240148
1997,1619,184371702.3316,0.6759153785620878,0.4357217887738252,0.5196680470806635,0.24778073087450214,0.42813464768758575,0.18794105789932308,0.13614356353858897
1998,1619,187935924.201,0.6847738425393352,0.45544576548789784,0.5330878587818545,0.26621304381216215,0.418560798727173,0.1892327216757357,0.1259934357849291
1999,1619,192376459.6103,0.6865257943827384,0.45381068860010226,0.5267051588087076,0.26427583517228814,0.4222499592104502,0.18953485342781404,0.12393935218944753
2000,1619,191083508.7629,0.6799690782071658,0.4549550740920811,0.5239244899041627,0.25973821801851005,0.42023086018865574,0.19521685607357103,0.12481406571926316
2001,1619,192033748.89060003,0.6952616361609522,0.4292832212897306,0.5032348938485489,0.25072244262610854,0.44453919353484367,0.17856077866362202,0.1261775851754257
2002,1619,192123921.0786,0.7063364491742907,0.4025090114606956,0.48181537371876415,0.23788973842357647,0.46844671075071437,0.16461927303711923,0.12904427778859
2003,1619,193153239.8406,0.7219267071133526,0.3724691418107797,0.45092441835962654,0.2249343725445897,0.496992334568763,0.1475347692661901,0.1305385236204572
