county,state_fips,ym,mw_local,mw_state,mw_county,local_above
4005,4,2018-01,11.0,10.5,11.0,1
4005,4,2018-02,11.0,10.5,11.0,1
4005,4,2018-03,11.0,10.5,11.0,1
4005,4,2018-04,11.0,10.5,11.0,1
4005,4,2018-05,11.0,10.5,11.0,1
4005,4,2018-06,11.0,10.5,11.0,1
4005,4,2018-07,11.0,10.5,11.0,1
4005,4,2018-08,11.0,10.5,11.0,1
4005,4,2018-09,11.0,10.5,11.0,1
4005,4,2018-10,11.0,10.5,11.0,1
4005,4,2018-11,11.0,10.5,11.0,1
4005,4,2018-12,11.0,10.5,11.0,1
4005,4,2019-01,12.0,11.0,12.0,1
4005,4,2019-02,12.0,11.0,12.0,1
4005,4,2019-03,12.0,11.0,12.0,1
4005,4,2019-04,12.0,11.0,12.0,1
4005,4,2019-05,12.0,11.0,12.0,1
4005,4,2019-06,12.0,11.0,12.0,1
4005,4,2019-07,12.0,11.0,12.0,1
4005,4,2019-08,12.0,11.0,12.0,1
4005,4,2019-09,12.0,11.0,12.0,1
4005,4,2019-10,12.0,11.0,12.0,1
4005,4,2019-11,12.0,11.0,12.0,1
4005,4,2019-12,12.0,11.0,12.0,1
4005,4,2020-01,13.0,12.0,13.0,1
4005,4,2020-02,13.0,12.0,13.0,1
4005,4,2020-03,13.0,12.0,13.0,1
4005,4,2020-04,13.0,12.0,13.0,1
4005,4,2020-05,13.0,12.0,13.0,1
4005,4,2020-06,13.0,12.0,13.0,1
4005,4,2020-07,13.0,12.0,13.0,1
4005,4,2020-08,13.0,12.0,13.0,1
4005,4,2020-09,13.0,12.0,13.0,1
4005,4,2020-10,13.0,12.0,13.0,1
4005,4,2020-11,13.0,12.0,13.0,1
4005,4,2020-12,13.0,12.0,13.0,1
4005,4,2021-01,15.0,12.15,15.0,1
4005,4,2021-02,15.0,12.15,15.0,1
4005,4,2021-03,15.0,12.15,15.0,1
4005,4,2021-04,15.0,12.15,15.0,1
4005,4,2021-05,15.0,12.15,15.0,1
4005,4,2021-06,15.0,12.15,15.0,1
4005,4,2021-07,15.0,12.15,15.0,1
4005,4,2021-08,15.0,12.15,15.0,1
4005,4,2021-09,15.0,12.15,15.0,1
4005,4,2021-10,15.0,12.15,15.0,1
4005,4,2021-11,15.0,12.15,15.0,1
4005,4,2021-12,15.0,12.15,15.0,1
4005,4,2022-01,15.5,12.8,15.5,1
4005,4,2022-02,15.5,12.8,15.5,1
4005,4,2022-03,15.5,12.8,15.5,1
4005,4,2022-04,15.5,12.8,15.5,1
4005,4,2022-05,15.5,12.8,15.5,1
4005,4,2022-06,15.5,12.8,15.5,1
4005,4,2022-07,15.5,12.8,15.5,1
4005,4,2022-08,15.5,12.8,15.5,1
4005,4,2022-09,15.5,12.8,15.5,1
4005,4,2022-10,15.5,12.8,15.5,1
4005,4,2022-11,15.5,12.8,15.5,1
4005,4,2022-12,15.5,12.8,15.5,1
4005,4,2023-01,15.5,13.85,15.5,1
4005,4,2023-02,15.5,13.85,15.5,1
4005,4,2023-03,15.5,13.85,15.5,1
4005,4,2023-04,15.5,13.85,15.5,1
4005,4,2023-05,15.5,13.85,15.5,1
4005,4,2023-06,15.5,13.85,15.5,1
4005,4,2023-07,15.5,13.85,15.5,1
4005,4,2023-08,15.5,13.85,15.5,1
4005,4,2023-09,15.5,13.85,15.5,1
4005,4,2023-10,15.5,13.85,15.5,1
4005,4,2023-11,15.5,13.85,15.5,1
4005,4,2023-12,15.5,13.85,15.5,1
4005,4,2024-01,15.5,14.35,15.5,1
4005,4,2024-02,15.5,14.35,15.5,1
4005,4,2024-03,15.5,14.35,15.5,1
