unit,state_fips,kind,source,event_ym,mw_before,mw_first,mw_end,pct_first,pct_window,n_steps,controls,n_controls,controls_strict,n_controls_strict,event_id,federal_induced
2,2,state,state,1996-10,4.75,5.25,5.65,0.10526315789473695,0.18947368421052646,2,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,1,0
2,2,state,state,2003-01,5.65,7.15,7.15,0.2654867256637168,0.2654867256637168,1,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,40,1 4 8 13 16 18 19 20 21 22 24 28 29 30 31 33 35 37 38 39 40 42 45 46 47 48 49 51 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,40,2,0
2,2,state,state,2010-01,7.25,7.75,7.75,0.06896551724137923,0.06896551724137923,1,1 5 9 13 16 18 20 22 23 26 28 31 34 38 40 44 45 46 47 48 49 50 51 56 6075 23005,26,9 23 26 34 44 50 6075 23005,8,3,0
2,2,state,state,2015-01,7.75,8.75,9.84,0.12903225806451624,0.2696774193548388,2,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,4,0
2,2,state,state,2024-01,10.85,11.73,13.0,0.08110599078341019,0.1981566820276499,2,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6041 6075 6081 6085 6097 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,59,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6041 6075 6081 6085 6097 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,59,5,0
4,4,state,state,2007-01,5.15,6.75,7.25,0.3106796116504853,0.40776699029126195,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,6,0
4,4,state,state,2017-01,8.05,10.0,12.0,0.2422360248447204,0.4906832298136645,3,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,7,0
5,5,state,state,2006-10,5.15,6.25,7.25,0.21359223300970864,0.40776699029126195,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,8,0
5,5,state,state,2016-01,7.5,8.0,9.25,0.06666666666666665,0.2333333333333334,3,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56 35049,28,1 12 13 16 17 18 19 20 21 22 28 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56 35049,28,9,0
6,6,state,state,1996-10,4.25,4.75,5.75,0.11764705882352944,0.3529411764705883,3,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,10,0
6,6,state,state,2007-01,6.75,7.5,8.0,0.11111111111111116,0.18518518518518512,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,11,0
6,6,state,state,2014-07,8.0,9.0,11.0,0.125,0.375,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,12,0
8,8,state,state,2007-01,5.15,6.85,7.25,0.33009708737864063,0.40776699029126195,1,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,13,0
8,8,state,state,2017-01,8.31,9.3,12.0,0.11913357400722013,0.44404332129963886,4,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,1 12 13 16 18 19 20 21 22 28 30 33 37 38 39 40 42 45 47 48 49 51 55 56 35001 35049,26,14,0
9,9,state,state,1996-10,4.27,4.77,6.15,0.1170960187353629,0.44028103044496514,4,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,15,0
9,9,state,state,2014-01,8.25,8.7,10.1,0.05454545454545445,0.22424242424242413,3,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 50 51 55 56,29,16,0
10,10,state,state,1996-05,4.25,4.65,5.65,0.09411764705882364,0.3294117647058825,3,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,17,0
10,10,state,state,2007-01,6.15,6.65,7.25,0.08130081300813008,0.17886178861788604,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 51 56 23005,20,9 23 23005,3,18,0
10,10,state,state,2014-06,7.25,7.75,8.25,0.06896551724137923,0.13793103448275867,2,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,19,0
10,10,state,state,2019-01,8.25,8.75,10.5,0.06060606060606055,0.2727272727272727,3,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56 6001,22,1 13 16 18 19 20 21 22 26 28 33 37 38 40 42 45 47 48 49 55 56 6001,22,20,0
11,11,state,state,1993-10,4.85,5.25,6.15,0.08247422680412386,0.2680412371134022,3,1 4 5 12 13 16 17 18 20 21 22 24 28 29 31 32 33 35 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049,38,,0,21,0
11,11,state,state,2005-01,6.15,6.6,7.55,0.07317073170731692,0.22764227642276413,3,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 53 56 53033 53053,21,9 53 53033 53053,4,22,0
11,11,state,state,2014-07,8.25,9.5,12.5,0.1515151515151516,0.5151515151515151,4,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,23,0
12,12,state,state,2005-06,5.15,6.15,7.21,0.1941747572815533,0.3999999999999999,2,1 9 13 16 18 20 22 28 31 38 40 45 46 47 48 49 51 56,18,9,1,24,0
12,12,state,state,2021-10,8.56,10.0,13.0,0.16822429906542058,0.5186915887850467,4,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6075 19103 19113 19179 21067 21111 24033 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,49,25,0
15,15,state,state,2002-01,5.25,5.75,6.25,0.09523809523809534,0.19047619047619047,2,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,44,1 4 5 8 13 16 18 19 20 21 22 24 26 28 29 30 31 32 33 35 37 38 39 40 42 45 46 47 48 49 51 54 56 4005 8031 19103 19113 19179 21067 21111 24031 24033 35001 35013,44,26,0
15,15,state,state,2015-01,7.25,7.75,10.1,0.06896551724137923,0.39310344827586197,4,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,1 12 13 16 17 18 19 20 21 22 28 29 30 32 33 35 37 38 39 40 42 45 47 48 49 51 55 56,28,27,0
15,15,state,state,2022-10,10.1,12.0,14.0,0.18811881188118806,0.38613861386138626,2,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6075 6081 6085 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,57,1 13 16 18 19 20 21 22 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 6013 6075 6081 6085 19103 19113 19179 21067 21111 24033 36005 36047 36061 36081 36085 41001 41011 41013 41015 41019 41021 41023 41025 41031 41035 41037 41045 41049 41055 41059 41061 41063 41069 53053,57,28,0
17,17,state,state,2004-01,5.15,5.5,7.5,0.06796116504854366,0.4563106796116503,3,1 9 13 16 18 20 22 28 31 35 38 40 45 46 47 48 49 51 53 56 35013 53033 53053,23,9 53 53033 53053,4,29,0
17,17,state,state,2020-01,8.25,9.25,13.0,0.1212121212121211,0.5757575757575757,5,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 21067 21111,27,1 2 13 16 18 19 20 21 22 26 27 28 33 37 38 40 42 45 47 48 49 54 55 56 6001 21067 21111,27,30,0
19,19,state,state,1997-09,4.75,5.15,5.15,0.08421052631578951,0.08421052631578951,1,1 4 5 12 13 15 16 17 18 20 21 22 24 28 29 31 32 33 34 35 36 38 39 40 45 46 47 48 49 51 54 56 4005 17031 21067 21111 24031 24033 35001 35013 35049 36005 36047 36059 36061 36081 36085 36103 36119,49,15 34,2,31,0
19,19,state,state,2007-04,5.15,6.2,7.25,0.20388349514563098,0.40776699029126195,2,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56 6075 23005,22,9 23 50 6075 23005,5,32,0
21,21,state,state,2007-07,5.15,5.85,7.25,0.13592233009708732,0.40776699029126195,3,1 9 13 16 18 20 22 23 28 31 38 40 45 46 47 48 49 50 51 56 6075 23005,22,9 23 50 6075 23005,5,33,0
