event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.05104059755154319,0.06440077340645907,0.0027386320167075784
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.001790965220426299,-0.02611596433910101,0.002641433580924086
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.03517459030458158,-0.14380801436192303,0.0020200042699095888
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.04002443451804159,0.024745230439138597,0.03905520655041821
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.0036064092762770183,-0.00761223728263501,0.022050160184069443
12,6,2014-07,8.0,11.0,0.375,3,state,0.01065447332447901,-0.011711921037649215,0.1219365179897717
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.009137502491897515,-0.010992118513165311,0.019988659530066986
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.005544428192833338,0.019921611882094858,0.013681154535667117
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.031012800769440924,-0.026422451889945516,0.004726013834880715
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.03217461099301418,0.05688235675322657,0.0036366854229671333
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.030167670637972217,-0.031875070807621336,0.0033421535501923275
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.041211951494288204,0.017051625156364512,0.08884228036132952
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.005540390600440467,0.0070396462010537605,0.006438879765164514
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.005349027827069834,0.028435511462472397,0.0037350968446423684
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.048741006576093565,0.05842941203189703,0.024343829204085933
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.019037440441183932,-0.08702570578501857,0.00459235039962209
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.07736698318781408,-0.06859167914927534,0.018536485196417943
41,25,2015-01,8.0,11.0,0.375,3,state,0.0324559395914706,0.005853245907918291,0.02680351881065381
43,26,2014-09,7.4,9.25,0.25,1,state,-0.0025673873737129937,-0.003437517306365571,0.04518147723994695
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.0003941769614830039,-0.004505535262331696,0.029914257152749427
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.05350108331858196,0.05040569032221294,0.014279159062452983
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.004561370364380774,-0.007278223020062691,0.02696067018239784
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.014201166565335759,-0.0351742406439969,0.0029453769495612543
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.021639680062911188,-0.06369827556868535,0.008326679265985326
53,31,2023-01,9.0,13.5,0.5,3,state,0.09912932629187857,0.051502817077239124,0.00930124159261524
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.0008164426367078884,0.008114390441681385,0.007992114175103522
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.004852456328713254,0.0336108464736872,0.030427835386087308
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.034153215963244915,-0.02636411925693912,0.0253815562031086
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.02926650974785408,0.06082222956165015,0.005817350582426754
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.008342700537675855,0.0030996199356707853,0.03687877992250774
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03643207397546942,0.016873926495499153,0.05091740375779449
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.025321375513434635,-0.008824727507535109,0.014145618636681324
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.023472168315106047,0.020644460698290443,0.005725827459773119
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.08138589489827036,-0.06757508088356709,0.00399661918957059
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0007284621351540954,0.026790069583290263,0.004279486653753177
76,50,2018-01,10.0,11.75,0.175,2,state,-0.013924213287845528,0.03710945498631242,0.001981969212044613
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.002929774938819081,0.0026564835831041217,0.02209889118850867
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.01354746387611048,0.03321420457512746,0.031012314085222554
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.017124993783251368,-0.010709209787416865,0.00926758199134648
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.034170764397465477,0.02555400817721503,0.0030827338386541646
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.023950154308261546,0.030622751938865257,0.06804159862380318
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.02398557877937714,-0.04918757967441903,0.01088439349875199
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.09087397148465763,0.005680155008223636,0.0012021889460721903
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.002419213513652964,0.016173241753554172,0.0010997009765477959
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.04741402214895153,-0.01983909021647931,0.006957594248187638
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.1064079314331243,0.031007529903987585,0.002385351286163647
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.010209371269933834,-0.1016109563114401,0.0010642759377803629
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.14374979699456783,-0.14287869887459065,0.0007803645259563064
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.0660349729275683,-0.016276691898136138,0.013013887321285708
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.07853336570387226,-0.10894113658494317,0.0009707972241120341
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.09992482840067918,,0.00016698428263517957
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.006150545739365798,0.0328870577641448,0.004162854785073415
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.07629194514438531,0.03670314037481978,0.002184154195844927
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.02447413505501692,-0.07725837312983394,0.002513852551829008
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.013605621552205176,0.10952039208477604,0.0024701079241702204
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.001296405340948114,-0.030410955250848224,0.0032565462292234305
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,-0.11795593822270979,-0.03483196210769957,0.0035019843833560852
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.10520801284214211,-0.01983472830951548,0.0017099758290888406
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.04412600012785928,0.022078288281911516,0.0013067339702049414
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.19026114908256117,-0.015194675807547523,0.00034815514493882733
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.1847269409216515,-0.15022915049721622,0.000259785415941418
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.028586008615897426,-0.013231117759871038,0.013315987962035782
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.024678754736776595,0.011574893086369914,0.02083304093067109
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.13695581265044174,0.1008034851905197,0.004460718161964454
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.029069544829681083,-0.047395864355365636,0.005249967632730168
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.01597710880946058,-0.013465351643016984,0.009433776715939637
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.03966298305731336,0.02974493761728234,0.0016095724017586687
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.07026027042820172,-0.06835575619533793,0.006484540424165043
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.07657750762403724,0.0037377901589807604,0.0029604841867505375
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.041950713576555956,-0.008348013137848706,0.0033829810293748708
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.01852980801531806,0.14482952958185924,0.003232628536114793
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-0.2987591984885823,-0.24949599329762448,0.0005341456730968418
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.37069455767755743,-0.2411321087960692,0.001196863268647708
