event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.013485712063052198,0.008950929883441606,0.00375495240431818
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.00029879706304791493,0.0009771676505853592,0.0032757349934943313
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.011741216494486992,0.02154641484112161,0.003515129690655624
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.003573312271956209,0.006668093564761385,0.03156405754513924
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.002729700997631134,-0.000994754243496111,0.014624128499253276
12,6,2014-07,8.0,11.0,0.375,3,state,0.00841235002995011,0.005984147447219109,0.09537055955433713
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.02923832424153997,-0.03394727082161976,0.019135878940543048
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.0007152623980701237,-0.0017001626225422537,0.018220131914152005
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.009670107058328123,-0.0032966519154258717,0.004244698832133955
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.006877653002407577,0.02505205527697204,0.0032332760949716484
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.011668164768338082,0.00814407058206585,0.001921608151713992
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.011995423108911848,0.0029124430856924764,0.076862754185027
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.016420660337298453,-0.017731420368817776,0.006467145996427653
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.015236406716876465,0.00108132335391041,0.006137193903995431
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.002303896479529979,-0.006298937622397783,0.048883321522374505
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.0031449808055679057,0.010476549293046249,0.0037232124433437025
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.012245692939320343,-0.0066197606600936505,0.01891312426711728
41,25,2015-01,8.0,11.0,0.375,3,state,0.0018309716762351502,-0.008598800189087975,0.03207889240888049
43,26,2014-09,7.4,9.25,0.25,1,state,-0.008256329446487484,-0.0031318409424460052,0.04136519976965084
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.009258057312909799,0.0011099717528936359,0.04018093851536394
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.00809016189231455,0.0001613197572715129,0.02023653784139959
