event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.015999703811341644,-0.008253892345708308,0.00375495240431818
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03921868681029523,-0.043258889889572494,0.0032757349934943313
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.004897035595453178,0.03798184742843848,0.003515129690655624
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.0042535185316135565,0.004575365737150675,0.03156405754513924
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.011420887347953303,-0.007987563577399687,0.014624128499253276
12,6,2014-07,8.0,11.0,0.375,3,state,0.015159362086413422,0.010013748262855691,0.09537055955433713
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.005192679329391794,-0.010875238907298846,0.019135878940543048
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.003731066610241392,0.004621269123536748,0.018220131914152005
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.006939287928011668,-0.02001321059319615,0.004244698832133955
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.004703248466359718,0.01018557896057911,0.0032332760949716484
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.012165559143522759,0.025076942804222197,0.001921608151713992
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.012617037120701386,-0.0015383647756173902,0.076862754185027
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-3.222876102979e-06,0.005444209665998538,0.006467145996427653
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.0353964866660009,0.009553538047901343,0.006137193903995431
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.021736531788149265,0.012058515885349768,0.048883321522374505
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.024698640213603164,0.0007849479458379889,0.0037232124433437025
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.006884661682332227,-0.0061955468069614175,0.01891312426711728
41,25,2015-01,8.0,11.0,0.375,3,state,0.001159859675451935,-0.012778090102006033,0.03207889240888049
43,26,2014-09,7.4,9.25,0.25,1,state,-0.0017076625621752911,-0.007995834698439105,0.04136519976965084
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.031007422635104604,0.003164274413718072,0.04018093851536394
