event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,Alaska,-0.05312272123194865,-0.03309715834672082,0.003807036100032756
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.08149156239185679,-0.02944159526057112,0.0033211716239151443
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.04295953623169126,0.009997547913866867,0.003563886885286064
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.025417558885381726,-0.016549942395655423,0.032001872087557365
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.02802248009062236,0.003294773481473487,0.014826974920946942
12,6,2014-07,8.0,11.0,0.375,3,California,0.0031923636882159705,0.010285156306004281,0.17306983022150246
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.024811964879472723,-0.03247956873787099,0.02143158797684658
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.008533621397444784,0.0061664699087219665,0.018472857303002424
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.007026706595398453,-0.05133602413521436,0.00430357563763451
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.02821239935108278,0.02347962937537415,0.0032781237921350147
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.018485838593414405,0.026188904068573417,0.0019482621391630538
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.018502829832943907,0.02181993654143842,0.07792889187991588
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.0032405985083113625,-0.01548902467143759,0.0065568496272466
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.03758677609614198,0.018736614416946767,0.006222320879098886
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,-0.029446447709763908,-0.04250022561429187,0.060489512266805344
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.016533463492232267,-0.0762673394694308,0.0054384648320853195
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.011964717612094014,0.020081258277331718,0.02578816439209322
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.029273542665821904,-0.04716057456526046,0.032523848054433646
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.010635257479282956,-0.023917539020743672,0.04193896269551311
44,26,2025-03,10.56,12.48,0.1818181818181818,1,Michigan,0.05789746191394249,0.03902750401219186,0.040738274947312754
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.06465641028600223,0.017048879882302664,0.024302704173087167
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.022752456553436246,0.028214330181620936,0.028941721342786886
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.03680275179853496,-0.07678816462889905,0.004231122577317316
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.026983356408758555,-0.028979939362199947,0.008638481248011023
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.0033969701377355443,-0.0943669339695764,0.009242079644768947
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.014825318561213892,0.00820553584644236,0.01164058192330001
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.0035420377685161167,0.05072853857565637,0.04303853990198802
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.005828620706267704,-0.04518812718553861,0.03833385491535496
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.005951922266979676,0.010061176163160601,0.008203271278471012
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.009718201032230717,0.01125516035356773,0.08616026100634075
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.00668315672330639,0.0022458505827189917,0.051171307279943005
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.06131022286402284,0.017124820041672845,0.017856672305485884
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.021438689239043976,-0.00572590544363509,0.004973433820850486
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.043202435190504804,0.02379383674724997,0.003940235997369895
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.018806062098107514,0.010183461612795722,0.004095910170187577
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.036276118160914805,0.0045098136673652894,0.0026679544298682588
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.0018814103819533926,-0.05874685640377231,0.03394821306943169
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.037581288007520204,-0.04175102301057626,0.03354487729849573
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.009269327357719528,0.04835677734113607,0.007418309354414372
