event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.08575950709933164,-0.028415289420304968,0.0034760116437920563
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.045318582112334985,0.00993740022100989,0.003730042802126711
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.019841511507910227,-0.009903652098572358,0.0334938668024509
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.029434891556579988,0.006774870933846169,0.015518239736936036
12,6,2014-07,8.0,11.0,0.375,3,California,-0.001262710309122974,0.010372679192219583,0.18113871041987065
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.019235917502001224,-0.02583327844078792,0.02243077377153212
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.0029921364226247055,0.003524097567672843,0.01933410083868227
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.0013248455720904703,-0.052599250966150576,0.0045042174028702316
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.027774871837575474,0.02126414598496003,0.0034309568313787985
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.014030764596075463,0.02627642695478872,0.0020390942257017862
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.01811949204030957,0.019497739614572893,0.08156210104043718
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.0010273461991634827,-0.014462718831171437,0.006862543774246433
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.03399993716173034,0.016796648121869137,0.006512418590901091
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,-0.02986371485579936,-0.04227539544454795,0.06330966079941733
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.010957416114760768,-0.06962104917234774,0.0056920175231405575
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.007696772904619169,0.02110756411759787,0.026990462959956336
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.03354148737329675,-0.04613426872499431,0.034040178388873125
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.015986869790761082,-0.024714184455732688,0.043894245515175144
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.05990046450116814,0.017291144386706647,0.02543574745520082
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.02231492903992894,0.025998846791206814,0.030291045381243643
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.03841004857509255,-0.08006811161061135,0.004428386428199297
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.0312513011162334,-0.027953633521933793,0.009041225447833963
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.02305731226939353,-0.09449081682327586,0.00967296487382346
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.012563090954671667,0.011227271012838727,0.012183290382990455
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.0019994472063039614,0.04808616623460725,0.045045087328176484
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.008150725720969407,-0.04922028802250632,0.0401210600131918
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.005534655120944223,0.010286006332904524,0.008585725072387506
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.015259686007050795,0.008612788012518607,0.0901772339416613
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.005075859946748799,-0.0010340963989933089,0.05355702145963166
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.05950751177048659,0.018406343040145226,0.0186891879980828
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.02570663394651882,-0.004699599603368937,0.005205305786193001
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.04747037989797965,0.024820142587516122,0.0041239381029037426
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.017198765321549923,0.006903514631083421,0.004286870133713417
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.033590047588002825,0.00513865750087221,0.0027923400876213225
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.0038801845562655007,-0.05870439302121476,0.035530950302462665
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.032005240630048705,-0.035104732713493195,0.0351088101679283
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.005001382650244683,0.04938308318140222,0.007764166569265715
