event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.00425507158089574,0.05488205534009017,0.05117791739288061
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.07578966205724035,-0.029962569523201206,0.13737362632952443
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.0590131374815686,-0.059797858473388574,0.10769935382207095
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.008243327601503286,-0.013915272667759014,0.19069347538116763
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.014904841748189762,0.10621326193963884,0.02757966798927556
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.020480843859015968,,0.024807017697605956
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.0663312404304374,-0.03788512490535515,0.10123157844841309
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.20088978695538937,0.12401513286759318,0.04440888283691999
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.06524246274378531,-0.06134520826972681,0.06815702931244041
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.04689459155069818,-0.017034956079508855,0.02343139402403932
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.006367032848217061,-0.0047512722777149075,0.021139692109103245
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.0112478150175059,-0.009504874533946897,0.013306603197140722
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.00895110630060485,0.0010947710994908683,0.10132440732433108
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.036350647423045716,0.09735115386277243,0.07196359515641369
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.18838725528373615,0.0825900931793988,0.01570575897867341
