event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.021253666552339064,-0.06812296812714173,0.002629157363676057
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.08042656769477416,-0.006765791845531201,0.0025852416445558382
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.15499616197881252,-0.006280926753460703,0.001855272976498702
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.07607755654555609,-0.03506630422229389,0.0403937795719975
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.02816618181174955,0.059074200863341385,0.02207710203090834
12,6,2014-07,8.0,11.0,0.375,3,state,-0.010206020541123911,0.0020834334604783664,0.123247457005576
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0013954504621328315,-0.009711431419627672,0.020011975749791668
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.003951418532570864,-0.01395609864633049,0.013588692502724473
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.04165690214344968,-0.07344055172090025,0.0048798424505455806
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.0020677141333659277,0.039751007760663745,0.0035182877378692537
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.008870048067343301,0.03314447745542647,0.0034328539981242604
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.09403427610618592,0.04534806299728284,0.08813320557678309
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.06320810669868669,0.03280782402506505,0.0061724522815061736
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.04521261629358519,0.05669083271677156,0.0034368183750196
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.09293486934998516,-0.050850603353282106,0.025009829000947604
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.026862658982052957,-0.07471202129204796,0.004719234684878975
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.10362708275841696,0.11918635933306962,0.018077930628711367
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03091027827828273,-0.04372493907775762,0.02693290738852978
43,26,2014-09,7.4,9.25,0.25,1,state,0.03064260006954234,-0.01167752050620876,0.04514364791002795
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.09000892154591913,-0.0011679539771978914,0.02916757411715691
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.15459004173008467,0.04174019782698918,0.01433772658740654
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.044627006303759265,0.01659430899085891,0.026726742581292443
