event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.12873744552778377,-0.07060290864518498,0.0032573577876694924
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.071853505256069,0.0416112607676853,0.004031389860914885
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.05197329406321724,-0.02935020018616804,0.041217622644857545
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.010991646638271995,0.03521875048391678,0.011325701405331477
12,6,2014-07,8.0,11.0,0.375,3,state,-0.011224675790800331,0.011085353065181436,0.13803560006121543
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.06270835852454236,-0.08508959520771651,0.013773727533100667
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.02382371569397077,-0.005287912475068789,0.013173932310872275
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.003978456626771487,-0.09409215450475059,0.0036439458380217557
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.008754484167407373,-0.007696640796738527,0.003202759909651135
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.004459868732165742,0.036383339794359176,0.003571507501518399
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.03770587895328149,0.01862237711008751,0.10072614934511351
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.016136673710156972,-0.013587309986711475,0.012716355388847045
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.03225554165798244,0.004093080486655583,0.012550857841847313
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.07524598069642739,-0.06291343431598903,0.03964365804003441
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.1435008475599085,-0.018221998440603626,0.0009684799749596273
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.008202553091848565,0.023355667187509956,0.019978507454413427
41,25,2015-01,8.0,11.0,0.375,3,state,-0.07916265521544483,-0.1232490162197428,0.022906492895420936
43,26,2014-09,7.4,9.25,0.25,1,state,-0.04775712577744634,-0.04929921382226737,0.022031257232775284
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.12765599508485653,0.05498345888871746,0.0054605840535646676
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.04685687429971917,0.11188868200689547,0.01558182996506763
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.2690951678696483,-0.2566568287830109,0.0008822373912755548
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.023736840260928184,-0.023571053637439783,0.005034035577285048
53,31,2023-01,9.0,13.5,0.5,3,state,0.0036067489397221355,-0.08716527017444986,0.007477050204437154
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.02334468166108163,-0.02139140445911284,0.014810518895675369
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.02093710012033893,0.020757750871052146,0.0442535203795253
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.043409947371929325,-0.08269398934760067,0.03643154703733197
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.02375549594370005,0.014051521435669456,0.008191395416570137
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.03940314866552312,0.07956205546564135,0.02011046959251225
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.0013380380864951857,0.011163684764923146,0.0309073648761834
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.08323912739326761,0.014286965217095972,0.01203941572906674
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.09427102848243915,0.06437186372986348,0.0033991587853552316
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.14728924322821552,-0.22612882519901586,0.0015157013552857047
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.10175120580261325,-0.033473655929115165,0.0021328700573001068
76,50,2018-01,10.0,11.75,0.175,2,state,0.01762811517930088,0.0889153005841326,0.00045064944458695293
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.03098951379336337,-0.0694778540991994,0.03443597224014162
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.04711923834190065,-0.06701326262496676,0.025057967828680413
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.4662714264994814,-0.34506885760227624,0.0008772610751049454
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.02068133926743479,-0.008070519068475508,0.009834198503883496
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.02635308425247212,-0.014589571816886547,0.08392139121947201
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.028555268970679393,0.04413463435432442,0.014735021432669347
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.058324549997142136,0.08563221994880565,0.003442807273142985
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.1258060772362551,0.01630185267925617,0.0018389246164754061
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.06986179385292227,-0.03049187848470645,0.009390235031597905
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.07753070693985067,-0.06544801949306966,0.008501017454585622
114,6097,2014-07,8.0,11.0,0.375,3,both,0.0387097492099239,0.04069788349934511,0.0008353794166871344
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.21330658291480786,-0.2422052246600236,0.0021195478810315245
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.01222719056477356,0.027292182964034295,0.013581255186331678
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.11825051225059602,,0.0003249846624758936
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.032418720351539816,,0.002112735775640572
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.09198146681949157,-0.05156277398977889,0.009229942184568532
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.045394548453613834,0.04430528511072013,0.00205415208782942
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.06904347655481902,-0.010103929170627926,0.0028946903808773797
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.10008493494762172,0.13334770585987968,0.001995156469103988
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.11850993457370376,-0.11224530399350463,0.0034133284888273655
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.09691693554204982,0.12993804362982814,0.003780687573304205
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.08058587045592869,-0.03227073063125061,0.0022546746841091204
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.02165258146547569,-0.0037266774981929984,0.0018718055280842053
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.040835459393288406,-0.07696165675942304,0.0011721726940284848
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.04951796713551878,0.031135244719555345,0.013673529875229688
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.002351972116407145,-0.011651182487592254,0.017627528026488343
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.022023457881026796,0.0034074953401769664,0.006990696150751237
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.04118602632685673,-0.10117923088165626,0.006261055665797232
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.0006092777535565662,0.0010543686870390576,0.01697857526628357
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.006712434397014619,0.1752846517162424,0.0006841327714660161
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.11712928327101797,0.01267999211378628,0.007457825682693823
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.005829469790545227,-0.007052059988040725,0.005465458784901769
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.01873526617469192,-0.047393931692490746,0.0024763284120903105
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.07192331627246738,-0.05571962153797957,0.003649716378564746
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.061866361554602435,0.05704949689148758,0.002784181658777872
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.22552861164053312,0.13643148330742408,0.00084200985071429
