event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.0808708567071209,-0.030400200629664642,0.0042362603163938395
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.04832603490948721,-0.0009407290648852928,0.004545851372310635
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.025989566897156664,-0.013383590876949084,0.040819408367405316
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.026448980320019487,0.004295608447031737,0.01891227933464333
12,6,2014-07,8.0,11.0,0.375,3,state,0.011970712132151388,0.008641336271627865,0.12333553159663216
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.011666412943925878,-0.011098447216551843,0.024746984947236202
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.008915412592328045,0.0054337250112595215,0.02356271857786857
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.007848203761243532,-0.051827317376820614,0.00548934796414369
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.0397057604220457,0.020888428731884456,0.0041813514341897985
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.019437432982777017,0.02576884899029131,0.0024850704873660237
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,,,0.0
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0038613041930472547,-0.01644763004053111,0.008363470793394988
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.04156892690275353,0.10275947975193703,0.005838184548257719
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.004267519548618981,-0.044653153025023096,0.0632171025769867
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.05866209026118044,-0.13186654417343338,0.004814949058628106
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.03561539608464944,0.025556560922130836,0.024458913175496748
41,25,2015-01,8.0,11.0,0.375,3,state,-0.028652836981086012,-0.04811917993435398,0.041485205358643786
43,26,2014-09,7.4,9.25,0.25,1,state,-0.010101932588440499,-0.024960173827657417,0.05349448432546981
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.07754870700878248,0.02321630030413213,0.026170383858578058
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.01168908931747166,0.025623129538131242,0.03691608850615341
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,,,0.0
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.026362650724022663,-0.029938544731293468,0.01101865830761308
53,31,2023-01,9.0,13.5,0.5,3,state,-0.02460596470425107,,0.011788567311053929
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.04553699338094979,-0.0021416908855395878,0.007254737958566781
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.003923828963399378,0.04999579367819393,0.05489703011715934
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.01253545924649882,-0.045176467765761175,0.04889605438724122
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.0071649010759475,0.0294377932223494,0.005658602155126144
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.025528498774765228,0.05860882175313668,0.04102511469898251
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,,,0.0
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.07718562818897678,0.015565428166503623,0.019508786923894343
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.020817983554308084,-0.006684510812728611,0.006343773438195017
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.04258172950576891,0.022835231378156448,0.005025896666311835
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,,,0.0
76,50,2018-01,10.0,11.75,0.175,2,state,-0.022492539770629164,0.0023547349092929992,0.0034030609546984447
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,,,0.0
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.04499065484942993,-0.04486726308552663,0.03777122042749107
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.00989003304245542,0.047398171972042547,0.009462290146810473
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.03368190517010551,-0.022784270966705225,0.007833638407545933
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.014621378874005886,-0.011214140513877674,0.06304489244144915
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.004222276610232609,0.07361479384913497,0.01452378790710813
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.00425507158089574,0.05488205534009017,0.0029162776959595882
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.05748199995921739,0.03617672349552373,0.0015951258385832787
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.07578966205724035,-0.029962569523201206,0.00782797860652316
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.029656136192293018,-0.059797858473388574,0.006137045808438026
114,6097,2014-07,8.0,11.0,0.375,3,both,0.06852249613592076,-0.06702598801297317,0.0021055191330369917
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.09910584324615011,-0.20450678158392807,0.002589688957194998
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.008243327601503286,-0.013915272667759014,0.010866310263271468
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.014904841748189762,0.10621326193963884,0.0015715756856937596
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.020480843859015968,,0.0014135814058128685
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.0663312404304374,-0.03788512490535515,0.005768491751814788
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.06932433292282963,-0.05806912664420387,0.0018030819420484325
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.0052349606268824594,-0.010754516551207918,0.0030254083702129847
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.26608443546776755,0.12401513286759318,0.0025305569495058886
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.06524246274378531,-0.06134520826972681,0.0038838005634513006
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,,,0.0
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.04689459155069818,-0.017034956079508855,0.0013351940692110386
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.006367032848217061,,0.0012046057311000849
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.053838992381441735,-0.1339060800272515,8.429985944864183e-05
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.05876624001387929,0.0346408059352978,0.008373652202788828
