event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.04165216989682568,0.012858689259907838,0.0034268710827734146
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.03810922819959675,-0.026477992408345134,0.0036773109891457593
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.026059965273680475,-0.01795895661409977,0.03302036223053856
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.015028092972066212,0.012283172024431396,0.015298857558496925
12,6,2014-07,8.0,11.0,0.375,3,state,-0.0031886499542620305,-0.0013724119912278017,0.09977077307344866
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0037510001118981826,-0.0002232083092530146,0.02001877145588249
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.0051843459820865995,0.0008124558877227461,0.01906077362940763
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.0009089158332319103,-0.031814106783624424,0.004440541042486839
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.03133731467192513,0.01070284977130534,0.003382453212633504
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.007271873839254251,0.0006919061860691366,0.002010267442454436
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.0060228642090482745,0.02046689241434265,0.08040905329097285
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.003864527069150258,-0.021891839706529595,0.006765527628836297
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0015388831653338833,0.008272779401828537,0.006420352183782848
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.04307563104742113,-0.05671166891037291,0.0511387036154121
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.09800763811300768,-0.1326514921192714,0.003894994278369962
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.02873073440231719,0.03175210772909227,0.01978573931181973
41,25,2015-01,8.0,11.0,0.375,3,state,-0.029812696656537872,-0.03534108983234789,0.03355895058108045
43,26,2014-09,7.4,9.25,0.25,1,state,-0.008394270026265228,-0.01696433912921831,0.04327371023763718
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.06179817852333138,0.013622102539787115,0.02117021263376573
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0038336382749520545,0.021703042331287337,0.02986281926567989
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.0584677786477866,-0.0711245988511294,0.004365782094327833
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.003098517748699743,0.010704421556945842,0.008913409164020284
53,31,2023-01,9.0,13.5,0.5,3,state,-0.005532467808299339,-0.07763328859514844,0.00953621765622935
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.01407485921898969,0.01031909627491115,0.01201105456049475
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.0003484826312571722,0.03414188366771963,0.044408282538873335
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.007183172324915749,-0.02799858645170731,0.03955386645927148
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.04571392942103326,0.03312277837851696,0.004577457154669889
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.043738603672053886,0.05559731077584423,0.03318676585698646
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.031133996807870233,0.010441348722472557,0.05279988300593459
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.06330301756902387,0.013273040137702419,0.015781395092922874
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.01128883091872649,-0.0023436744819785305,0.005131718102140235
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.004716331730714583,0.05700100291316626,0.004065637771158661
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.03495330029476437,0.009492475758872965,0.004226266423204864
76,50,2018-01,10.0,11.75,0.175,2,state,-0.05401578398905691,-0.020163302350255166,0.0027528646276626036
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.003341595667790867,-0.04379302436481901,0.03502864737303872
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.039782153437685215,-0.04011509847042469,0.030554567797243942
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.008034648631549523,0.03157946186197325,0.007654404134569244
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.017384074518849477,-0.027550381798581103,0.006336926186484761
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.011555859389620195,-0.004956032545812797,0.050999396327956144
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.0060179921966937765,0.04116858756888022,0.01174884097622482
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.0005258857754782964,0.02090357168491401,0.0023590872513066527
