event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.06068502096395238,-0.028991190578498485,0.003551903269425751
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.02414593468514637,0.006600112993727342,0.003661147129259111
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.03738644843254781,-0.01736673058184897,0.004426275874210452
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0037933483348029234,-0.011985501014761299,0.027780393763840092
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.04701841145091066,-0.02779803392933468,0.010274327999325119
12,6,2014-07,8.0,11.0,0.375,3,state,-0.004654868938281511,-0.008150835020999815,0.07997690854144966
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.013651685670246494,-0.01802038366184111,0.018896391334217885
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.012275630587359598,-0.003478031661712372,0.02123813078664003
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.004155775168208621,-0.023691545374969883,0.0038054344182625243
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.04430090172613852,0.005526693523051504,0.0027842618238250127
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.009504781467750087,-0.019774338023439218,0.0011349060334561222
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.01041974253641919,0.019344144720639056,0.07243438381713703
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.016072144433332266,-0.03123435382922289,0.006432399381704227
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.004916462939286,-0.0032620994752618135,0.007658713589929577
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.028197695570420477,-0.05808295877627978,0.0624695780637291
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.12434589756089842,-0.17751444018216472,0.0033384808277083125
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0011889665492546692,-0.013692501392411724,0.018692765252681
41,25,2015-01,8.0,11.0,0.375,3,state,-0.02166830859177825,-0.0324798917500195,0.036188654285588116
43,26,2014-09,7.4,9.25,0.25,1,state,-0.03518773600072593,-0.038536946220141616,0.03967048765283588
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.024437121325705885,0.06824523174043234,0.04797966668546068
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.04086317958377207,0.007674639137221662,0.024569472350633448
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.01725342098413727,0.017653250125930026,0.029494705833487275
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.05374496766333523,-0.06878073600575282,0.004977805886393747
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.036951513149507585,0.029458437917126823,0.008452072627694401
53,31,2023-01,9.0,13.5,0.5,3,state,0.022711908811687935,-0.08170783438104169,0.009658020602872896
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.018926135995865366,-0.00849637231592476,0.013052145812075137
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.011843758888274089,0.034387709105162936,0.04978016939424274
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.01598366542012377,-0.009688460776150244,0.04575114594027063
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.09801992606966309,0.054519541802386065,0.003283806818616571
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.06390704257210761,0.059921998350415326,0.029143072284018447
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.022828618386463724,-0.0007400510407121197,0.047920863267281566
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.05994451252327626,0.025853749690861183,0.015038288013790393
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.01134695898241276,0.013541901038912077,0.0046287328217389494
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.011784895122949883,0.037460169674045474,0.0039002555178689444
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.02987351887075116,-0.05659119548775392,0.003965620842551067
76,50,2018-01,10.0,11.75,0.175,2,state,-0.03309624526997954,0.002034502249205178,0.003073892233204226
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.009459598380511844,-0.06140390203749353,0.04138706111720331
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.06944104536159167,-0.05671955334095276,0.02739532050862283
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.018988318208567993,0.005776103845787632,0.005793883257937968
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.021464260868839714,-0.01868417043358856,0.007680576786262756
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.012486258900067508,-0.00569204700324611,0.03426611735631746
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.023649308453515257,0.03296597626846143,0.010768415007453038
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.004663382122103335,0.05865590780914247,0.002803027200413185
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.13509718478463248,-0.10844623444430349,0.001315845059148878
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.04874043012420931,-0.03350997630591107,0.005076553551482559
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.0005313793825648463,-0.04880218475352518,0.006070375691209958
114,6097,2014-07,8.0,11.0,0.375,3,both,0.0024691561211430957,-0.11101930144524322,0.0021216406408695603
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.016606401290445168,0.022038710867277392,0.0026068116877060645
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.00040560379938008213,-0.017946146122029237,0.005621251562736649
