event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.027361777748051958,0.006600112993727342,0.004078117156252972
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05381781384977104,-0.0012099609439714942,0.00407934289197984
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0027480336034746977,-0.01349026781170655,0.027788858470502557
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.04619939226135135,-0.02779803392933468,0.011444476772911645
12,6,2014-07,8.0,11.0,0.375,3,state,-0.008177080483139896,-0.008150835020999815,0.0890855219175426
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.03522467803017034,-0.031505387738000545,0.01918128157950199
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.01674597521394371,-0.003478031661712372,0.023656952990378267
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0012694090088682664,-0.023691545374969883,0.004238837402651026
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.03229294166495375,-0.014702735286146934,0.002796264485094997
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.008882148579135456,-0.019774338023439218,0.00126416109551681
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.020210780182264687,0.014321556923266698,0.0710257617987458
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.01989464575964066,-0.03123435382922289,0.007164988826796339
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,1.213234211008482e-05,0.02830117788558107,0.0067428821750217475
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.03077496715313359,-0.05570192491294752,0.06341658421157288
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.1460867722959677,-0.17273421287330218,0.0034390171430345833
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.003118556990202491,-0.013692501392411724,0.020821694398879396
41,25,2015-01,8.0,11.0,0.375,3,state,-0.022769757096654845,-0.0324798917500195,0.040310199697882645
43,26,2014-09,7.4,9.25,0.25,1,state,-0.04069429251101988,-0.038536946220141616,0.044188580950771716
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.033143485897591425,0.007674639137221662,0.027367702847134072
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0307331359899381,0.004880263144351471,0.02844407789974375
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.06007768173866186,-0.0440563287818698,0.005036454740144218
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.051515775038944084,0.029458437917126823,0.009414683751284236
53,31,2023-01,9.0,13.5,0.5,3,state,0.024830566744655447,-0.060292746192686,0.00820376314600125
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0139216443454536,0.003244363600248254,0.012170267663522739
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.00831117374793762,0.034387709105162936,0.055449659814387875
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.0045487627627300055,-0.020521169858959347,0.04480215602660898
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.11803373349063402,0.024838525934921495,0.0032124853614686065
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.06836324054680445,0.059921998350415326,0.032462192550952465
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.02275913186381401,-0.010852869645581631,0.048776223624392524
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.04948504631428015,0.020044942605770236,0.014616030990541855
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.00479331418677828,0.013541901038912077,0.005155901706650285
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.010282126477530282,0.037460169674045474,0.00434445772858367
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.044387832376205624,-0.07849823636564221,0.004001063265989337
76,50,2018-01,10.0,11.75,0.175,2,state,-0.01206150139392552,0.017583880374308775,0.0031333229008848828
