event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.01722416620849686,-0.016529570280036848,0.0026336734801562546
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.07466832782567116,0.02084461192271205,0.0026337742398834067
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.07453229773974669,-0.04789340570153046,0.0019912751890803055
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.05395505619496546,-0.028350228473326203,0.03795982239717333
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.007680806273523154,0.045316281010747854,0.021945079107341288
12,6,2014-07,8.0,11.0,0.375,3,state,-0.0016739320493796995,0.00425356126094242,0.12134291960432016
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.006357377672363825,0.023968720171393204,0.019565850477766947
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.01514892812046802,0.012737174778266247,0.013182304826629672
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.00558274051971051,-0.04834137363672338,0.004988066660759072
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.009288655534848141,0.004127668714128202,0.003991521065108339
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.0011715394785138875,0.00909216473755365,0.003244609097781153
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.03390017408122552,0.019514877324191705,0.08440689156833281
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04460489776161616,-0.008617948643796685,0.006534945734794657
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.04849528675070727,0.058490994562343815,0.003592907093014311
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.06561911694350296,-0.04339260278617929,0.02615568407814851
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.07830207865071705,-0.0768739137800716,0.004374302369909214
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.08544717860533226,0.09635099479429049,0.019310668823504
41,25,2015-01,8.0,11.0,0.375,3,state,-0.032998700183675796,-0.04444306110077232,0.025229293627978953
43,26,2014-09,7.4,9.25,0.25,1,state,0.02941667750184209,0.004416991227648201,0.04426983554795241
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.015731720693203513,-0.022142776688180335,0.02715269988585929
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.14655414402450168,0.02861453288095537,0.012995049483065239
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0412405538819064,0.027271948244645364,0.026995239646638587
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.08201736330239127,-0.07544775902300455,0.0028291978218836136
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.07145980386330597,-0.024875397546716034,0.008647294908472429
53,31,2023-01,9.0,13.5,0.5,3,state,-0.05312669678148854,-0.09850778614424871,0.00821883652090118
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.004393934829704998,0.04792033439039802,0.008862156312644259
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.003778961541179642,0.034133614101674675,0.03021067596197321
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.0618881442268394,-0.07590667664412659,0.0245377151830394
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.005321199606955132,0.010588174367926924,0.006214118844726349
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.0014016996095197742,0.044431435626424966,0.036099311510686925
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.002671278452023619,0.00040294327011620307,0.05482514086581614
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.06080694217665609,0.00390449088573833,0.015186556521894311
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.04078061973386637,-0.034568325712845044,0.005376860250769255
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.039917510744232734,0.0932401541989592,0.003868664628390004
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.10329225986102347,0.10696668740016918,0.0041704094958662195
76,50,2018-01,10.0,11.75,0.175,2,state,-0.10974531920040631,-0.07083037895451846,0.001892852158204117
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.0396170512963042,-0.004645456828531784,0.020270236055232753
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.0055620552083077285,-0.02439877111536348,0.032290112399727774
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.006462876890693958,0.05766428171153876,0.009883229446278704
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.04270533515345762,-0.002324094396161054,0.0033425298729322602
