event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.060457038493369045,-0.0413073569661634,0.0041179822609143145
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.029572395180931757,-0.005021030390022677,0.0035943287645769976
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.028334883964094254,-0.0476211822975036,0.003847736717750657
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.03736521562371716,0.005454957841884073,0.029787587952423283
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-2.68581405261821e-05,-0.012465483275782382,0.012024291267854226
12,6,2014-07,8.0,11.0,0.375,3,state,-0.0028160628899294247,-0.012333153050024338,0.09329825433013277
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.026051729783381383,0.007822352527509964,0.01812255263255086
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.006634481865408975,-0.01263107501360105,0.018400588026321947
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.0008197299374946773,-0.04818739482746401,0.004196980296345789
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.05712514660949107,0.05971588139530544,0.003542264329676449
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.018177832616425218,0.0006821162029493188,0.0019479856637841524
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.037147808415731606,0.02199847197513126,0.07606014598785946
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0034186193239987388,-0.007937512498180792,0.006014048391915598
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.03343111031304997,0.023440119079400794,0.006559222226063171
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.04415713799736138,-0.0606531560520023,0.050552333010711666
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.06700410430651002,-0.10471183182157984,0.00354360537406051
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04367318156864057,0.01973130789058125,0.019290612031160444
41,25,2015-01,8.0,11.0,0.375,3,state,-0.060550807676086324,-0.05775679399924299,0.030247781376217715
43,26,2014-09,7.4,9.25,0.25,1,state,-0.0249169327480511,-0.029408618522018835,0.041651292812795775
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.029038423874474584,0.048547623769130493,0.03767896009364309
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.05209920689806899,0.005133090251244053,0.021101929709817398
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.06899519898801772,0.06598031426096237,0.02928229444562359
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.00898273801106135,-0.058030941142312054,0.004369714944703277
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.06972920933008812,0.03106871582233236,0.008011965436866128
53,31,2023-01,9.0,13.5,0.5,3,state,-0.027138035422670133,-0.12480975807522475,0.008830509131271373
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.017006599839711683,0.005692173063531286,0.011179976251713688
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.02449047178372543,0.006659626630698842,0.03867152430373609
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.0020554880606795077,-0.03543296147612195,0.0404567215509066
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.05922869631542998,0.056979764551067076,0.004601126746861629
