event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.07102374660380936,0.019230250068691668,0.0034760116437920563
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.0035085313536009632,0.01171681899800786,0.003730042802126711
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.010864376604664494,-0.01204037709082717,0.0334938668024509
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.03911059210390927,-0.011281254310966826,0.015518239736936036
12,6,2014-07,8.0,11.0,0.375,3,California,-0.00010988657442956296,-0.006163494430678151,0.18113871041987065
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.009384833203061632,0.011221161893058051,0.02243077377153212
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.00016001505182114406,-0.037795173331196974,0.01933410083868227
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.001520478544527859,0.08269329585229157,0.0045042174028702316
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.0189032560857878,-0.0060202764195057545,0.0034309568313787985
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.016550372471107633,-0.004247014037936758,0.0020390942257017862
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.02997187212423158,-0.04629224334847315,0.08156210104043718
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.004714988696196715,0.023959724968679263,0.006862543774246433
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.011739989302855414,-0.0024054856775487243,0.006512418590901091
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.03697277339217178,0.02346628466305295,0.06330966079941733
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.012760191863376402,0.11779508830046298,0.0056920175231405575
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,3.079243870537929e-05,-0.019604439512991068,0.026990462959956336
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.00010153855899358577,0.01258661325247068,0.034040178388873125
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.031942469160963605,0.029460581837462863,0.043894245515175144
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.07129480604649113,-0.0059540208716794,0.02543574745520082
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.04538434404648428,-0.0249205836209348,0.030291045381243643
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.034999161892145136,0.07799669184506547,0.004428386428199297
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.02884053351158311,0.04969192859685867,0.009041225447833963
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.008576202694198787,0.04772395513184652,0.00967296487382346
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.00806304501842603,-0.026790634802254354,0.012183290382990455
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.002536191373751051,-0.05408215272914174,0.045045087328176484
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.033855312343752914,0.08058702045892557,0.0401210600131918
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.012030994357311836,-0.0204939595354916,0.008585725072387506
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.006545513112335144,-0.008291409458083432,0.0901772339416613
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.0041695708083991645,-0.0027808266429683037,0.05355702145963166
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.056616328498883206,-0.01912715190834391,0.0186891879980828
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.00976550572884799,-0.01080852034523061,0.005205305786193001
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.01709295691571891,-0.02191104409077671,0.0041239381029037426
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.015211027289535411,-0.025311423946569794,0.004286870133713417
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.04147063199917339,-0.014848446968896922,0.0027923400876213225
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.0282501814538621,0.04481354430410833,0.035530950302462665
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.030974348223033743,0.01950893516647717,0.0351088101679283
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.013523979917002132,0.006126528686271393,0.007764166569265715
