event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.0686873282501484,0.03667493154175716,0.0041179822609143145
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.04733305711249497,0.04101325555964053,0.0035943287645769976
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.007736212329519117,0.024362412024927116,0.003847736717750657
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.003172605353647995,-0.041350669452320965,0.029787587952423283
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.01505490038607743,0.031399005949189485,0.012024291267854226
12,6,2014-07,8.0,11.0,0.375,3,state,0.0015582085904834175,0.005634206614420323,0.09329825433013277
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0735964590864045,-0.009183251580808072,0.01812255263255086
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.01905742832311902,-0.023704448201788964,0.018400588026321947
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.008203612181644143,0.0841044158612333,0.004196980296345789
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.01740540896929338,-0.06465224409613785,0.003542264329676449
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.01568286264802629,-0.0200493326000874,0.0019479856637841524
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.0672224881576047,-0.042711345591001926,0.07606014598785946
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.00821033109218508,-0.05884761071511607,0.006014048391915598
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0385309776370035,-0.002359314585054728,0.006559222226063171
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.039451990926156616,0.025530131924824617,0.050552333010711666
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.04834944662608817,0.18400881261857693,0.00354360537406051
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0770370718709999,-0.007364308105369255,0.019290612031160444
41,25,2015-01,8.0,11.0,0.375,3,state,0.04874871088867161,0.043275685736906155,0.030247781376217715
43,26,2014-09,7.4,9.25,0.25,1,state,0.03981330538504413,0.019868065920554512,0.041651292812795775
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.09666126404917508,-0.03437002334810135,0.03767896009364309
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.08608526798078463,-0.04625130604730965,0.021101929709817398
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.08377466442542184,-0.057475383579825456,0.02928229444562359
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.006083640875400878,0.05553221359124633,0.004369714944703277
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.07309903611175213,-0.01800122365505674,0.008011965436866128
53,31,2023-01,9.0,13.5,0.5,3,state,-0.007281927326653503,0.0795024922815733,0.008830509131271373
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.03227569220108309,-0.04844920205402958,0.011179976251713688
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.03803427919909522,-0.03568208162574449,0.03867152430373609
