event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.008562857444389449,-0.018905221339011458,0.00358274683600975
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.006338782917163721,0.0015523334428035884,0.0033517181746809737
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.03002464637714175,-0.06931916619790768,0.025482580956373273
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.04821281768823174,-0.00557768737413783,0.018952368675253718
12,6,2014-07,8.0,11.0,0.375,3,state,-0.03220312033842809,0.02153443132484434,0.06458439594875355
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.03141566415365793,-0.01969752946053399,0.025761394327208583
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.031068359515070837,-0.03639450346969225,0.024474011712868525
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.00047306763044624445,0.06692367831627694,0.005173049235689772
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.04793314373965868,-0.06615078895035609,0.003547689980267158
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.0049945535599156266,0.015858751076768762,0.0005746309630847978
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.00036269528528770634,-0.03024798723737543,0.061726491259052586
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.1287510762351095,-0.06506981717678495,0.0012934508875829353
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.023596884562006426,-0.07721652031955328,0.0007830528404800404
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0053109503295021565,0.004820874398587027,0.061708959396526784
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.0727492626888718,0.19591352107054294,0.006586067100247103
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.018244817373649275,0.010178553913882005,0.01960847959063772
41,25,2015-01,8.0,11.0,0.375,3,state,-0.020494541081170353,-0.010408956099398847,0.043354405648793184
43,26,2014-09,7.4,9.25,0.25,1,state,0.009041855831550816,0.022014130026170586,0.06280718317667956
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.08287117186471983,-0.01356912670354965,0.035615983312111126
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.049829570092733394,-0.008503516013505075,0.04299488635710367
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.01616482900975688,0.05133750512387425,0.007569071571933931
