event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,-0.016480473145123853,-0.01433848084881334,0.0034178750215338076
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,0.04076192497371975,0.024898643938805587,0.002979653193997395
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.027183520756388784,-0.004007584287722299,0.003207307896077523
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.03847129252762055,-0.019285702178879094,0.033885796019839126
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,0.030014742928871185,-0.02365855426108826,0.0175969772301554
12,California,2014-07,8.0,11.0,0.375,3,-0.01004589788631785,0.001126341792613117,0.17485580047132454
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,0.00807445109334401,0.012918295911242939,0.02327098571473641
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,-0.0029126069345676853,-0.038246408654374675,0.018272725584032885
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,0.004907897753954976,0.06612135398027913,0.004352791744946648
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,0.05985911130960564,0.019853652752952422,0.0029468790523691753
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.01159091884093702,0.008983293159566252,0.0019193118437884967
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,-0.02159994335958154,-0.03130216237741107,0.07875445287651359
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.004038191893504295,0.0757320458541581,0.007038001395540052
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,-0.020544505747469948,-0.015443777444776874,0.00576919008579082
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,-0.0013195544343913568,-0.02091525403479272,0.06049293149853789
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,-0.023864450512555008,0.011622522644411049,0.005264849062692209
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,0.057308199475216204,0.017956424915040847,0.025205028419598745
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.047165276707291454,-0.028952864785545818,0.03446590500237855
43,Michigan,2014-09,7.4,9.25,0.25,1,0.03164458440679274,0.03611631556589212,0.04161657401685025
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,-0.03114984423623135,0.06098324635787977,0.0433933393550558
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.003813997652766965,0.03211884547526389,0.023789151985541972
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-0.06623893463071151,-0.01522648756175482,0.02814362747714868
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,-0.03462449484236982,0.015000406338353311,0.004019626615014978
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,0.05054178354686639,0.10731433175133243,0.009177771901174159
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.004819154590461394,-0.013687023720448555,0.009542801366502835
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,0.005603747286881955,0.006516206696739191,0.011957656943934063
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.01863973271854491,-0.010644877698531008,0.04705537496052726
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,0.016472204722686873,0.06666476335275479,0.03549172756577781
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,0.03180319947287119,-0.015571422153615566,0.007943983354860927
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,-0.007487754795055895,-0.005109034836347892,0.08045096186767216
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,0.013633765049112512,-0.020113512021552427,0.05052854627291461
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,-0.0007035127850427425,-0.010209096621862424,0.017210245119433625
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,-0.010485227725516078,-0.010938403678252162,0.004773120453132
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,0.05067742624173541,0.06447790861614638,0.003917594145460528
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,0.008221445571756886,-0.050421765117931006,0.00433532896645867
76,Vermont,2018-01,10.0,11.75,0.175,2,-0.026582248065250835,-0.03852915277151048,0.002659210806596316
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,-0.008254070150513937,-0.0055481899461035655,0.029186674939144595
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,0.007092697193087805,-0.05175169906183397,0.033645759996204526
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,0.00951939571391755,0.04732388788108588,0.007464459776741256
