event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,-0.003170940669168121,0.004737769725422281,0.0005165394913110654
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,0.13140636184883472,0.12973879152700712,0.0013156308690146549
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,-0.10727094340279568,-0.09317268895374425,0.0017119428636001776
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.06835605642262843,-0.018934743337080173,0.05731663564706475
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,0.0798775553364458,0.029980702271604875,0.006234517152961713
12,California,2014-07,8.0,11.0,0.375,3,0.009124577617840746,0.0062157237592389,0.361016461604146
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,0.00419258558438429,0.008761004436899977,0.023355349181924053
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,0.061988201797203435,-0.03587169954177516,0.011224691296012838
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,-0.03920636619714718,-0.025279670322857495,0.0018173992362906964
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,0.022334639112636473,-0.03016263902540417,0.0012200277877782815
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.026855082059358992,-0.049942554430484454,0.0006474258564025415
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,-0.027306271149079714,-0.03664617456423602,0.10860168134299922
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,-0.04411728778904689,-0.07953401351305878,0.0047907440569734845
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.027916504176342356,-0.09493890271904065,0.004359639592886949
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,0.002350354310956926,0.005559524980256247,0.06687827556861875
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,0.07861690945310337,0.1629494428000421,0.00038846764397178034
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,0.06221806280837136,0.062370908517410006,0.010835002182503592
41,Massachusetts,2015-01,8.0,11.0,0.375,3,0.01474866445515044,0.016224246508090234,0.018570806994986047
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.08892928476255077,-0.11808401097943183,0.008077431751339487
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,-0.23221205594914127,0.07539642697541771,0.01814769342111016
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,-0.0684011318604163,-0.06312476891628699,0.005618687963472321
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-0.0886882554677334,-0.09169899537238746,0.00956539035605958
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,-0.23096366236673466,-0.1514127845916554,0.00025396150946678384
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.02696530532544844,0.05249650596806299,0.005838711133966563
53,Nebraska,2023-01,9.0,13.5,0.5,3,-0.02676200064873746,-0.045747552320267004,0.006412790330099967
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.035293406232022345,0.015247380399236732,0.013785990131182818
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.012330514370659712,-0.004679224643438451,0.03763033749146209
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,-0.003546869026671118,0.03845683466315697,0.03190412278206524
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,0.0767107536509222,0.006141967409577009,0.020085497324327878
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,-0.012568928946923547,-0.004975672317737878,0.07755299948926483
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,0.056240528379200266,0.0023201303888384928,0.01615684236070504
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,0.037174865408846236,0.07171510289437127,0.01521278638006211
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,-0.058830079634360266,-0.08451497636815697,0.004306526889172953
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,0.07345095992696149,0.14186068840550503,0.0006730557751247714
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,0.030476461897830265,0.05182450363077046,0.0007499330120018856
76,Vermont,2018-01,10.0,11.75,0.175,2,-0.23230686644315834,-0.13988595496302708,2.0344062394546602e-05
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,0.057831012064006676,0.06357852537097608,0.01873305630315247
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,-0.056904734811484114,-0.01856523061616644,0.028314914900196195
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,0.028894953789063094,-0.01512364251846221,0.00015768826392615522
