event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.017583370552202743,0.03533619914439201,0.0038069689867880827
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.044920533743418034,-0.024992964847332988,0.004075368535612076
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.03482396859348619,-0.03667779679801503,0.03154981943880234
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.01554805388180297,0.018623233340067713,0.012735647444374778
12,6,2014-07,8.0,11.0,0.375,3,California,0.003176622420117431,-0.009754011179880229,0.1789599716513773
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.03219674432441014,0.008554592700077135,0.020555760485777334
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.01383778528543017,-0.0347931344509535,0.019489165444529322
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.005177791066517168,0.038389857636538516,0.004445273338325087
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.040057913791974376,-0.004030964966800554,0.0037518244237936173
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.03554753912395919,-0.01763259000770734,0.002063228350678382
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.02910907296000209,-0.018787244098041778,0.08055985856386512
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.011806241795544209,-0.06744114923852262,0.006369839047196863
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.007721566789275991,0.02110705652022632,0.006947265324799049
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.00013575351928329926,-0.0211860102867793,0.06316396986539796
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.030231993300232657,0.07240772864248896,0.00585144244977215
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.024942116635736172,0.00580008869329024,0.027508240852884957
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.011979388166775129,-0.015137134287562637,0.032037237871299404
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.015083218135150261,-0.00959866093000905,0.04411538019578011
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.042550675970270124,-0.030371743619120983,0.02588799598323702
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.014441289285627351,0.009410328415169034,0.031014632805745915
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.014633891095795132,-0.0013859719485424526,0.004628226955623946
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.0035471181610243208,0.012411466142049965,0.008485952715835375
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.0035266723318392312,-0.04532031973381778,0.00935292139428303
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.049635094872582664,-0.043041872375270795,0.011841382814715954
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.012128968587649919,-0.02748006623060928,0.04095932880348823
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.03756598491062474,0.03745888361031596,0.04285013818694134
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.03740147185537268,0.01240625409739704,0.008823628659823035
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.008702469508903632,0.014274384106610472,0.0956379023427842
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.05211647346233958,0.03277447783480397,0.05407423173832356
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.0006367142646339641,0.00835404275607704,0.01928840633284263
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.03566502515693512,-0.014797219590058086,0.005392307445887069
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.00803579985734651,0.0072081202089874785,0.004137128507002031
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.02883507430084034,0.02098328168827701,0.004039742444716956
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.0028694697723877227,-0.03679557500822922,0.0027947370932869396
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.03837650852666066,0.009431127406868023,0.040174311025948
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.0035367308963056565,0.005687760587868573,0.03492982624746459
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,-0.0001888222436918774,0.029283414239680394,0.007700936230996097
