event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.028948246232978148,0.03213928250795145,0.0042772090332233665
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.03479186554513203,-0.005502348399856416,0.004589792671166491
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.024322451850852318,-0.029826335089901845,0.04121397864154952
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.023706424243210372,0.0008811936502833295,0.019095090000946877
12,6,2014-07,8.0,11.0,0.375,3,California,-0.003355887081345321,-0.0042814515583345925,0.22288996927210836
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.0018359484089867835,0.01098198628328495,0.02760091680622874
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.005274578018823861,-0.0364698795772585,0.02379048151468458
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.0005228159301344792,0.051519833377281554,0.005542409329256826
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.048370297512869254,0.005659396754998436,0.004221769388483299
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.023677047207058127,-0.0032129853292808264,0.002509091779753266
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,,,0.0
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.0012737921010521902,0.0021182284415014463,0.008444314124930923
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.03388652205785381,-0.0857381577776476,0.0058946178521649345
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,-0.00031718925624130145,-0.020543910453824588,0.07790211334452432
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.01796974777911516,0.044493972236067214,0.007003989417216958
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.014755679105525,0.011923605434400852,0.03321158379586604
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.03013448857154996,-0.02270413340052546,0.04188621138753957
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.023202549837137737,0.012721760538043636,0.054011574949506334
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.020145363484618067,-0.00017341293825468007,0.03129851678617723
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.04075186978214074,-0.0022407178864484734,0.03727292834643477
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,,,0.0
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.02531868528887765,0.060446693333156276,0.011125167323863492
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.0033788822893282187,,0.011902518453947126
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.030448910592416462,-0.024476049077773232,0.007324864010355463
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.0028148909899242125,-0.01942743119520629,0.05542767808804777
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.0018287347508248637,0.051687121474008724,0.0493686954752867
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.04463450606549929,-0.0006517998343875675,0.010564677164408556
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.0008959394995677883,0.004801636962773026,0.11096248204324038
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,,,0.0
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.004821549081856336,-0.00020348634733291515,0.0229969205862049
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.02147766712158017,-0.013101851647857432,0.006405093886597596
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.021385958172427805,0.03514030200174123,0.005074478199086587
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,,,0.0
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.003193337456880274,-0.03385973774183437,0.0034359557649744554
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,,,0.0
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.007583443372681946,-0.022412588526047494,0.043201155630240094
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.005066000811446841,0.037756333727596236,0.009553754931984583
