event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.003170940669168121,0.004737769725422281,0.000515006860273159
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.130169375918514,0.1295398927715119,0.001311727243564524
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.10539556932047645,-0.09244579650333185,0.0017068633356802187
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.06825060285877749,-0.019101735527576436,0.05714657071251715
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.07868782657912052,0.029624388405013136,0.006216018636089874
12,6,2014-07,8.0,11.0,0.375,3,state,0.001177984090089318,-0.0009007374636954002,0.19603539228294853
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.035134401568394535,-0.03198001188960092,0.019725476513720478
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.06262387314254328,-0.034525179736169476,0.011191386368586046
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.039422610009118425,-0.025550275190631855,0.001812006807396757
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.02162670405823852,-0.030981527550320243,0.0012164078274729982
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.0273724459429254,-0.04889138605147603,0.0006455048707296995
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.027358365507063998,-0.03635514642855742,0.10827944788283796
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.04535427371936762,-0.079732912268554,0.004776529378018838
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.0011687122683717022,-0.09398762158832502,0.004346704049590569
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.021153948905422493,0.02610665537751722,0.04074529215593597
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.08403600822539917,2.407936719234227e-05,0.0003242762553208941
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.10876139736814358,0.06491933771219782,0.005178469085996834
41,25,2015-01,8.0,11.0,0.375,3,state,0.013511678524829707,0.01602534775259501,0.018515705312194587
43,26,2014-09,7.4,9.25,0.25,1,state,-0.08993983009506176,-0.1182276091020471,0.008053465098611247
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.23248063182849357,0.07214041915082897,0.018093847164102766
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.022827563229742692,-0.025644869042062923,0.0031790223000438835
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.08939619052213135,-0.09251788389730353,0.00953700876201693
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.23075643835086693,-0.15063259043741345,0.0002532079769714185
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.028202291255769174,0.052297607212567765,0.005821387018277801
53,31,2023-01,9.0,13.5,0.5,3,state,-0.025958986439110238,-0.04464445373830728,0.006393762856567303
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.036713459093919654,0.014042461134109285,0.013745085540694113
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.012966185715999556,-0.0033327048378327673,0.037518684028026175
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.0032578227550809913,0.039199304183984374,0.031809459644714676
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.08906161820072361,-0.007697459957274055,0.009078315842801036
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.012280105319184664,0.020601700186250016,0.010278089706512046
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.056447752395067996,0.003100324543080457,0.016108903183753194
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.04254656904064727,0.07497691477025475,0.013379148606968165
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.060067065564681,-0.0847138751236522,0.0042937489372700454
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.07221397399664076,0.1416617896500098,0.0006710587425869879
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.030683685913697994,0.05260469778501242,0.0007477078760154243
76,50,2018-01,10.0,11.75,0.175,2,state,-0.23145625754802432,-0.1395826325348169,2.028369926261288e-05
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.05674324297958647,0.06304667537460673,0.018677473208330065
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.051447926637896546,-0.007085203355670089,0.02689014017819197
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.02765796785874236,-0.015322541273957435,0.00015722038502885468
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.12707026266192184,0.08888707400875734,0.005524960108955718
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.029184243043593627,0.023751487773775337,0.12581179474547433
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.020485908154520754,0.033551377308213115,0.018744759761330436
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.23645240303771609,-0.3425056288489649,0.002364498551379124
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.07806695514407994,-0.044248377180099996,0.0019879213527349963
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.08603087592850261,0.08151314220137518,0.008852738962062597
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.07895184129907745,-0.07879987098138574,0.007385631766918904
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.14074889312929886,-0.22975738502532478,0.0015987867821373204
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.2258396049341156,0.235540080817721,0.003560574708106649
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.0033574170911855883,0.011791228928089925,0.009956052903606903
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.9977708879008012,,0.0001666062571137983
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.06607439997202644,,0.0020328142463389553
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.12764832672914136,0.03554826387530913,0.002986758689893748
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.006706634087191576,-0.15109818273335884,0.0009148051126086822
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.16554051308461948,-0.16367749618748606,0.0015081892687397113
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,,,0.0
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.08231957930761652,0.01245768226058186,0.005394073871978913
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.014131930218891392,-0.08579164691651825,0.006088503266234264
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.06720830457565227,0.13997165372150194,0.003142510892670144
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.03294334700286536,-0.06184894135872948,0.003382800192545464
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.02632291567601963,0.3211257916591809,0.0006993939534586301
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.08846266271350917,0.12139930854633962,0.0022433569371711065
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.013452957336199917,0.02952597558019532,0.015266538321387501
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.06462960919816155,0.052371948218241204,0.013973200421231432
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.11802312297448941,-0.03835170984462438,0.0055680483656671735
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,0.02090783141765007,0.023522936745144607,0.009853459703331619
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.03615528035897761,-0.07544721451924236,0.013671968558016808
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,,,0.0
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.08799269141865704,0.10723241593428379,0.002640713428512786
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.036387425155551406,-0.19468260534860005,0.006070872471898535
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.05270447115680188,0.17934863248778443,0.0017884997169117488
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.1101313222342166,0.20496069363206826,0.001738448904665712
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.002795234574621904,-0.00756358358111664,0.00022734918580728046
