event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.00782288609161913,0.0013521129911989171,0.0023757512279530303
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.01382496605978814,0.009391273671753464,0.00237584212002728
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.04637601319345397,0.07206736507563499,0.002952833838615117
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.06285239876199222,-0.05721090502412751,0.03853059293640761
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.010191947527547346,0.009908903932256463,0.019795942446783205
12,6,2014-07,8.0,11.0,0.375,3,state,-0.006075456353587583,0.008508505309784087,0.10945950301943498
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.05098308214088565,0.013032688300059159,0.020187284329966224
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.0007441790822585725,-0.07597878235902217,0.011891328638529071
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.004210225887594954,0.0657505887796565,0.004499572776845084
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.08457067016089692,0.013735676866519608,0.004015250335127689
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.03720110925302081,0.017989097116507202,0.0029268563876125647
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.029602097584915,-0.035500694185257864,0.08926623045020493
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.005101791698628594,0.0009568654285601608,0.005894962101803032
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.028593794665162153,0.039495702825962986,0.005671055254706258
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.01308854379434346,-0.05144211163094481,0.03197608389221828
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.024115030349868144,0.0654378664000651,0.004326008145630466
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.08757269808311194,0.08955278474200845,0.017419526572182382
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03362962128897906,-0.01670078790327517,0.022758525598815853
43,26,2014-09,7.4,9.25,0.25,1,state,-0.008419938982130809,-0.024356920226122458,0.039934379472920355
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.03393581375221244,0.06054604466567115,0.04582385082018509
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.02859273338199303,-0.051417091652311675,0.01172241168061234
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.01348815986798127,0.010706741083982396,0.030344443445264904
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.07345489080888404,-0.013473958535713704,0.0032428749783328424
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.047184043763763894,0.08053434005725074,0.007800443620693823
53,31,2023-01,9.0,13.5,0.5,3,state,-0.06816178847689935,-0.05742468667579004,0.010885124494059647
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.02054807954059698,-0.0016883777443894576,0.01121291212116623
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.008063921334331425,-0.047173044411725595,0.0272520686617882
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.02020070045489386,0.07408783697676219,0.03050559252645372
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.02956260680716452,0.006533742191560887,0.006210739297467292
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.0015244316605450003,-0.007334821303845607,0.03256401535572479
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.02502321176731173,0.03077922488870788,0.055710604524069035
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.04078853772032601,-0.03270159155651836,0.016600732316538056
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.026087056367491396,-0.020866089507455277,0.0048502908350427
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.03958525498041643,0.05779410268317481,0.003489796594257656
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.06011476508844135,-0.08979741004897873,0.004327612698057804
76,50,2018-01,10.0,11.75,0.175,2,state,0.010565599389511265,-0.04785508614072548,0.0021024828675545674
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.001000341063267518,-0.02643821016447484,0.024923617371171245
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.03083611888340701,0.012304844964007411,0.03229171357581069
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.05646620778774322,0.06888175765741977,0.008915339988063027
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.10472265308424586,0.0625043570121494,0.0030151875355548504
