event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.05064377748905502,0.03458773183417796,0.003978857204150015
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.0027548904203850144,-0.03842815226684149,0.004325420274152865
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.02671578765508084,-0.0331114853090555,0.026676142772298014
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.01402662787379591,-0.04786157015321224,0.010517644180705818
12,6,2014-07,8.0,11.0,0.375,3,state,-0.026939595055636117,-0.025283289231726902,0.08709442699371325
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.015829454224243256,-0.007844619373735096,0.01868938380716027
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.004284147267186678,-0.01119357533357307,0.022458790615124315
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.006623951214484447,0.0178218449957403,0.0042030369228353084
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.032853873042573534,-0.014511184060020388,0.0029858590093093627
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.022436871891365118,-0.031240751569346803,0.001231702865063519
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.015588425304727954,0.006696190837134075,0.07844686455342682
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.01582780314531443,-0.00959216833616977,0.0071655826062124355
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.04720069994616599,-0.034183263615707726,0.008244297415161245
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.012717780398020101,-0.011811862161015985,0.06603248795443686
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.03617949128692827,-0.01058183637603849,0.003694155980900694
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.01983266374200443,-0.01533151345218281,0.01972196158946783
41,25,2015-01,8.0,11.0,0.375,3,state,-0.00901450497857434,-0.005953471470755256,0.03763455491408195
43,26,2014-09,7.4,9.25,0.25,1,state,0.03164445286533968,0.028175324960528325,0.042019878276593196
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.0029331900702513625,-0.00021245187764362683,0.02723379482654001
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.014962500194764444,-0.025509491632991044,0.031035521377936602
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.04622899114966969,-0.01232771587624315,0.005238136881552239
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.024432667692102866,-0.016484826055287727,0.00881391970115036
53,31,2023-01,9.0,13.5,0.5,3,state,-0.0015190038481758632,-0.011797920345196333,0.010172330484087496
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.06040313095704519,-0.03921427389609011,0.014278029902737145
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.0032704395644961026,-0.017683026343092045,0.053556380439396964
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.007355732179755103,-0.002062057017675256,0.04546381685120896
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.044494967785530026,0.04598735286097033,0.003378148383714951
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.01802061008380515,-0.025144558215581758,0.029624731492816945
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03163285230653132,0.013743702144095482,0.05125095566679908
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.0022786108337320976,0.012787145085904117,0.01608689176180358
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.03819900383693975,-0.051824891040878784,0.004828496909718717
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.01063816101355669,0.028760042291499754,0.00405598214187096
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.03950660460274047,-0.0037106988529126417,0.003818290209650574
76,50,2018-01,10.0,11.75,0.175,2,state,0.020963501207673707,0.04410740453443407,0.003121912692812746
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.025246896963187992,-0.012198373196218415,0.043922936777466004
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.005785037829182688,-0.023807682229075644,0.02922761907652458
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.022531106564679992,-0.03669737586013111,0.006607044590914834
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.032491601457315694,-0.038496180409011815,0.007340578985189804
96,6037,2014-07,8.0,12.0,0.5,4,both,0.006716187325109341,0.029452727183824745,0.03819660973892999
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.05155953761571658,-0.022119239112148248,0.011549101788323182
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.043674070580805247,-0.036429386111615336,0.003385576821224193
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.009454157031466348,-0.04774378672057361,0.0010198405678117756
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.021354760430084885,0.020462586139236905,0.00564052846207104
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.05440098639178256,-0.020390332396505673,0.005839163468974823
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.015909741811948624,0.015032088049840409,0.0023173693215598977
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.06948910600848657,0.05354951148405329,0.0021490598502154827
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.034531496706608905,-0.01423421015648696,0.0059471535872927025
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.05431391960193663,-0.004855339980029072,0.0016509831636557376
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.04384458494652013,,0.0006523954285291402
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.07914122000676421,0.05218634364604868,0.004941477565948137
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.03939582553299664,-0.09207626433495619,0.0006703691231859707
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.05438328436190207,0.029095098635907923,0.002046192488024048
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,-0.01830032703221393,-0.06729032837429294,0.0014175928373730705
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.017953214649522542,-0.04429338632573582,0.00265562755736762
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,-0.024338605655231466,-0.030394482672737033,0.0019434390920419623
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.028885463622367213,-0.08014227584626443,0.0005350423961570615
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.06441551678560171,0.12662912944146548,0.0007088151519760781
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.08228383158485905,-0.03350626995350664,0.0007647365594984621
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.07067144205443829,0.08465670204949644,0.002839995363301341
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.02003843104217698,0.02977695649857509,0.00625883162421781
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.004066110342925255,-0.01836533068932733,0.010443529521062415
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,0.03953116845748442,0.1170116931532531,0.0020968075893554035
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.05014516945475564,-0.07430883190956938,0.008547796582479773
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.003792984493326851,0.024698472881379607,0.002034774114278909
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.023834788277506125,-0.013645900713124937,0.010185702564278639
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.04662144549933708,-0.004443704029431839,0.0056333448816232035
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,-0.023588199957681993,0.006351717605929896,0.002340222963037849
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.012125078979834447,0.03818979192848537,0.0060782281457526476
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.002239644667272833,-0.04604281817315847,0.0046349280973433825
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.06477789222130284,-0.10223880767562915,0.0006981964944218759
