event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.7249586485285584,0.11756164439566197,0.0036090808308670923
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-1.08886579530509,-0.16262902595190454,0.003195844084736454
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,1.3575810200903506,0.7654643108891066,0.003436833723329103
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.4060781421944144,0.2113707605844657,0.03159784075556357
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.7355794990544602,0.1439996000790862,0.014663430592089955
12,6,2014-07,8.0,11.0,0.375,3,state,0.36345416954541093,0.30668593302343705,0.09604869895545352
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-1.1662800775407702,-1.3557645823196827,0.019326420465074764
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.1234265022199324,0.18658361112873467,0.018274450188198395
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.5848867490458248,-0.6677742314978161,0.004162622082452339
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.697419353447233,1.3979961130841743,0.003141031629444048
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.7579757371895125,0.9007330126313882,0.0019545382932959084
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.7627285338846251,0.5133463830631673,0.07744244218045834
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.39916785159631973,-0.5978316765831689,0.00656006499620976
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.9158888312301502,0.07960352247529567,0.006106826046282178
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.2416457254169524,-0.5647533153203423,0.048606496999216445
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.8413647988545234,-1.5360984253079135,0.003621298589854298
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.18272775385948548,0.21723052530115794,0.018804704566128917
41,25,2015-01,8.0,11.0,0.375,3,state,-0.022736424870606786,-0.672402023342614,0.03182511483763695
43,26,2014-09,7.4,9.25,0.25,1,state,-0.4390867072200162,-0.5112490233861366,0.041063161788816874
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.07323182274898743,0.43477148522420705,0.040755123267737045
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,1.3777058011151428,0.21795604940610303,0.02009956034271313
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.4013817404038429,0.6520499830609727,0.028240503398687056
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.2867510209187165,-0.6941197803124148,0.0039702097150513945
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.6841447504207776,-0.6957904488192024,0.008033752538218638
53,31,2023-01,9.0,13.5,0.5,3,state,-0.611767815293246,-1.7653935836932155,0.008595071844638667
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.5522206823392506,0.3027262484818465,0.011673447269961366
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.18508021387263895,0.644785703913928,0.04279574241190165
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.589653528796432,-1.3185540940808727,0.03834323426159369
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.2600494376038116,0.3645751017189378,0.004447797016079686
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.04598622067678415,0.8387481018049827,0.03182995953031717
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.19864807411625285,-0.12262846583534337,0.0499977682891989
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.871713605578569,0.17788644479479687,0.015132395207361458
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.5206281399773545,0.07541203397283014,0.004962621165679591
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-1.0770044481927123,0.5887356524247793,0.003662039048263848
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.5292414366826792,-0.6754069027026772,0.003979772870744028
76,50,2018-01,10.0,11.75,0.175,2,state,-0.4405647829186843,-0.14026640078141583,0.0025988217758465874
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.4412556890725188,-1.3752585160822774,0.032789337647341106
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.9870474397254788,-0.7951693512401419,0.02916377884817784
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.4974711686466981,0.9246195011997506,0.0072740577071115356
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.11515941753953529,0.05773654960169017,0.0059192558222381396
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.21405451082677623,-0.2310708514662151,0.0494080089177915
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.23240443671197872,1.4684133167080993,0.011449575568634917
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.9040784507141468,1.4557265789082203,0.0022437882237991975
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.5860772412090961,0.10130572487107914,0.0012574897091001303
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.6558824240456611,0.1989088379377748,0.00612823204251461
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.5995723240147646,0.1060601380446966,0.004659455977962988
114,6097,2014-07,8.0,11.0,0.375,3,both,1.814481846571196,-0.10315026676713235,0.0016598493849607433
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-3.651988061433783,-5.880676051674725,0.001988747533852736
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.5016872148334177,-0.7252917817350434,0.0083767709865234
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,1.0800125182427256,7.847113534241432,0.0010895016104548593
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.939773939463654,,0.0010565243702902122
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-1.000791888562219,-1.3208433277106073,0.004342270291914996
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.432444882485648,0.9984782921827464,0.0013722057377009175
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.29336443699609815,-0.6747961674712585,0.002342903150018762
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,3.6891078723916415,0.6383563242436376,0.001951761121256171
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.7133993617384349,0.7346137897421701,0.0030617266190577867
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,2.3056370535291197,3.659016924807319,0.002444274563214725
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.7520550351614688,0.7403687271131668,0.0010357415594043791
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,2.277704157359935,1.5675974976550913,0.0009496299751038806
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.14043578719021488,-1.7698715724688712,0.00017060238183112784
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.9728485034103302,0.9014347769373838,0.0005977546502380919
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,1.5383046678811891,0.6592883722827232,0.0066012230620893725
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.2574604450909485,-0.35158444424196733,0.012171290217339871
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-1.332110003636056,-1.1694591619813217,0.006851706649948633
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-1.0186564925958477,-1.8720896043163002,0.003365936128676082
