event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.26224107110036465,-0.20409930318706815,0.007154988461894988
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.4107007178712532,0.09123891604569323,0.005184384029515513
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.13281278851126319,0.30616081826114705,0.006318402177988288
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.07570880140155678,0.012580243749418685,0.029244682743710376
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.23968873400791968,0.31667325438084815,0.016491187556217868
12,6,2014-07,8.0,11.0,0.375,3,state,0.046030486375713275,-0.28237208586046103,0.041753196064204766
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.2536607913790847,-0.264800690934607,0.020203728727785027
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.043463327001229235,0.04344342021527581,0.021263274820124474
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.1775000944054146,0.04185385917104689,0.004379514174607067
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.0025448645928665137,0.08573550366707394,0.004904614486214347
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.5154580615176705,0.9014964904550644,0.00016624893029771928
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.006955242016937646,0.10707302929700235,0.05131561014175574
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.14401476583754813,0.22195317000997639,0.005759216702493663
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.4396272144685762,0.36528851241715365,0.003613234341589829
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.21403555090336646,-0.3383399846974817,0.06022029210494339
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.13842876617687283,-0.1698587947075647,0.005560155415325384
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.3367650374606508,-0.28271582481017754,0.021385061916576655
41,25,2015-01,8.0,11.0,0.375,3,state,0.5506536593499185,0.4495436436987519,0.04894160325332885
43,26,2014-09,7.4,9.25,0.25,1,state,0.1087032108201329,0.19818336202059994,0.05648314939273846
