event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.14551413864837648,0.05456525041626614,0.006062695224478006
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05205344240313026,0.046627135002750064,0.0074526925680799
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.29583835713734385,0.185970454104057,0.029713924039136842
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.06418926605172981,-0.022621060691234485,0.015729830027970498
12,6,2014-07,8.0,11.0,0.375,3,state,0.10034041607927802,0.04415942317612953,0.034331319584864184
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.0942811697436986,-0.03482451058992275,0.024314088113200485
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.016336758554784225,-0.01699508486233192,0.0190154616907427
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.04363370774501851,-0.017394764798321694,0.003974582638054732
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.011350701669356589,-0.011889479387423352,0.003678958171293391
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.1531898791182542,-0.17068280960620363,0.00020055523443834707
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.01289510502337643,0.01624571246809503,0.04934964479086801
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.01659522324396079,-0.12433907851668158,0.0048423413652742935
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.15272202669964852,0.1370805262161947,0.005649522333239048
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.03752757479359703,-0.05395462715208943,0.07289084752525937
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.03538393622676228,-0.05473449021297583,0.009849800031412961
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.08316246764651236,0.06081989515596087,0.022974052285318167
41,25,2015-01,8.0,11.0,0.375,3,state,0.05212535003537566,0.020436290724380024,0.05412979986246603
43,26,2014-09,7.4,9.25,0.25,1,state,-0.0009870150725823645,0.014087894362604159,0.0610226093431722
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.05280059886946742,-0.000306186464857916,0.04364420743487091
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.10946493150938374,-0.017735171771605773,0.04867536926265636
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.0686635465318638,0.036868967714202006,0.011306270390792902
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.12624329885316243,0.007119105632497735,0.01406499355587811
53,31,2023-01,9.0,13.5,0.5,3,state,0.10569815674011156,0.029302552635439127,0.026667142642694416
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.12077397446373128,-0.07083213868220173,0.009994080156392004
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.00821542305655687,0.012127487724730601,0.027407285144327075
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.060635994765837586,-0.06184986500848,0.05073759124930682
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.21201386520878385,-0.26460159745244627,0.0006826346978832439
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.06818990177400874,-0.001151897489333642,0.023197662966808863
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03236386952861048,-0.004576463163816102,0.07552596011127789
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.024268219271207925,-0.08018536113940078,0.012198111744473652
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.08136871969902892,-0.009491638722374018,0.007103377565129519
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.015480371043999908,-0.07276294912111614,0.005906070474650495
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.03079856810685122,-0.007664825155291766,0.009849389698704851
76,50,2018-01,10.0,11.75,0.175,2,state,0.025955864341465018,-0.026471275237071046,0.00664020398371199
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.1369465046543752,0.06704473765989416,0.05289446702383966
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.15281249957642606,0.07338980091908254,0.04159554446968022
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.028795427781799998,0.09957670730198576,0.004317959341370783
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.02077457439882613,-0.22278394150900038,0.00965370776928914
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.15300682722922676,-0.008115081633926824,0.007923789846031107
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.1359608891110462,-0.055119229977138695,0.0010653073916353968
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.17551554952969917,0.049761941637330054,0.0014080650989995575
107,6081,2014-07,8.0,13.5,0.6875,4,both,,,0.0
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.1837750823081271,0.08770868732499193,0.0015721915486085008
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.13814276226342312,-0.019030208065143217,0.002104781562695183
114,6097,2014-07,8.0,11.0,0.375,3,both,0.14442033663184195,0.27493807167874795,0.003776231838252956
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.020824714622092344,-0.20363917308898016,0.0032250340839364198
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.3094170374510827,-0.254493354578577,0.007072621653224872
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.14419140926885965,-0.2095289765612176,0.003255539660359915
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.027685551885410997,,0.0019855984410197917
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.08549529360895658,-0.20088572856034959,0.0074503140092465805
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.03452039706414989,,0.0025292620476711544
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.07986941059606956,-0.01732503701112842,0.003303621533954826
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.290012335196702,0.2216579472281015,0.001119731414966542
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.061571708353044485,-0.0612303604409683,0.004343101595124551
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.030788173188629253,0.09221571468829248,0.00047104051448541384
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,,0.19508803266831132,0.0009194898550219363
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.08570917063384886,,0.0012432499596132444
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.2761223735592575,-0.18033341340697895,0.0007503101557891157
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,,,0.0
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.03254384038368766,,0.001782145795282756
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.1560361402845191,-0.16396191570950092,0.005151047127241439
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,,,0.0
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0593424238448223,0.3692195247132737,0.002098546201697707
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,,,0.0
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.35644679534207396,0.47166124614633453,0.012626645868167391
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.034801866385539615,-0.035787482629415335,0.006942102323728095
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.07564356645400878,-0.04382167641888346,0.0008416041413163246
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.1255534817839975,-0.0761748588129727,0.006501011240788773
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-0.12169772391941847,-0.05398951836737376,0.0012928605781324857
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,,,0.0
