event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.008007703416824441,-0.05675748492809696,0.004206663829636578
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.15222031198807384,0.12482569821455991,0.006750889855070229
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.172358356782926,0.046403533953284004,0.05091889977524975
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.05727257540180308,0.03060390471695129,0.014747482694676848
12,6,2014-07,8.0,11.0,0.375,3,state,-0.035626834811458896,-0.10940459824418336,0.06823045974958183
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.13329179997689056,-0.014015572259624909,0.036811639860778754
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.026154860605053454,-0.06481044228548571,0.012985679660111733
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.048681473127141994,-0.11093648055843253,0.005125921199464119
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.19549313448882777,0.18868196813925575,0.00748650137112992
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.6183144824793139,0.5775852772875247,0.000309926336922103
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.027969453661944366,-0.06970241556013024,0.07559437473431196
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.05450417228777571,0.10843533719043563,0.004042564302708853
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.11345686953316969,0.087157785856119,0.007822660364956187
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.08180487221047217,-0.013947635011023696,0.058086740295403505
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.30408605541753675,0.12779317412117375,0.009328233365990445
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.05989078707383855,0.0997311411611077,0.002062823888351453
41,25,2015-01,8.0,11.0,0.375,3,state,0.173684888140351,0.08270280417474618,0.046239931052637476
43,26,2014-09,7.4,9.25,0.25,1,state,0.06976454198556548,-0.10593648111114218,0.030483752817753812
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.04172824055606972,-0.03570177454532608,0.011571814651325521
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.04780076481652851,-0.16009945208568999,0.04688443882167012
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.027440183426790776,-0.007736716187909609,0.009253422259062305
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.1355485613134091,-0.02416668039220149,0.023494520020566373
53,31,2023-01,9.0,13.5,0.5,3,state,-0.018649539905901236,-0.007286125138220134,0.05657928254926064
