event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.016913556822998665,0.018288067886841113,0.002496776899149901
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.06492374829408874,-0.05666982867457073,0.003103138568482697
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.04570587435535782,0.037007920345026896,0.040491871721285176
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.018968239089274672,-0.010595714429467017,0.020803592705672606
12,6,2014-07,8.0,11.0,0.375,3,state,0.0038331313686977564,-0.007356834772433832,0.11503119514027978
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.06427893110271503,0.03218827872521506,0.02121485461797087
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.0010955367455067894,0.07730494791330401,0.012496619364816261
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.022755659297328742,-0.06303113283380768,0.004728609393094513
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.10219106803973435,-0.03417976069196297,0.004219634039039429
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.02314857956048308,-0.03816478651891455,0.0030758388169481858
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.004265593885142017,0.030534709806319345,0.09381004747053813
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0053483463814459516,-0.001523497281075939,0.00619502662785394
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.04794320066029741,-0.040709000657529644,0.005959722506136334
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.023855877493045165,0.03081553391151231,0.03360372598598981
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.058770153443000656,-0.10311301808147222,0.004546209999602342
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.09458295029096246,-0.08712242817873647,0.018306212846775118
41,25,2015-01,8.0,11.0,0.375,3,state,0.0519552322613918,0.05993222713134324,0.023916976845743697
43,26,2014-09,7.4,9.25,0.25,1,state,0.009143779398169655,0.04914124237286582,0.04196711360127274
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.005391150179678329,0.017763740196375874,0.012319104219829971
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.012823081592361119,-0.010267909730692942,0.03188903200808146
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.0003028548468306559,-0.007334408129997,0.0034079433412181896
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.0011243086485221987,-0.017862555079420868,0.008197500697161611
53,31,2023-01,9.0,13.5,0.5,3,state,0.05905315950999942,0.0981131260934468,0.011439197559485482
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0020826606319032832,0.0065034360397148785,0.011783670185965175
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.021549071954923386,0.04418432944993573,0.028639249601323864
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.024894302336894852,-0.04102947318953276,0.03205838387697872
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.008072296900563027,0.018278668058522456,0.00652687746961097
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.03067147309788124,-0.0028198294918824023,0.034221584253587824
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.0015901738724845328,-0.022763476242087806,0.058546377825717796
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.011234783748624352,0.00792574718442822,0.01744574044188909
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.032579896054375654,0.024932777415941652,0.005097179652221185
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.0734204877455461,0.016648187474487708,0.003667433726267327
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.013235321752798082,0.009970303422159814,0.0045478962267300966
76,50,2018-01,10.0,11.75,0.175,2,state,-0.017920907399493632,-0.009214622208580624,0.0022095031527214477
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.017598150504770156,0.02030141118825929,0.026192275812871358
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.005172006793213665,-0.001775005757976074,0.0339354218070364
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.08113448261261641,-0.10649304871145499,0.009369147361529025
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.055996437503593316,-0.046551016367374166,0.0031686661844734145
96,6037,2014-07,8.0,12.0,0.5,4,both,0.00047201372676967945,0.02003863890844885,0.06932388655391306
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.02260010658040007,-0.05220277890357654,0.011397517268455084
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.142391589907156,0.08057432733537766,0.0012691342140611626
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.06426013265769079,-0.010332199497113378,0.0010399271794301222
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.03680063137696441,-0.018198422229553382,0.007300112526404387
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.1328103312533962,0.09288539786102935,0.003107592115153463
114,6097,2014-07,8.0,11.0,0.375,3,both,0.06532471999170632,0.11931129043724453,0.00076057849683688
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.10641952172048902,0.10723403842504736,0.0011807512127109336
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.04717904125205384,-0.05248833927685274,0.01240161285534141
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.034547082763406324,-0.10921887680010328,0.0008640683480239859
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.08389292256116453,,0.0005617208015434157
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.008608796207011923,0.05393578588235733,0.0035490462402702275
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.00018273246857592254,0.0004969323178125734,0.0021092080414471244
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.07422017751838934,-0.14412891086892368,0.002651071250840461
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.0581439849177244,0.11958286085841763,0.00176524800129228
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.005213571650508248,-0.03929969365015787,0.002726945382379238
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,-0.07649141276395567,-0.02095511496605411,0.003550212170148249
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.028039118881104604,-0.06598974312308803,0.001676433388701895
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.043270538120961655,0.014406253939144596,0.0015442636721968734
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.05614698573961905,-0.02484659016708238,0.0007210373270186306
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.038061722894385724,-0.017462830475591537,0.01258865865852954
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.02084825187402169,-0.039560311875336804,0.020781688682468394
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.17358693839717457,0.1037869959807754,0.003551812394529972
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.054380430193693444,0.005109687347694285,0.004994746218489715
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.012325590997225362,0.014921601383257925,0.00950580668970325
