event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.01636306542357679,0.022509535743288275,0.0041179822609143145
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.023319662895215167,0.027076474103671012,0.0035943287645769976
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.043210268663095595,-0.03826164018460902,0.003847736717750657
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.013932577651055874,0.021648773983421597,0.029787587952423283
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.00900941408367624,-5.1812469648145065e-05,0.012024291267854226
12,6,2014-07,8.0,11.0,0.375,3,state,-0.017054237248711798,-0.0046384987309407225,0.09329825433013277
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.06263065354041189,0.04222310055097215,0.01812255263255086
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.00682855768718668,0.04286412269307205,0.018400588026321947
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.002227418795820762,-0.021152199781841706,0.004196980296345789
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.03266102199755938,0.01104821026431093,0.003542264329676449
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.03540034686542654,-0.00810535563049597,0.0019479856637841524
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.007480407065515851,0.01144814342400892,0.07606014598785946
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.007162657897542633,0.0385908154084874,0.006014048391915598
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.04533602612698354,-0.030791479089726105,0.006559222226063171
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.02441228509912423,0.02175338003107828,0.050552333010711666
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.021368470741969927,-0.09899056548932633,0.00354360537406051
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.018699389117641577,-0.011206640405319324,0.019290612031160444
41,25,2015-01,8.0,11.0,0.375,3,state,0.02177899850646745,0.02686157356213001,0.030247781376217715
43,26,2014-09,7.4,9.25,0.25,1,state,-0.01711429229401767,0.0028408389601058265,0.041651292812795775
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.004457305882727296,-0.040030090848964354,0.03767896009364309
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.0034674763658326738,0.018615034568814005,0.021101929709817398
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.02426422844557853,0.0017070247325616308,0.02928229444562359
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.01937126822990984,-0.01391135967988013,0.004369714944703277
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.01278105657610372,0.008362639662279125,0.008011965436866128
53,31,2023-01,9.0,13.5,0.5,3,state,0.022674973337707433,0.04614389224247244,0.008830509131271373
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.022732841988314177,0.016704536521878005,0.011179976251713688
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.021833726737987644,0.03452951877662129,0.03867152430373609
