event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.047671676596240824,0.06982029690882013,0.002629157363676057
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.0034708036354187937,-0.020612229118348355,0.0025852416445558382
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.06617724690904964,-0.16380462991100397,0.001855272976498702
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.031406655947458686,0.006772555578013265,0.0403937795719975
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.007785385422734185,-0.008795357864566717,0.02207710203090834
12,6,2014-07,8.0,11.0,0.375,3,state,0.00958387954448639,-0.01593160784482889,0.123247457005576
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.009887418362752462,0.005621087874323839,0.020011975749791668
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.015390690073934895,0.04684993231613849,0.013588692502724473
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.007514439890584012,-0.02205959968442866,0.0048798424505455806
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.05662367135247057,0.010665920094065431,0.0035182877378692537
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.028809278364490633,-0.050512999658312005,0.0034328539981242604
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.005807082189323732,0.01039861879567281,0.08813320557678309
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0022908460932021674,-0.02921212513246193,0.0061724522815061736
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.019494873073866967,0.011854065131679137,0.0034368183750196
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.03913598840672772,0.046690707679347,0.025009829000947604
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.05504518794840061,-0.09088356706403708,0.004719234684878975
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.07977176360427382,-0.07918065245033704,0.018077930628711367
