event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.010538910028688165,0.010842181349413386,0.0042362603163938395
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.046747742992920845,-0.03741616677065723,0.004545851372310635
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.022605773041832186,0.024730033711732664,0.040819408367405316
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.011997290342036233,0.006710646601937834,0.01891227933464333
12,6,2014-07,8.0,11.0,0.375,3,state,-0.0019635904664144083,-0.00461495355085758,0.12333553159663216
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.019322095806786038,0.007515505709026461,0.024746984947236202
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.00829863032951143,0.032459932730356994,0.02356271857786857
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.005245238208136372,-0.030273454959862077,0.00548934796414369
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.03741207245122844,-0.015138147993873911,0.0041813514341897985
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.03481342867391383,-0.021053040828134188,0.0024850704873660237
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,,,0.0
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0015454844285260581,-0.007839864139707615,0.008363470793394988
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.008432244684518577,0.0397806705364627,0.005838184548257719
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.02197125026304418,0.013854599432397509,0.0632171025769867
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.002359057200473006,-0.04739377016293267,0.004814949058628106
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.01672059440067189,-0.00997974958012262,0.024458913175496748
41,25,2015-01,8.0,11.0,0.375,3,state,0.029243098347469,0.03520479747032359,0.041485205358643786
43,26,2014-09,7.4,9.25,0.25,1,state,-0.020728432429705828,-0.004353901487181004,0.05349448432546981
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.005425005071444873,-0.007066191723145172,0.026170383858578058
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.023751506125073124,-0.0009725415986915689,0.03691608850615341
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,,,0.0
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.0017860828621839107,-0.02008115307712476,0.01101865830761308
53,31,2023-01,9.0,13.5,0.5,3,state,0.015558102038107938,,0.011788567311053929
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.038342673302254514,0.03266585210330567,0.007254737958566781
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.005683223022512566,0.004184843461367403,0.05489703011715934
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.009933638786772411,-0.034194401085090725,0.04889605438724122
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.048644513817626765,-0.010823250286015822,0.005658602155126144
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.010772205416877758,-0.008563846757167506,0.04102511469898251
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,,,0.0
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.006415137615261399,-0.004708083093897988,0.019508786923894343
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.03127528920853273,0.017165261946399828,0.006343773438195017
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.02618057251542678,-0.001251956498939194,0.005025896666311835
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,,,0.0
76,50,2018-01,10.0,11.75,0.175,2,state,-0.011274467978441553,0.01075487498858032,0.0034030609546984447
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,,,0.0
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.011987862379763486,0.01685304173413185,0.03777122042749107
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.022722213034080705,-0.053852469869873285,0.009462290146810473
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.019862851370830607,-0.03103167633102058,0.007833638407545933
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.011992193896065591,0.0016609072386337478,0.06304489244144915
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.02582915368593199,-0.02897328594614222,0.01452378790710813
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.05767338886439395,0.04621244266099285,0.0029162776959595882
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.051829932283031135,0.009393550559154314,0.0015951258385832787
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.0030546797240790236,0.015426610388944106,0.00782797860652316
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.0002672886560511091,0.03904613803268466,0.006137045808438026
114,6097,2014-07,8.0,11.0,0.375,3,both,0.024763610541931498,0.020098108403372138,0.0021055191330369917
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.027483717067879335,0.11688635786073612,0.002589688957194998
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.05043984091062607,-0.03107841277256463,0.010866310263271468
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.014958317885393145,-0.04693287692437071,0.0015715756856937596
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.03077209739905152,,0.0014135814058128685
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.03641436420976947,0.030703064293760483,0.005768491751814788
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.10713104277429727,0.05797194275575614,0.0018030819420484325
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.015973140387074872,-0.06601827635179815,0.0030254083702129847
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.019539552067217462,0.12191050389132423,0.0025305569495058886
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.0049498457686901216,-0.02349411873736014,0.0038838005634513006
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,,,0.0
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.034613064231341965,-0.08391205289258025,0.0013351940692110386
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.01170086741366369,,0.0012046057311000849
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.013458533406921444,0.02879448511125534,8.429985944864183e-05
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.047368758939683286,-0.023331899621452906,0.008373652202788828
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.018652108993387182,-0.01615462121309804,0.015487147373505969
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.052270158548004986,0.02616204134672584,0.008757980144119328
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.007761988693335279,0.013678726719626423,0.004354023848873071
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.05301795062827945,-0.011456631475522158,0.012065924743187843
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.024725395226928466,-0.06270571642044308,0.002274719150104434
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.009175970498431137,0.019700827563709725,0.011503437333940143
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.023055946892256672,0.07775843361924725,0.0060581610150293634
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.037363224763601474,-0.03838193996141631,0.003267968039886917
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.06533664352886082,0.05674789815341843,0.005773781431312734
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,,,0.0
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.17007258978954481,-0.06870323207725432,0.0008949632368978323
