event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.02987412946028068,-0.017998054745818927,0.00449661762150745
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.021356245930646486,0.026784798449768,0.0038439939576091135
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.026202191867948962,0.017749727142649684,0.025893902684863735
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.0315950531677469,-0.0025546933328365884,0.010717771760218108
12,6,2014-07,8.0,11.0,0.375,3,state,0.015036433856417255,0.021247142712444135,0.08999700093422411
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.018559804905878687,0.011015700855556011,0.018155549055865382
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.004308569189252206,0.013514458182236518,0.023623722014106133
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.009655289544010816,0.0005530306372140692,0.004129681116013824
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.021396417254345417,0.012741779088848264,0.003362576310316032
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.006062092016608562,0.03362376566946642,0.0011931503986066226
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.021958704017450457,0.0026251389297822086,0.07284403063438902
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0036137688612093103,-0.015592764573492245,0.006696845411394583
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.03496172508549296,0.00808231142635214,0.007151168865880842
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.029042235136769966,0.012905844608779193,0.06055183753496416
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.035386147875323876,-0.02364653347966605,0.00312700929916233
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.03269796682160299,0.027185977329985463,0.021282766448136564
41,25,2015-01,8.0,11.0,0.375,3,state,0.010124602426270779,0.015412893210560705,0.04092173619107686
43,26,2014-09,7.4,9.25,0.25,1,state,-0.03965244025258871,-0.03213537300342939,0.044782443410323974
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.020045021640312376,-0.0024398416253044106,0.027264042816529808
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.02206218486410895,0.002559183955530557,0.02905215898529287
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-9.98181189007033e-05,-0.00013983472315043377,0.005332158322748719
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.00506514362587791,-0.02599243725054614,0.008723506601417704
