event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.06142304782339052,-0.004678257501983335,0.003696902675273475
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.012893388582153581,-0.03740469382959652,0.0033585019292943752
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.025839757171212743,-0.031214047345994533,0.03309626436306905
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.023025980761108608,0.014345636865870412,0.014071488467743523
12,6,2014-07,8.0,11.0,0.375,3,California,0.01985282197691466,0.00646925233574705,0.18895948781680583
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.0009033030126948532,-0.009788376279526029,0.020573874003620627
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,-0.007658025167538406,0.023230202408509093,0.019360116650288802
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.004831826945759898,-0.027330030431149566,0.004575162205348469
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.02816325903547537,-0.03373037488449648,0.0037228233237306327
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.012217915471969053,0.03136528662595346,0.0019259864980222246
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.011370256647529137,0.00619294911383271,0.08118853573056051
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.013652923233144654,-0.035931299669472505,0.006501323090605109
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.04633336745245055,0.006660419651760327,0.006383590914289206
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.01737200272523899,0.015534221211972565,0.060123427374082404
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.006702385991508186,-0.012054255452327134,0.005419890988547113
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.046129311612495005,0.033217299313443555,0.02559748218961395
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.027854610508849353,-0.034771052343075204,0.03447015374605806
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.02119820569944378,0.005232517043691681,0.04458587315319405
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.019138836890759695,-0.026771610464335183,0.02658483212427995
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.014635543365384251,0.0475066463433548,0.02796850422388884
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.0008358825461195762,-0.027579176606292416,0.0045298389086365935
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.03756929515320555,-0.02377898291936481,0.007984394996697881
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.00994923824246328,-0.06261875089167163,0.009421162170160133
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.025950252551747405,-0.02940709425009741,0.013207607402159408
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.020744983125205722,0.007035641356204395,0.04502562953689005
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.014113531385870778,-0.019070827860515047,0.040772708473741294
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.010035708267425107,0.0020647821581717962,0.00975571218143095
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.009752406882774886,0.004112814806754156,0.09102303221224389
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.005290522615293253,-0.01936255187921926,0.05402298510796998
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.023688260879404968,-0.030738587848474372,0.01869696920761039
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.0028757054480658267,0.011267477023343297,0.005269305131920578
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.01889759873456809,0.02737335072478983,0.0037442653132958863
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.0014972423434928134,0.008462314581413916,0.004041488267506032
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.041759659787385744,-0.008330522711458316,0.0029311745717639525
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.009745652044735806,-0.03770793695668481,0.035814931769696905
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.016662580620866688,-0.017984737290127367,0.03326294427628228
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.0062443176713005075,0.021195509961558417,0.008331629003677607
