event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.06109992547067851,-0.004905770217921074,0.003641316560980782
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.012237231492292805,-0.039174911998000495,0.0033080039615381164
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.025589078377909746,-0.031880154048667314,0.03259863353663388
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.023879482428571006,0.01467678457322745,0.013859911524842682
12,6,2014-07,8.0,11.0,0.375,3,state,0.03469151803551259,0.0025092979191647657,0.10386556503767852
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.004726130389193395,0.0067657965140480725,0.018138308136743626
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.007549378318095636,0.02284360535275118,0.01906902062981723
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.00530039130121808,-0.02838480006671773,0.004506370702949696
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.029604295653227114,-0.033918190986951896,0.003666847470173956
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.012013475558564007,0.030608424639874468,0.001897027632991425
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.012194413982654834,0.006931287833850955,0.07996779620269574
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.013976045585856661,-0.036158812385410244,0.006403570101113341
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.047271290443291286,0.007377082443399005,0.0062876081294209974
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.020691394259805276,0.014289047115604608,0.048929090148788816
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.038912553447774154,-0.05130725343255327,0.003784531122407153
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.050344329297293364,0.022976265173616228,0.019168476896639964
41,25,2015-01,8.0,11.0,0.375,3,state,-0.027531488156137346,-0.03499856505901294,0.03395186531000305
43,26,2014-09,7.4,9.25,0.25,1,state,0.021157927703261192,0.004492782826595765,0.04391548616748591
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.025995693043452645,-0.018469244623929792,0.021992439421217206
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.013194506747632506,0.04731883024089939,0.02754797368550518
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.002126051799982598,-0.026475596938537738,0.004461728881021561
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.03724617280049354,-0.02400649563530255,0.007864342744358935
53,31,2023-01,9.0,13.5,0.5,3,state,-0.008848925471958832,-0.06263550636661194,0.009279506886491684
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.026425300528329504,-0.029329202818541844,0.013009019654772972
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.020636336275762952,0.00664904430044648,0.0443486304353779
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.013104457609775855,-0.018578655707011546,0.0401596557016457
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.04509844432388098,0.027722206421016873,0.004579287353053975
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.02652485822706732,0.04801741979340465,0.03247482118335932
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.004000353361430231,-0.01825897221146458,0.05321070301985093
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.02132870472821194,-0.04062932209987534,0.01599487410605205
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.0031988278007778342,0.011039964307405559,0.005190076593050714
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.01857447638185608,0.02714583800885209,0.00368796706096723
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.002787411597355835,0.009565894249168594,0.003980721012189107
76,50,2018-01,10.0,11.75,0.175,2,state,-0.043047586692012044,-0.00963641407048349,0.0028871018387034717
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.009254283033095945,-0.037148540206968395,0.03527642343837111
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.025759490660143602,-0.03443072859285784,0.028651246425963457
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.006567440024012515,0.02096799724562068,0.008206355789118753
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.014699899724983104,0.03527456212729757,0.006880097657471914
96,6037,2014-07,8.0,12.0,0.5,4,both,0.0035210083366853176,-0.002227569109545441,0.050607329147415954
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.03952697040689592,0.08044475110739731,0.012943430732411143
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.06620798960731242,0.010478102152993982,0.002452384922556347
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.05902264114071566,-0.0023294298489075355,0.0018471959947932819
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.02130581578256458,-0.021902737282932877,0.005423426415935597
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.1864070143844307,-0.15303699225121453,0.005200551472038487
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.04562069993163165,-0.09153061555373185,0.0021729390915414567
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.04160728995948551,-0.17590028058232693,0.0021262199597050914
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.035620904852044895,-0.003400975429067893,0.00991252084219946
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.050560560460461104,0.09929386835699128,0.0011110614929427244
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.059327307055600936,,0.00086687680022928
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.018322589006905837,0.036105357577804684,0.004448150729428686
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.0009974644211989334,-0.06066951533873169,0.0015942423550177386
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.04184945958142697,-0.0792480883985561,0.0025984245108472623
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.2327371978813206,0.22154859362025608,0.001949951501135377
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.029661632780901295,-0.0007371849611371023,0.003624229376344339
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.05692956042372102,0.12412425461392351,0.0028738894210508666
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.07777545615233046,0.06802691505701713,0.0012762546403077741
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.00773568645916219,-0.028240144496160094,0.001145681559705106
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.07612995116121324,0.10306139631168693,0.0005202812374104211
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.037849119503734485,0.05453314210520782,0.0063070417202220905
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.012764289052621707,-0.040968186310269494,0.0113928893282317
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.06615272897076184,-0.026895739609565192,0.007325562386959833
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.07259315941469258,-0.13694326228085696,0.005168241489238028
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.00558930789551311,0.0008352048712058427,0.011331180025177686
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0501145584188646,0.10955844473189974,0.0014572817820222661
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.06027994370745718,-0.03146065546328594,0.008998570005214564
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.09623040055288767,-0.07104567612648996,0.005198834643082379
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.04371056108833142,0.09656510436662527,0.0024209700737742898
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.1163478802807296,-0.06840327031339,0.005133646396715941
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.10796416458675456,0.01949769844530455,0.0032027615659727736
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.04992579563634045,0.059638601001511624,0.000725576218924192
