event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.00883606887172158,0.014881271306640631,0.0031432357253291434
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03473088207906624,-0.022689588690584406,0.003766168389565055
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.02383702467452738,0.022745454477480817,0.004108289649564421
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.023719285035972645,0.0028772553118325273,0.025548772204410243
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.0011019195201223374,-0.012677229195498997,0.009401722721055893
12,6,2014-07,8.0,11.0,0.375,3,state,0.029252869316670167,0.015384010958685697,0.08308265184244938
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.01887479722314568,-0.05874311605649641,0.017002196213422527
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.0005161845284368857,0.02982605518932583,0.020879457973962817
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.008684829795717969,-0.006062323856749992,0.003828117521698016
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.006405323873575598,-0.008751121652684206,0.003456184072911849
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02935386562763659,0.06502734647799002,0.0011138560153047057
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.026435693639731448,-0.038954011038617085,0.07203035374638761
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.015855088207629965,-0.042314067571272845,0.0061856272672317185
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.026621671776814033,-0.005880405525091371,0.007579425140358133
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.044167564271757956,0.033548652010348755,0.05762225026433718
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.03183049767610309,0.02992359673170892,0.0032006190352254385
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.008423675930211809,-0.02722732645414922,0.019940532277667098
41,25,2015-01,8.0,11.0,0.375,3,state,0.01814062843773219,0.002706048503617206,0.035519503478744045
43,26,2014-09,7.4,9.25,0.25,1,state,0.030686144288311623,0.00041594169988087154,0.04127590387480139
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.010704161056983116,-0.042249516103243054,0.05270061983248949
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.004415203552797703,-0.01791102931031116,0.024810803734654076
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.04525771839802218,0.05845985640458759,0.028123345476289245
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.03611309711335876,0.012117037996423344,0.004932768546457028
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.0025784710913202176,-0.0005394331659217613,0.007378157284250836
53,31,2023-01,9.0,13.5,0.5,3,state,-0.03612705492721784,-0.011573009714525961,0.00953229655069901
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.01751602657453584,-0.005889829454920406,0.01339884245222424
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.010277546820610654,0.000239375652742721,0.049288056567710105
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.002938823749576651,-0.014439788327096595,0.04733256533838009
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.0364259548469234,0.008643657303264933,0.003492199535085928
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.036106832327911224,-0.0011181738387238474,0.029198947882689244
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.03162877229849599,-0.012883673360309614,0.048941866891021125
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.005957793389478109,-0.03315078627091128,0.014278181112065367
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.001027111428381456,-0.0165063513196854,0.004735294750339229
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.007644990306338209,0.013723451086989427,0.003554629345152508
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.011249296949239339,0.011261215696541538,0.003586983561295575
76,50,2018-01,10.0,11.75,0.175,2,state,-0.001255807082610659,0.024444448062554025,0.0031987338655456773
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.012755340486338872,-0.006049952788205068,0.04325415992156606
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.025947602691971786,-0.03166998524005202,0.02816208613971424
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.012504688492357263,-0.012249685275824054,0.005806965587480141
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.008788518054865068,0.048209793907756426,0.007896043553573394
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.0066146372659402,-0.008805958875927947,0.03246516363472134
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
