event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.009304689582938404,-0.008889359670993621,0.0022647948130154966
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.012310850580776439,-0.00789193173140159,0.0026845671917279804
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.033176000793115,-0.09125294999998179,0.0027292743458239366
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.028861866938625455,-0.03439267052206971,0.041065003878916026
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.04851494688183802,0.02867912278968495,0.017472278278640403
12,6,2014-07,8.0,11.0,0.375,3,state,0.015764739964175795,-0.0017888980771565213,0.11237053182832568
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.012088616933647867,-0.033321041987377176,0.018625374945464485
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.03295612193415877,0.031856956674297686,0.012358007131367692
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.016849941575935244,0.013635690548688455,0.004546819280724744
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.001034878679580624,-0.04654837167504904,0.003870576524865145
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.017942614277316943,0.021228000059733326,0.0026457945779556785
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.00849350569406708,-0.005725422697851791,0.08994173181343956
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.01751835576392287,0.02282252575676804,0.005364346964441133
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.008882063561618705,-0.022647292792747423,0.005342322803183551
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0077246426057094,0.02418116158078075,0.034046888159200206
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.04134953851660492,0.007021798070287827,0.004051565141081394
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04664964026795661,0.07100649406412635,0.013963171037962374
41,25,2015-01,8.0,11.0,0.375,3,state,-0.0073492559597881785,-0.018240694005267635,0.02443775446809343
43,26,2014-09,7.4,9.25,0.25,1,state,0.02680742026900002,-0.007065265277301565,0.03847202881090021
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.06142743487379211,-0.06631132385795653,0.04745394114106598
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.003146666972326545,0.04601143059945996,0.013178645376090349
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.05649166873748023,0.03742425731159288,0.0255958763857699
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.05916845819287706,-0.10326454463651516,0.003481278223215909
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.018119270928138274,-0.004453122280182555,0.006909371598879937
53,31,2023-01,9.0,13.5,0.5,3,state,0.03814892886327501,0.019168734908861812,0.0102388730014819
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.032069149090230405,-0.02832975106274971,0.012671940049106574
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.005144540745111125,0.020811422807306156,0.027669112092465677
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.015167983619809935,-0.01895471387697429,0.030986923517751848
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.02816366606296423,-0.03501971206688451,0.0061720402098667144
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.025519672027090833,0.007611558415621514,0.030396180240857974
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.00016916251131881763,-0.02158954358756196,0.05381527700190603
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.055968139226176675,0.018806329664938906,0.017384982366401635
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.0057463321915358564,0.028337533532071697,0.004756762626172718
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.01593719172876589,0.004977258019366666,0.003100951353116142
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.041864446040032074,0.005243909939325372,0.004345746179795351
76,50,2018-01,10.0,11.75,0.175,2,state,0.02973120211638318,0.03473893224582136,0.00223744312178121
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.005249141184634602,0.0033135179536125103,0.021685992027013396
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.00011570606240254855,-0.01070772715907984,0.027658061605366963
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.0074746880919069475,0.003942222093944361,0.009991919458304055
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.05138643135454739,0.07864025060382668,0.003925395993908277
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.012667690973942533,0.008363022386973971,0.06653780595938366
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.0021567446638944693,0.02011126658224558,0.013569654843424712
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.006110414795565224,0.05663069262690913,0.0012654222967676508
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.040335587366421614,0.10317150833144606,0.0008148981880123248
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.05325192001789254,0.007657317951754734,0.005944324249388136
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.11493949311374835,-0.09420320636608312,0.0034925348034200152
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.1583433980430484,-0.09125690958376312,0.0014003143639215092
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.06483832318790739,-0.1825596901653364,0.0017280810672812036
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.03027857591554632,0.019341375800421057,0.013020812690535613
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.005250174106352607,0.032468566787611605,0.0007831875556551786
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.08980999227981584,,0.0006827712331237515
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.11965717715182857,0.01038574344037635,0.0032204639964510096
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.05399311533595491,-0.07763363323546318,0.002086744424869372
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.039412456626329195,-0.1254528385885299,0.0027210430840766265
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.05565108550548635,0.0985626750266925,0.0010174115419964924
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.006684044972178126,0.0021379506729225506,0.0042715762280377545
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.028111037567396916,0.052877398898286326,0.003639642942330344
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.1104236362911163,-0.08333817793293562,0.0019127745620285729
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.05275263575308791,0.06002450145153583,0.0016990624499546522
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.03776840386505728,-0.13986114346764647,0.0002955609073868968
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.20807881946614415,-0.06558862480779942,0.0006466644074461114
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.00678109278713725,0.045209681516041184,0.010900782800284699
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.011999838085037353,-0.003470372434074293,0.016906297600979926
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.028202862277334456,-0.005050850889261903,0.0037542532435288775
