event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.004574321647011364,-0.0032683796686024252,0.003919990727358481
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03648744330262607,-0.026343301142387428,0.004020505840636627
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.02462288391891108,0.019522553228068784,0.003675856702681284
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.0008316734381180399,-0.010936075879486168,0.030243747423691077
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.030370393673812217,-0.007011752642565407,0.012497850801389767
12,6,2014-07,8.0,11.0,0.375,3,state,0.02592896162135227,0.01138714535101152,0.09741022289602594
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.05082153653463561,-0.0824729101239576,0.016748522943768614
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.009895767827700387,0.021757569055531376,0.018381862496768073
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.011391687149282168,0.024661520796949957,0.003961359380482816
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.0006592477720002744,-0.013586085832653666,0.003546970654061548
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.020661496230601505,0.0772876033120253,0.0015745780065628877
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.017235355842986196,0.006690874468642839,0.07323048129451715
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.014939492379925715,-0.021981001293297033,0.006070593809100999
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.021050649205781185,-0.004860794198553238,0.006331067679870613
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.04552228630409411,0.05582681981880391,0.04775269473748888
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.07985028084780016,0.05722682663528083,0.0033241279246519024
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.03404440618973167,0.02060536102335822,0.018662265202728286
41,25,2015-01,8.0,11.0,0.375,3,state,0.037088048116487665,0.015056103356965791,0.031171848721803376
43,26,2014-09,7.4,9.25,0.25,1,state,0.027583299171998227,0.012326463668993669,0.04138148346088518
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.013064864122063133,-0.006550226771176115,0.042163945715432735
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.01245075788349357,0.010962545545115568,0.021798610475901436
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.02625436502606804,0.05760106224439292,0.02748137185827346
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.0217863120491201,-0.007689245138809253,0.004545871078902591
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.010692933192467936,0.02361517536629066,0.00710097125474737
53,31,2023-01,9.0,13.5,0.5,3,state,-0.00561825529343235,0.01578870313159396,0.009492550067130484
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.00566439694702401,0.004077002746258371,0.012096066678872603
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.027767655325707075,-0.01400249743368287,0.041731912749862196
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.013400522673111561,-0.022463719938432068,0.03895959634283353
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.011773825188835536,-0.012757083756254207,0.004760960217906535
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.024265799438718337,0.022059510884970192,0.033390337671377356
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.019397476280384518,-0.029155534256310997,0.04950010304144066
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.04624973783559027,0.0125648538350117,0.01623481816715572
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.0002960817867948447,-0.0027520252908501963,0.0049817520038521095
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.009754672308220184,-0.00020113942445800642,0.0036536508847949335
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.0007130339740990463,-0.0032857777563273655,0.0036641110570135404
76,50,2018-01,10.0,11.75,0.175,2,state,-0.024921547801348715,0.028386544774297154,0.00294517579549937
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.014427697431537746,-0.014187462788718554,0.0369363920063036
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.009689975699940664,-0.04780623914195191,0.025642460174263998
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.005372307440149372,0.014997871819763815,0.008427474180243196
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.019299889638278476,0.026848775438854396,0.005320527843833117
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.00960632682831292,0.009675727586038123,0.04927489092457284
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.002927205950616787,0.03628582079396418,0.012479600058271043
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.0029107492482155096,0.09256749067304931,0.0023562609461266794
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.04901215633516824,0.08305046931804579,0.002147277883693336
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.06275630482839527,-0.011239686046254527,0.005236356419389239
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.13408177586271047,-0.11652017822011604,0.004971981642639384
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.133226277209409,-0.0862792782302822,0.002258275038136856
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.000706228635776799,-0.09497677809037555,0.0014047441918714155
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.008312626176358568,-0.02273933025563348,0.009420773781090765
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.07435444744392473,0.19526207883154362,0.0011627165044063477
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.07355604942567243,,0.000805928060319675
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.10490684390584686,-0.00014708755783602104,0.0037157299202133683
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.06771589126062973,-0.15879902885533168,0.0016120505689261038
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.027741200580587624,-0.06387169384777222,0.0025427078230816436
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.09873325177303069,0.13884375953944306,0.0025362983766082444
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.02594790028695962,-0.036286111767808646,0.0028551787397273674
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,-0.05417274994034325,0.051739611032603286,0.002399930662204182
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.15216742271202413,-0.11049410809588026,0.001248036765774762
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.015474978376190034,0.03577498661241889,0.001033076247641117
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,,,0.0
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.11399960365081382,0.021044214855355833,0.0006163220722252398
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.052562200527417405,0.10833475160778011,0.00672042450287014
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.005511623219267419,0.003886400919989586,0.010888119077461973
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.005090995570082919,-0.04979673593818754,0.00655960478947146
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.014168574950795949,-0.021849369498880902,0.003992551128341103
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.038201790029334555,0.02051187010982728,0.010800462644075134
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.008509553376275751,0.07258674776350353,0.001300209917434825
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.01894824493519508,-0.033469693828571234,0.009555714263714984
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.021058581140575263,-0.022378065158975193,0.004865452606456947
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,-0.07294500474481067,-0.2048575164867366,0.002095485357694536
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.11762941075310596,-0.06905258488651857,0.0045758965365745264
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.05755885528437909,0.06583366687757486,0.003561325090004808
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.23661758102859426,-0.17840809941267693,0.0002719274888657424
