event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.011422502006165387,-0.010556123767056875,0.003597434701251497
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.027309893667228392,-0.01769665683568468,0.0039575486506689675
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,6.254693472214819e-05,0.03364281362824273,0.004133126000755717
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.012533400391092978,0.02881563916610933,0.024978558007402858
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.002424748568807052,0.004902195102929566,0.010073683817541685
12,6,2014-07,8.0,11.0,0.375,3,state,0.016741286429731824,0.013759104071587576,0.08035371100470287
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0059509353765264325,0.0017019707522839891,0.018178923328789717
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.0009494457005761684,0.0011562178369054323,0.021794048154932008
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.005398100303915082,-0.013497596269853685,0.00434545805130058
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.004089402972846595,0.0036285990975925865,0.003412390468137823
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.0035702829753852102,0.01036847920212209,0.0011622935419502301
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.023548548813605987,-0.0011882387049017857,0.07352302010690602
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.00909392420901993,0.008942956666704457,0.005860278237161823
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.024057031748280795,0.003938908115874862,0.007560055836755659
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.01479550343972012,0.008458817696439063,0.05983392465373127
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.00908878612721347,-0.008521424808093783,0.0032960652268493773
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.005538160884376302,0.001935680546929502,0.017426269132993836
41,25,2015-01,8.0,11.0,0.375,3,state,0.0016171315656066491,-0.005612622727863252,0.036632658113932834
43,26,2014-09,7.4,9.25,0.25,1,state,-0.008911816179166348,-0.01464578077033365,0.039363710597773154
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.030456399326316858,-0.036679084207112314,0.045793216889054446
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.009138218569129917,0.012672253828802205,0.02709329548963019
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.005832741504486861,0.024935169431143652,0.03359116786884359
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.04019379834053516,0.014117837384236498,0.005419082176644598
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.011772558706376592,0.0014752965299698944,0.008654238853738786
