event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.035436602637537465,-0.02636503974824987,0.003570598709341127
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.015957641731311784,-0.003994130065241047,0.0037414668176206337
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.004647792659798804,-0.033570077310277294,0.040672971992169904
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.0441780790494891,0.04776651427110972,0.009866199660145169
12,6,2014-07,8.0,11.0,0.375,3,state,0.02394960026139545,0.018766434028400822,0.14217043564069448
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.033341699376504656,-0.0345966555920461,0.014466064019352309
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.015031521147747941,0.03497674560455002,0.013568433425611969
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.04153033455823409,-0.017996803512375106,0.004112623085767698
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.003969840268278936,-0.05653482272323296,0.003676965706563115
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.00523997475492778,0.04042946729178106,0.003311080334370503
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.0158246515798211,-0.007689282478194968,0.1005525512825078
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0018941371871684272,-0.011488959019762025,0.011827906522574198
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.023438710444984544,-0.009512538626907874,0.012202704912913143
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.017120206556032337,-0.0010158097392119203,0.03751550170475933
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.04321280405582271,0.1487578462342946,0.0006612048878164908
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.005783374805697877,-0.0002560665891303479,0.01897867567745283
41,25,2015-01,8.0,11.0,0.375,3,state,-0.021709414726633833,-0.02489572750970937,0.022261920022459147
43,26,2014-09,7.4,9.25,0.25,1,state,0.02178238128461556,-0.004229430653479582,0.022991921028769714
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.05680183896904868,-0.00771467694945957,0.007092369884075586
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.043283152947024416,0.07343509444901361,0.015218132531313601
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.05977519264223972,-0.09752131991939374,0.0013188663088586365
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.027424020948942245,0.04043770958243328,0.0042838812523779005
53,31,2023-01,9.0,13.5,0.5,3,state,0.03104926678385404,0.008138334983064245,0.00590006138789507
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.0033456454457477768,-0.013908717146093742,0.016616268447490336
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.00927245978596783,0.006899471891062384,0.04232083880529465
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.0032698105597602223,-0.007442474870483273,0.03694948226044048
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.01657091694762357,-0.021305287884577917,0.00786795306679052
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.023466428507858367,0.034991107531161976,0.016850215272388537
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.01643270965656168,-0.013831098612490697,0.029028931314669385
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.031132888397976094,-0.027684732445769022,0.011684952347946852
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.006741508066006787,0.02175138862238738,0.0034942829394003848
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.059976954228174104,-0.0553029472880561,0.0013995978416920633
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.08254090298170935,-0.025237667086062263,0.002070255621338619
76,50,2018-01,10.0,11.75,0.175,2,state,0.03180223872091317,0.050447461469708896,0.000641515270976565
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.006017159397290615,-0.004027495602450998,0.03440008360567471
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.03416699908524502,-0.03130258208909935,0.023504120939134125
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.00677298067517533,-0.03296186721287274,0.001549922882992716
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.0035508826917871484,0.058393407585158784,0.010946977372995347
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.0005308637212360495,0.012414749722402071,0.08303579168131456
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.002608559633378818,0.012566891441763928,0.016403801579912423
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.09298563493246492,0.030031241578623802,0.0039025255515047655
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.011691654946093191,0.08881569730052336,0.0027838238493323366
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.044148202124232594,-0.010376558155765714,0.008700710802690694
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.11240795385045213,-0.0790900348635804,0.009321535062610808
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.11402363281987367,-0.149458867249935,0.0019016434948596693
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.09428719678319304,-0.21966054917590272,0.0023987144863067775
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.03308226323281802,-0.0034865631278416243,0.014947471639078135
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.024002221331413734,-0.13748949126618606,0.00042092330246778934
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.008930808550553247,,0.0015098866769698621
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.04696404750091036,-0.004538759949591884,0.008721812125342135
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.09635478881830506,-0.11274309317842861,0.0023024416648643334
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.01961435279909873,-0.05563011622272541,0.002655902829340626
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.038625167217840574,0.18161340769424444,0.0016513526057199605
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.0070214670097585585,0.02164041040884127,0.004588383589764967
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.007122485554362595,0.04645865106483971,0.004011875928367443
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.07614476450601475,-0.03960818762293831,0.0023339789895781117
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.015693452280324746,0.041575504880923646,0.0019824738224609316
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.12008718480694736,-0.013243877377122772,0.0009580912612619649
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.028243296061478643,0.05313348327719902,0.012549756762997794
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.012462315067437623,-0.008484859339629296,0.01573277039353021
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.02277126356164531,-0.0012708271055461608,0.006854623500243052
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.05767212452299867,-0.07100028098266782,0.009627405838307297
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.00353089643288388,0.00296919559758025,0.01868247857499323
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.04802432813116296,0.1216208628276852,0.00044272306412969934
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.022269197142524042,-0.033395617766356314,0.005847516730009361
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.07551884812909991,-0.03409373251098423,0.006150625085105325
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.0586934935916858,-0.14412573808119045,0.002308199916284436
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.075958650422865,-0.06342273955686857,0.004439073387687682
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.04216806161222143,0.004644989911858627,0.002831329491692004
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.22144364364606683,0.22997908601014017,0.0007124215266360204
