event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.012164215893941559,-0.01598221816848864,0.003707315384525044
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.0038680810913320207,-0.018221132791298555,0.0029034662403223297
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.018469252508607203,0.0038217421684501873,0.025063098638331702
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.013259586485837686,-0.012586538721770527,0.017587121536649597
12,6,2014-07,8.0,11.0,0.375,3,state,0.01835808603396612,-0.008758746669845136,0.06811679245482136
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.0035279345121139657,-0.04299878462933999,0.021565502061555396
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.009760004645292392,0.02187361518264449,0.024202551638790933
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.03743819949905085,0.015801281241539213,0.004873843397677263
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.010772176411915763,0.013404022438846183,0.0036574044273984187
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02376337429957045,0.045026817186989844,0.0005773351853736714
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.04537068214630164,-0.050486304014612085,0.06075666935544632
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.023201626017478903,0.010421646364228078,0.0013412016322730997
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.056968535856744995,0.05775909073479603,0.0007672279169369638
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.05973333360930621,0.0487155263759319,0.05958104566297378
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.0025873116112807744,0.010257216388443374,0.00669943665542994
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0471311323664608,0.008986535741054437,0.01934561261107664
41,25,2015-01,8.0,11.0,0.375,3,state,0.02640625030184776,0.005034657930231404,0.044861736274494586
43,26,2014-09,7.4,9.25,0.25,1,state,0.03485174999026856,-0.004780275458405835,0.06344281415453489
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.013543700685864052,0.0006473052667448631,0.035898221870462536
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.047320780952143364,0.04821139521237747,0.03905504003150772
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.02047529597608086,-0.013018060153512728,0.007394867084667643
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.017210889387931146,-0.015904926040730773,0.011205878731911114
53,31,2023-01,9.0,13.5,0.5,3,state,-0.02114217535855173,0.002331171684870556,0.012433440751392367
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.013225059333652613,-0.008080231950595054,0.009642483892856421
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.00868565913989943,0.0006011306183378098,0.04624110678859548
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.008624491526510004,-0.024247953452014602,0.04315561309543303
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.10035649235000178,0.055019114500570676,0.0015100755047792358
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.0355980321972281,-0.009802464752890781,0.04705679142930714
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.009990862370867958,-0.009464190511700166,0.07577881625793714
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.03432828737742197,-0.00841109803539581,0.020017193209468605
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.006368233458469,-0.009220829278842525,0.006772709316186054
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.002989970149137766,0.027523598932031983,0.00582363256557899
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.02822733287744829,0.007385692137142769,0.0057637003490141215
76,50,2018-01,10.0,11.75,0.175,2,state,-0.00569182320658182,0.01923967807726723,0.004982839593746749
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.006104920483978482,-0.01389998169426284,0.03609428479362906
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.008396728512013278,-0.023298524044038947,0.03345490234719249
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.001815008200315136,-0.006453439964980705,0.014418602493730009
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.03279011085210306,0.07170767888597407,0.00308460231227592
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.02012354658138449,-0.020931165162084365,0.02034282977472342
