event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.023952185735240494,-0.043891864926007385,0.00350342740425513
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.05448720899083452,-0.0022139565329504785,0.00346767743585969
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.007101697049470186,-0.026097852503881594,0.0031502591172876426
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.017273573190223303,-0.02425239724715672,0.03104414133233083
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.01095701777498874,0.005693309842262462,0.01319899043459251
12,6,2014-07,8.0,11.0,0.375,3,state,0.020735596199537742,-0.0006385525656540936,0.09891265156769649
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.031183012432669625,0.03778425874809675,0.01727336824390645
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.007382069749574727,0.007968804120911693,0.018159698959035145
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.00760957878319507,-0.029041148237477832,0.0042914807714572395
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.010959620392614361,-0.02629020124886941,0.003491990882999893
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.01299858238239325,0.017260562070220337,0.0018065663360932382
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.019337771412583277,0.028910470270330307,0.07615446716690386
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.032573277698183974,-0.011073463338275955,0.006098210681961545
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.021195351461461336,0.0007703471720968691,0.005987778450673468
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.008015854938698587,-0.011346113256383239,0.04659586691369652
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.049024406657039186,-0.08744822061500523,0.003604062695099827
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.03768145030984042,0.011015261416841934,0.01825441257333929
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03395570137427507,-0.02533314824172607,0.032332843154162204
43,26,2014-09,7.4,9.25,0.25,1,state,1.0963698914692732e-05,-0.0027193047258062125,0.04182134069298869
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.018248607180449697,-0.006096297678721524,0.043898276375229486
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.04576401654103919,-0.009849453118727522,0.020943712161055512
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.004385078756451728,0.005949037606019725,0.026234326280918752
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.005485440821552015,-0.01223895634902597,0.004248967730911772
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.03865589607858607,-0.029193995165780084,0.007489325200315722
53,31,2023-01,9.0,13.5,0.5,3,state,0.0279230332930969,-0.05986187099647504,0.008837006095818441
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0011632488377492714,-0.015909166231369634,0.01238867403150493
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.017808566894203952,0.0015484685435337014,0.04223383012616131
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.03431254085799182,0.0075264214080132535,0.03824461004043579
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.035699504751036754,0.021929260960155086,0.004360920332130037
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.04584968290384839,0.044705139043879225,0.03092623307125528
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.007896855373756811,-0.011813563069792393,0.05067330761225239
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.040103888409877976,-0.009737877439271264,0.015232145598468293
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.02071662407153533,0.015306527686804794,0.004942583593242411
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.034102055349070064,0.013108572202068375,0.0035121033690257444
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.03196089277685252,0.038468554619026235,0.0037908971113191736
76,50,2018-01,10.0,11.75,0.175,2,state,-0.02100185443930467,0.005593163720277822,0.002749428052584492
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.019679992508597373,-0.051590569406118905,0.03359423865694412
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.004926939507362289,-0.0031081212721289636,0.027284988568477674
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.008687993792650582,0.031175952629786965,0.007815029076433498
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.037601170210551524,0.007081755845844487,0.0065520146364040285
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.002235972783569549,-0.003889322154638067,0.048194077728400196
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.04842075339470204,0.08586302500681697,0.012326212769950893
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.012681399271538042,0.030563632908245028,0.0023354409641606656
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.03530274637685808,0.016364392119223664,0.0017591109598638556
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.034639572430655415,-0.04297705195306738,0.005164805941101619
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.12987839612876684,-0.10963458943527286,0.004952558969154106
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.07462310263904506,-0.05528904234015715,0.002069320733599226
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.011723106197075499,-0.08453965834089378,0.002024829441348524
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.0009567798013044825,0.011559299610416768,0.00943983426909896
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.07659835343550256,0.0728766445237008,0.0010580796270820024
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.04024117141974271,,0.0008255390789246977
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.013031982326120503,0.0529565994297755,0.004236037064458918
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.011163143597566982,-0.08816222685729726,0.0015182196189769844
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.07628852735960394,-0.0860827572551212,0.0024745165365745742
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.1616465433429913,0.14575138974499857,0.0018569664867826264
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.033383732217551323,-0.020805871717653288,0.003451405067441877
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.05280636921207769,0.06850535576088872,0.0027368456797531794
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.05351476330773598,0.09580655708715545,0.0012153954056151753
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.08170109350282961,-0.08008567336193947,0.0010910488079618793
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,-0.12691246367991094,-0.04569235605849811,0.0002841049694043794
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.023107299830950053,0.11192459156256729,0.0004954712058276324
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0008167050656078447,-0.0016313485571400298,0.006006285334980315
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.011073142437155658,-0.016608054692226863,0.010849610186628384
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.05523511763484601,-0.0031082086332739622,0.006976237019997211
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0724476656549684,-0.13282594157370775,0.00492178971401415
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.028050002134713283,-0.013327740213781594,0.010790843541597832
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.05729217090788494,0.06564416095031178,0.0013877901216715121
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.08444619414081016,-0.031510911654787685,0.008569465916932414
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.101052183866425,-0.08041823310559656,0.004950924008575254
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,-0.007018930765201284,0.12622578254333527,0.002305524157849505
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.06500436360728987,-0.021735610011854672,0.004888844316457722
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.09109379783892044,0.030446958222181797,0.0030500352904695035
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.14237496877390787,0.13708377585048703,0.0006909765301158308
