event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.024239251263229032,0.0771978503471274,0.0028259027297556113
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.0367013711786682,-0.14572173022108365,0.0028729636001963497
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0665037981068958,-0.056705735225748774,0.043226970409393335
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.04168087418615954,0.04560699194143035,0.01839214866172834
12,6,2014-07,8.0,11.0,0.375,3,state,0.027371747706172345,0.00981857363598071,0.11828655047868573
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.02258540589226453,0.03092493393158191,0.019605952893744172
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.012588954631352726,0.012309849214095156,0.013008624330386985
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.005837530083499215,0.01151806606480206,0.004786197587714333
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.05620368322059695,-0.06462805566554633,0.004074352395070432
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.020883971225596425,0.029653580723906357,0.0027850888378789162
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.037460429174617955,0.023284537357434756,0.09467693199623217
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07243924213657857,0.01965206760015599,0.005646765995234011
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.045506654718441154,0.021715713915891277,0.005623582318695702
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.031539524713865286,-0.0033498980938714285,0.0358393689996778
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.07558291387376959,-0.019017988817038894,0.004264869595085448
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07598978623179946,0.09201816779694112,0.01469829597627765
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03020044342639981,-0.026676432234467168,0.02572433920569202
43,26,2014-09,7.4,9.25,0.25,1,state,0.07211296984331624,0.03553955169482413,0.0404974818924091
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.06180738782180026,0.036037970015468976,0.01387246706192648
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.08972899445526679,0.0769089064058798,0.0269434332550554
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.05695905332745088,-0.13874811967701775,0.0036645585420018176
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.08698961094920879,-0.043620160738850625,0.007273132191414019
53,31,2023-01,9.0,13.5,0.5,3,state,-0.03528941783198234,-0.09781834683816684,0.0107779232546922
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.05680137731725312,-0.05630396464187859,0.01333908500648108
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.01675297441946144,0.0544759027960692,0.029125819473970367
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.038300918998165706,-0.02368829909101182,0.032618305112780396
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.04353720550272267,-0.003291730334485196,0.006496982206653985
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.002783452714025393,0.04018034612301351,0.031996460726131
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.004254865315732229,-0.022864574121584408,0.05664851252404419
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.08076129592132951,0.0024915522724687916,0.018300256844882717
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.006829602642452463,0.02666346507735398,0.005007193908768818
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.004604928230203489,0.03568669113486363,0.0032642084432126933
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.07899252750634471,0.048664755562419226,0.004574538506672276
