event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.05487764625605139,-0.052650428882209055,0.003597434701251497
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.06661900580062843,-0.041109060526887425,0.0039575486506689675
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05764348494368768,-0.006682373791151011,0.004133126000755717
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.03335895467077741,-0.037986729005142814,0.024978558007402858
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.07324183338882743,-0.06820876556156244,0.010073683817541685
12,6,2014-07,8.0,11.0,0.375,3,state,-0.00193547294229034,-0.00822550721707447,0.08035371100470287
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.0017920433455321516,-0.022834594066216407,0.018178923328789717
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.023738952341901258,0.013619192999292637,0.021794048154932008
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.01328445474829442,-0.07779225327220883,0.00434545805130058
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.02224654893554752,-0.015539537209230916,0.003412390468137823
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.037033180484507974,-0.07406902071629501,0.0011622935419502301
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.01896759536349573,0.010862042440867456,0.07352302010690602
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.007172999286605943,-0.0032783814447545565,0.005860278237161823
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.01036776746612579,-0.007956676678016791,0.007560055836755659
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.002463730162475669,-0.019925244845859613,0.05983392465373127
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.08532368657543091,-0.16540771899368334,0.0032960652268493773
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.057054444108437886,0.016590793604894516,0.017426269132993836
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03142808029207938,-0.04643137956228037,0.036632658113932834
43,26,2014-09,7.4,9.25,0.25,1,state,-0.05551398664758056,-0.07827597485820467,0.039363710597773154
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.01813338378000956,0.031921977848689956,0.045793216889054446
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.030612640316797585,-0.034004259167421044,0.02709329548963019
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0228463784023901,0.048258938745993546,0.03359116786884359
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.03640946023126579,-0.04111334494588949,0.005419082176644598
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.011196251240915042,-0.011194372449601517,0.008654238853738786
53,31,2023-01,9.0,13.5,0.5,3,state,0.08129932503947791,-0.03783635246430535,0.009973548105854753
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.014147814753741189,0.0011143962176694902,0.013892393824975877
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.009596795011123375,0.007409856538538012,0.05038559311314915
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.033945313299591925,-0.0048842613655377815,0.04479094420767265
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.11176006838087972,0.11111889514871595,0.0032184657715612587
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.07670671252220264,0.05808154835652252,0.026396555769444132
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.01568344845782431,0.02070862065127628,0.047242012760017514
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.03989781465629067,-0.02224542980653854,0.01586872322836888
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.008417829406170883,0.020101802118794365,0.004941735307838493
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.004697902959760247,0.05209911602221241,0.004320367893520338
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.060160678786638055,-0.06192956427617562,0.003791207440764712
76,50,2018-01,10.0,11.75,0.175,2,state,-0.046759179834211476,-0.006695225029197963,0.003212267234296809
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.0021198378411623753,-0.056459538876182686,0.042246479628379484
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.051005362175881426,-0.03186884121063442,0.029998064920796593
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.0006802173550457119,0.04118390736944874,0.006445368257015217
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.06985418909061274,-0.01025549151885849,0.006636590644269939
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.0026541564567875587,-0.009768592836851294,0.03642511554662081
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.03929175930439083,0.0435014620034046,0.009610243689589699
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.008018194073899258,0.048214162867687524,0.002980076853369539
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.10667127303712659,-0.0902794328870785,0.0022961542600617667
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.05515222742296175,-0.06401062510060825,0.0053358247641813634
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.06949842245885676,-0.11176399141453978,0.006020423419114632
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.08280523177692363,-0.14181626238529854,0.002433498629956672
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.04350885040741538,0.05566863881121064,0.002056556211476257
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.0313696634064175,0.021812639000787754,0.005517639627786933
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.11960844327815318,0.08892829692324833,0.0016746551483559128
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.08941660152456554,,0.000505229844477925
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.09051279412549207,0.006654219772685863,0.004237105825652377
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.1647048990622159,-0.440349758040399,0.0006901739400970418
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.03276596249412149,-0.020329025449819405,0.002596777504660143
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.24211977158428452,0.07640283472852107,0.0016455024745489347
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.05610263997991817,-0.09573854253199753,0.0027314764627778825
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.05536266176675454,0.06277872144981864,0.002026343828911888
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.044315814813038736,-0.03052110143884074,0.00045304907942771383
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.020150073101136888,0.010950526503348865,0.0006839662843167536
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.028680338556274172,0.45705714109547213,0.00010544466069516458
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.15231146757773148,0.34590391217555566,0.0006582343643947022
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.0012760173850628175,-0.007731108928156885,0.002369003645186541
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.022691126645700527,-0.007731108928156885,0.005594324012353586
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.07171489234576695,-0.016790748350088265,0.008518430292605027
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,0.013934720087746688,0.018000594269002072,0.00218132823002336
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0020638182274415016,0.0019070956933892602,0.008716470167545442
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.0029056448724870173,0.03176550261339324,0.0017157706288587155
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.10923691756952,-0.04684937710909,0.009238943538549645
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.12101133506286674,-0.13477157149335967,0.005036078314378686
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.04243949809448143,-0.025377659927543886,0.002175578760078509
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.014728966351193966,-0.0034371766908713464,0.005808345032338549
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.11963727575025275,0.08118352806000238,0.003941302297116631
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.13626884255504218,0.0036382784385067396,0.000626455641115995
