event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03301601074488244,0.016951806239820233,0.003707315384525044
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.004397393434775243,-0.030522065095246576,0.0029034662403223297
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.010278684907337549,0.04907953820136121,0.025063098638331702
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.011901595773945374,0.038655034344107664,0.017587121536649597
12,6,2014-07,8.0,11.0,0.375,3,state,0.022596019353243603,-0.008419367800373334,0.06811679245482136
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.04776521935578393,0.07105935184104194,0.021565502061555396
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.0017487344418628606,0.0011593230351661377,0.024202551638790933
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.010060530434056546,-0.019071538446873218,0.004873843397677263
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.019658240453733905,-0.02180809176654047,0.0036574044273984187
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.03828902378347605,-0.11551936138617772,0.0005773351853736714
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.01188201390090201,0.03527859671047956,0.06075666935544632
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.03702584194512658,-0.07091534298825235,0.0013412016322730997
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0009621550020281165,0.0892733749367447,0.0007672279169369638
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.01789775463263768,-0.025778853537664986,0.05958104566297378
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.0427736270444287,-0.08318447296237291,0.00669943665542994
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.043756417333664664,0.020963913704227816,0.01934561261107664
41,25,2015-01,8.0,11.0,0.375,3,state,-0.031423464886506554,-0.024805845162746115,0.044861736274494586
43,26,2014-09,7.4,9.25,0.25,1,state,-0.019694379269626958,-0.0024144833560385826,0.06344281415453489
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.038627019453455105,-0.005485199055184312,0.035898221870462536
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0248766433446264,-0.0009657377826491759,0.03905504003150772
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.030629122865797435,0.02137534909244404,0.007394867084667643
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.0020655649609949422,0.0029279035080662236,0.011205878731911114
53,31,2023-01,9.0,13.5,0.5,3,state,-0.007039412328983752,-0.09222745462904858,0.012433440751392367
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.03132381260585114,0.021544362027133515,0.009642483892856421
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.017441734009573585,0.0009905288532885415,0.04624110678859548
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.024601424880611733,0.02801415910397656,0.04315561309543303
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.08604689807757429,0.060956445066289444,0.0015100755047792358
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.04499181859141741,0.03633283425733376,0.04705679142930714
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.028595267981828827,0.013236523068272776,0.07577881625793714
