event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.047933080341369005,0.05567099961516442,0.003641316560980782
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.03905783740368621,-0.017810733543744184,0.0033080039615381164
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.027856884503293294,-0.01073217854732772,0.03259863353663388
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.011952217266955806,-0.023518802464515653,0.013859911524842682
12,6,2014-07,8.0,11.0,0.375,3,state,-0.0065821147400831614,0.022564980653270672,0.10386556503767852
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0226977657776479,0.005932311860198103,0.018138308136743626
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.0017514591126701617,-0.04012564712615985,0.01906902062981723
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.009103755169580202,0.00851446453214183,0.004506370702949696
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.04302183908564183,0.043937190618774824,0.003666847470173956
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.02514748155598201,-0.04357825632612461,0.001897027632991425
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.032335936855755365,-0.034301740989340135,0.07996779620269574
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.02803329772328836,0.05166547991281922,0.006403570101113341
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.013869816179463978,0.009447264087051321,0.0062876081294209974
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.030729723299632514,-0.035434404642980644,0.048929090148788816
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.026910654057195615,0.046524595950107384,0.003784531122407153
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.009750260453049539,-0.0010892795409551126,0.019168476896639964
41,25,2015-01,8.0,11.0,0.375,3,state,-0.02573596952410137,-0.030195065182669123,0.03395186531000305
43,26,2014-09,7.4,9.25,0.25,1,state,0.01675806775999686,0.022406494857130255,0.04391548616748591
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.048391829911670486,0.027061966467108345,0.021992439421217206
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0941169777111972,-0.05442027171457331,0.02754797368550518
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.0022274764099512456,0.03600661097992408,0.004461728881021561
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.001568344703919644,0.0002802819890381225,0.007864342744358935
53,31,2023-01,9.0,13.5,0.5,3,state,0.0454597577047308,0.004090188365907965,0.009279506886491684
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.03239703878997727,0.04666825461886104,0.013009019654772972
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.019583596873544468,0.0005629780409001639,0.0443486304353779
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.009406567460624987,-0.000495657357189927,0.0401596557016457
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.08055570412111882,0.07566648793564185,0.004579287353053975
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.014474334784586554,-0.008334032979049277,0.03247482118335932
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.04103283818969092,0.018703725101767932,0.05321070301985093
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.03656489353074534,-0.00637470336155993,0.01599487410605205
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.03139034734660816,0.014045783803324718,0.005190076593050714
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.02859350230060767,-0.024467607163440153,0.00368796706096723
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0141644471734267,-0.0272351320935309,0.003980721012189107
76,50,2018-01,10.0,11.75,0.175,2,state,0.04576068180825374,-0.0207321619075429,0.0028871018387034717
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.01144704519224285,0.012016234826141892,0.03527642343837111
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.03004880206271937,0.024881321400270384,0.028651246425963457
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.0032024835675127095,0.02817107483484993,0.008206355789118753
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.03959541225481128,0.06272809321875,0.006880097657471914
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.05993642651923069,-0.05611034822285699,0.050607329147415954
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.00678922056574946,0.019052013458414396,0.012943430732411143
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.11018177271197617,-0.1702965496174178,0.002452384922556347
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.018087352568178033,-0.16667804399801617,0.0018471959947932819
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.0760432948180795,-0.0666649536595664,0.005423426415935597
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.006587054191594999,-0.01944449103955656,0.005200551472038487
114,6097,2014-07,8.0,11.0,0.375,3,both,0.02342899338857639,-0.0211843716206519,0.0021729390915414567
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.07426038852091929,0.12272138325309728,0.0021262199597050914
