event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.03510040423548341,0.13516843247470584,0.0030851487105886793
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.024308707690588793,0.11826582311277134,0.0016420889956482963
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.008935432197716003,-0.0003918369360229601,0.04142113140168322
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.04073180175851959,-0.03618182941560699,0.020079429178934863
12,6,2014-07,8.0,11.0,0.375,3,state,-0.003434304693150786,0.019435851957679717,0.129138060856348
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.022479094971342983,0.0007750816450307063,0.01833860780322499
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.05003731036350548,-0.09100046740529749,0.01420202477489264
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.05618992096307304,0.06964654685254101,0.0052252793986424725
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.02299145278469844,0.019700806846928653,0.003675211320578188
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.01880908857756372,-0.0353502800742852,0.0030405905860036975
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.009252519069289311,-0.02528542683553331,0.08579956647920604
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.006659111810975782,0.03260836023722313,0.006164795640612449
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.08620957275982186,0.10034586094605596,0.003508641866314706
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.007721595208861148,-0.026594508453489984,0.02960099238100032
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.026447634141404774,0.03093637916232539,0.004412452494479371
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.007857496008660148,-0.026680960099255024,0.016046705501072008
41,25,2015-01,8.0,11.0,0.375,3,state,-0.021196018107559444,0.01497957788241161,0.028084268823382337
43,26,2014-09,7.4,9.25,0.25,1,state,-0.01684328985884878,0.006300700786277258,0.04421268741024905
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.005927699526942221,-0.07114333660919342,0.015145115724661798
