event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.030371555324754412,0.06845866785864874,0.004214737537434819
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.04626767548532179,0.027519742969819516,0.0038534383087897683
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.011333681806151158,0.01616002456951643,0.03170483083271537
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.006803519925467877,0.0011371423647699164,0.013101625267515203
12,6,2014-07,8.0,11.0,0.375,3,state,-0.02423846430540763,-0.01837658715775725,0.10211613643739001
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.0077605449999844645,0.07005953171648649,0.01755764850139161
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.026063358249364704,-0.06218805437174413,0.019269895118676408
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.009952852610290858,-0.0143112268139865,0.004152733696202446
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.008079436391049966,-0.009717312640338649,0.003718325741192246
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.004853570522881379,-0.11145426761266891,0.0016506462850527897
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.00643700141246617,-0.01871790804151352,0.07676826514634463
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.0542293668094406,0.04433425908879013,0.006363865795973074
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0021780228188892914,0.03764479940134646,0.006636923228089577
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.04514994724022339,-0.07750017654602498,0.050059640005868315
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.07748854083739723,0.004023304062505839,0.0034847174207928047
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.03651494798241858,-0.015317346678539345,0.01956384415326397
41,25,2015-01,8.0,11.0,0.375,3,state,-0.06415848144983097,-0.0480927961833148,0.03267776894914813
43,26,2014-09,7.4,9.25,0.25,1,state,-0.011376035278631041,-0.014909244778884667,0.04338063383330731
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.024948023779900408,-0.020027868074908306,0.02285170709319344
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.029306079131929924,-0.0643006040475278,0.02880900417568587
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.00794370482428805,0.02760524638068873,0.004765483308825697
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.003469984132662113,-0.02865908078552465,0.007444021047582983
53,31,2023-01,9.0,13.5,0.5,3,state,-0.0037686153648589147,-0.05660728705293727,0.009951137662712385
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.033261681494619805,0.0038123888221677227,0.01268043084814576
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.023357275567710972,0.006236360071936564,0.043747992453593294
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.005150169943856614,0.0074222311894373005,0.04084174471027452
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.05659753049889338,0.04837423210675612,0.0049909634608234135
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.009841080787271056,-0.025898862718854387,0.03500343368457685
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.01546976760767349,0.0019357127397903184,0.051891466065527685
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.03306013613522735,-0.058684281137091454,0.017019126511629477
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.023714433027633458,-0.011430893046637858,0.005222421756139491
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.04692002603077888,-0.057607535560951884,0.003830159721988804
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.006946557588619895,-0.01579356878012045,0.003841125227884155
76,50,2018-01,10.0,11.75,0.175,2,state,0.05627399003616268,-0.029454501492846674,0.003087458014404996
