event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.010842330924157512,-0.009254788622785226,0.0041175958224480246
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.005914525334772852,0.03824345043660199,0.0034937423841533296
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.019451404863714956,-0.024300204714855722,0.002736201809836585
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0014530284618919087,-0.014728905529209912,0.023619250295365195
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.01836099811814962,0.0018260776997932604,0.01657395326664943
12,6,2014-07,8.0,11.0,0.375,3,state,-0.011577283466902455,0.01833843397011492,0.06419268397432926
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.018168058098214868,0.042431541836051245,0.02032314512612061
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.015859968045045636,-0.0378776431109592,0.022808278145976094
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.032728780990036704,0.023493200634276457,0.00459306842985856
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.012429817253845149,-0.03554778086189192,0.0034467067240433686
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.026693824216629136,-0.034664623006259776,0.0005440757523415903
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.03647654773572406,0.028024170200425247,0.05725656676881482
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.024944454918775144,-0.08113108339080771,0.0012639369738888485
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.027058397267749973,-0.08926226362195705,0.0007230290422274791
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.07310619085884046,-0.07533376153348731,0.05614866903253082
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.014000168497192683,0.003761705610314192,0.006313491938324703
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.019436183551124614,0.01198317857103448,0.01823114025012701
41,25,2015-01,8.0,11.0,0.375,3,state,-0.0559940983363478,-0.025579308275313628,0.04227731746350749
43,26,2014-09,7.4,9.25,0.25,1,state,-0.017473054098725627,0.021873481614705592,0.05978796670681904
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.024936823553014298,0.04175673498556398,0.053413619595566245
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.011660987898903935,-0.002584222024144267,0.03383017797409293
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.07976566472106747,-0.07232040554594082,0.03680513647218723
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.003869778265459284,0.02213498363648414,0.006968859640786568
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.023681321715057435,0.04081692150214322,0.0105603244980939
53,31,2023-01,9.0,13.5,0.5,3,state,0.02130843854128686,-0.015397613254888032,0.01171716847056536
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0301572904360371,-0.011613738955599806,0.009086994542090785
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.004663033856967674,0.0016696953098855327,0.04357722446593886
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.00520513377775908,0.03437540173410597,0.04066948153777132
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.04753980070395039,0.0012865586124562456,0.0014230822703515018
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.019669695544238808,0.008855695985157452,0.044345918711174305
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.036727830235662395,0.021935256901481515,0.07141330982695464
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.015323716995083086,-0.008341148872805515,0.018864032075508536
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.011240899518658976,0.006355918491248058,0.0063825434685915615
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.0022553841146108478,-0.03671621622363158,0.005488141637214807
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.042641219508558426,0.01711566991915492,0.005431662027720842
76,50,2018-01,10.0,11.75,0.175,2,state,0.03408335677612881,-0.007450049010258641,0.004695785514978696
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.02619218071185908,0.020537917700535813,0.03401494599989596
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.03655906412379428,0.022318592198000642,0.0315276145040116
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.008546273032864204,0.05111776172861737,0.013587967957319367
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.03764584950327432,-0.0348745792160457,0.0029069028984261606
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.059975391658891986,0.020877840963201832,0.019170909195974136
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.020536619314854038,0.07526845245503994,0.009154364038457518
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.05845723874736211,0.07929726932423758,0.0010357001982043727
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.056843389915200326,-0.1468486057027939,0.0009170125439242229
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.021324607851882477,-0.012549137652699438,0.0022286016580962986
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.1533358977605241,0.19166334785156264,0.0012765282576893719
114,6097,2014-07,8.0,11.0,0.375,3,both,0.0827897422040785,0.05542926085242583,0.0022863651843359266
