event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.6744715380255681,-0.6050100613456184,0.0024657363846231736
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.21675932916669516,2.2828827044718083,0.002900057825451475
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.1158857659969706,-4.64716518929613,0.0015501518200435889
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-1.782761373193861,-1.7762169629366356,0.039958082924979405
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,1.0722902835097496,1.6232115771294775,0.019589099553655495
12,6,2014-07,8.0,11.0,0.375,3,state,0.7424870036526421,-0.047250832526227304,0.12516961262468487
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.9784324992814153,0.3008616020405972,0.01750712229412755
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.3517133854319021,0.22442720779269942,0.013765371093724223
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.5182127635767395,0.6587690275183871,0.00486565997519539
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-3.420280769819563,-2.3705062070330247,0.003406076479826096
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-1.1029301208982805,0.790530857953156,0.00300299148553578
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,1.252930044955404,0.35219738652440036,0.08423391583232262
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,1.1251493118422249,0.553127907593205,0.005981982865367563
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.17753859506092318,0.3888423444985325,0.003396987139204505
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.556376571987617,0.8501769599391991,0.02892885155502374
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-2.6896043404405106,-0.4627423216517421,0.004236325901402618
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,1.938256199058983,2.7354126863161796,0.01544831147044206
41,25,2015-01,8.0,11.0,0.375,3,state,-0.7273719973597821,-0.9140750236819672,0.027443844650793834
43,26,2014-09,7.4,9.25,0.25,1,state,1.8355772298428308,0.5323929839886685,0.04220828607219264
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.9801107368585158,-1.510391166193886,0.02908917352608698
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.4920004441071064,1.244558444302717,0.014589150565547711
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,3.1493830132772116,2.745917635450407,0.02305885090727361
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-2.883932893669046,-4.542112902049405,0.0030747829586148696
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.24619371912578836,0.46400370103526933,0.007033317759506821
53,31,2023-01,9.0,13.5,0.5,3,state,-1.4165150717833357,-2.9913486390494706,0.007254750282076125
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-1.4170077080937173,-0.5091192210997173,0.010799009136920017
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.2313928901411625,1.281366460307377,0.03102976620961159
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.21543909588284016,-1.1876146811530766,0.023975080403896617
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.777516528074357,-0.32102804114246775,0.005913986730414647
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-1.1896457647583596,-0.06098698257026669,0.033842954047917324
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.8352693003557219,-1.4574413881358987,0.052938915741661124
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.17435042959037683,-1.961256388165444,0.01657402629691509
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-1.2659814686217588,1.0627550623629212,0.00527278104196559
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,1.7290020362026908,2.192011485835591,0.0032010781190646067
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.6670558166334397,-0.994226504155042,0.0041321060674922635
76,50,2018-01,10.0,11.75,0.175,2,state,-0.6652490136749658,-0.38593954418836995,0.0020327958317786074
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,1.0503509128592936,0.7938287754954856,0.017267574100567177
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.714381386655947,0.15422577343756183,0.02543431013640864
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.4091603161807347,0.2920648076147616,0.011072047830165228
90,6001,2014-07,8.0,13.23,0.65375,2,both,-1.6703809999603376,-1.6807595259621209,0.004473245362408453
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.5309362855124852,0.12528095643961845,0.07481826313263266
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.5792023931164776,1.6298967556926083,0.015417340374579975
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-1.416517013176246,1.9200877922799728,0.0014420314356280498
107,6081,2014-07,8.0,13.5,0.6875,4,both,4.865520883703317,3.3013237761256526,0.0009286297601613033
110,6085,2013-04,8.0,10.5,0.3125,1,local,-2.92869997621166,-0.41235877339207594,0.006470530485954118
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-1.153474815869595,-1.2218837998052123,0.002768108430279461
114,6097,2014-07,8.0,11.0,0.375,3,both,-11.467715839574407,-7.398885779273164,0.0015957497648763845
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-1.5110417029723697,-11.854867793705765,0.001566890386519342
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-2.2094922403982253,0.677584255363864,0.014777203429410012
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,2.965011192722299,-1.650062995203109,0.0008202229772679103
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,1.9103098755087762,,0.0007188988434548411
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,1.6406631820409192,1.477766294544261,0.0036699292655528425
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-1.503237062435199,-1.4872247581021545,0.0022871021886261963
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,1.1646522008255311,-0.9182315609388074,0.0029634381688764997
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,6.166391280807318,9.35224193438988,0.001159406966573418
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.18516675613589628,-1.2317226751519428,0.004867740371136316
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,4.550839985963336,5.784089837346734,0.0034958300824160945
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.6701443078796463,1.6552440208141888,0.0021101244593983086
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,3.614914853197802,1.7746487698324636,0.0016808997861364789
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,-0.22071235238503495,-6.80440871796759,0.00033681097660705564
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-1.9357689693886098,2.7847832653497018,0.0006267135225844794
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.12029899820696444,1.648011740633784,0.01229161472945305
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-1.3692330587210326,-0.7295914627991222,0.019083583657369178
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-2.181405257031847,0.12394910557287675,0.0042782170096938394
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-1.009029864059917,-2.876772689186917,0.008476256569396072
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-1.98666353377454,-1.6119207531684105,0.01374122977847862
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.057149878214890926,5.3354591190585765,0.001087084989970938
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,1.4679507446036535,1.7793848335071871,0.006121244291666148
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-4.042309585493038,-2.629849949162492,0.004336087651075114
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,1.6500968899123332,5.272757269948388,0.0025412817051229547
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-1.0433388541377593,-1.32118994495627,0.0037792420322019494
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-4.590108753572699,-7.722931883706558,0.0008587349936339776
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-1.7278379826858394,-4.959081535166186,0.0007653867783769411
