event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.05392299728831587,-0.01428426495133528,0.003641316560980782
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.012873887972907228,-0.043291313929064434,0.0033080039615381164
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.004363447972814086,-0.017106571971405943,0.03259863353663388
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.008781049803058175,0.019096842114757123,0.013859911524842682
12,6,2014-07,8.0,11.0,0.375,3,state,0.025578512506613,0.009756412770674266,0.10386556503767852
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.01060873422882394,-0.002380359901073492,0.018138308136743626
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.0026024831382717023,0.030851854617004126,0.01906902062981723
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.005766496028959775,-0.022077175383999337,0.004506370702949696
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.025878830082583237,-0.048283582481027515,0.003666847470173956
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.04619431315542101,0.06421114403444717,0.001897027632991425
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.010201083597650595,0.00498145350083079,0.07996779620269574
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.013591608473234984,-0.03829259177712277,0.006403570101113341
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.038948310657241025,0.00965009321126642,0.0062876081294209974
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.010732979913762389,0.0006362753145142397,0.048929090148788816
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.02439445863590918,-0.055454805915971295,0.003784531122407153
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.06602713234086399,0.035818290335294434,0.019168476896639964
41,25,2015-01,8.0,11.0,0.375,3,state,-0.032322985653123026,-0.046097214224102706,0.03395186531000305
43,26,2014-09,7.4,9.25,0.25,1,state,0.011139306147371741,-0.011459080325703336,0.04391548616748591
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.029111212113106424,0.0015584673755447143,0.021992439421217206
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.037377215036443714,0.0630455998624169,0.02754797368550518
