event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.2845774313290381,0.20902563755450876,0.00409888950697813
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.16680636213727196,0.027229470647096576,0.003517344089728676
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.09195139141375042,-0.028717224123366858,0.02504635893398317
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.05440743031161088,-0.026124348075085013,0.015995275922769968
12,6,2014-07,8.0,11.0,0.375,3,state,0.10467782556863314,-0.008263260747384038,0.05016324593357222
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.06770733721510691,-0.09464404889730949,0.020224128553375423
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.01004966114982464,-0.01846263122858227,0.021748335134904317
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.30888337705708935,0.2863159506900774,0.004930438411684698
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.006428199558084602,0.03537570773556009,0.005095116851860766
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.6190734943928635,-0.02086400569200597,0.0002870681165825688
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.009183088313246435,-0.042661110987376905,0.06045524660373815
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.4211438789770736,0.34503171097152885,0.0011829033250370384
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.3911516086499143,-0.23473416449681128,0.0006765658002848206
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.058106833553963844,-0.066217601517363,0.05899698711972117
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.020488902923380348,0.004370039382890045,0.009919058823632435
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.2410289297325925,0.22607452287850593,0.01540332119851865
41,25,2015-01,8.0,11.0,0.375,3,state,0.314765605687255,0.15453312000832842,0.045417488660743084
43,26,2014-09,7.4,9.25,0.25,1,state,0.09326367848145156,0.07128766190691982,0.069907130073886
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.03869901996992575,-0.034857981594415666,0.047195507531669914
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.18631178210352028,0.14932621368510635,0.0477351235955613
