event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.032042591405538,-0.028068321036738952,0.004835961292018501
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.08233237862997411,0.03484884551380785,0.004689687590113212
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.13376724467302648,0.06512582467445771,0.03880620483580831
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.03572357098691348,0.00610447479587517,0.014541605852764098
12,6,2014-07,8.0,11.0,0.375,3,California,0.045522276569334164,-3.4058601101616404e-05,0.12291466865891072
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.059876847826157764,-0.07327936651298694,0.024266736599894128
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.00846716006863013,0.01294824778682635,0.018994865186194382
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.004069446107789032,0.016028079968860354,0.004975843670586
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.015633140044054916,0.008754161189319598,0.005732508685460586
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.002221902451774227,-0.012858450119358933,0.0006720880990966338
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.01786318983457813,-0.011908036266013333,0.06828308424811372
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.06627240234689902,0.04444740271496772,0.006247505646662574
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.07575349874193582,-0.01354696993044624,0.00576162521192671
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.03173549333306058,-0.02234515937356063,0.06749066702445013
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.11677829649038551,0.0022792160823221774,0.008346926389818553
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.06411901733017034,0.015177046485483903,0.019987098598800535
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.0630580231686908,0.012163960096401194,0.039985073839406485
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.017804334575897363,-0.00941356879291888,0.05029091472348327
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.05222634623960665,-0.0037760661913599503,0.04105924901686518
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.08851547842157992,0.05020409958342342,0.03748865397264648
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.04391626959941908,-0.02269272874600814,0.007920627510147663
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.11188326904330093,0.05395423398519372,0.013475413579376516
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.031174340043415977,-0.0046572686101438165,0.017511491773683597
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.05318448333676373,0.020834051283998622,0.012326236162403673
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.01268462483459254,-0.02404771475275047,0.035521995769882554
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.04959740768918386,0.019167834151601948,0.03850870552407396
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.03650195982307369,-0.06280811901369399,0.009439669942354768
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.02570242972118808,-0.026559257324724417,0.06605140845452796
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.005490572259663429,-0.01504444601551147,0.0800628494268886
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.002571769348050479,-0.0370439124604891,0.02113600512770047
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.08488909827823188,0.00636153660164962,0.00711214231083992
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.04129101581530248,-0.0034644008531719006,0.005962177242019064
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.03780567577848859,-0.08541829957433555,0.007896829808514326
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.0261000159562228,0.0053323996868501755,0.00513431307955257
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.05959579419661143,-0.00782453373585379,0.042252626083949245
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.051553829675218155,-0.019175460326950944,0.038087133132860794
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.04898723807217531,0.08578314680803989,0.006229405928203987
