event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.02236179031861152,-0.07399623281753698,0.00461338768590214
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.0023652586623668093,-0.03521822779110306,0.005216875596236962
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.10629012367651403,0.06268583826633933,0.03655290482149728
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.013990629050676051,-0.02155046147144901,0.013234390602095258
12,6,2014-07,8.0,11.0,0.375,3,state,0.09223760403210357,0.023352709573312147,0.07456458092392583
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.009581193912142072,-0.10750507186374003,0.02109134073039296
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.05242524034843232,0.020192845027517503,0.021027677163540943
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.05734580700931524,0.0483216059533742,0.0041416059361226425
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.005055452186015663,0.006890069982912639,0.005589941850733697
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02760717047016692,0.10661138422697669,0.000341591840838133
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.0527057683043578,-0.06039869542395704,0.06175201021988088
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.11427139367741657,0.06987018683136559,0.007332383577413551
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.06167599642175936,0.009474418747351665,0.006838374756838029
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.04064322119910213,-0.007903298010193405,0.061467578468416884
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.05321800863367099,-0.033288642064551954,0.004802104948212489
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07044023205314875,0.027295461275861355,0.01570861502529471
41,25,2015-01,8.0,11.0,0.375,3,state,0.08796593853259949,0.021166610388856366,0.036966384716600305
43,26,2014-09,7.4,9.25,0.25,1,state,0.05165157030793743,0.017687118048389516,0.052415565622139386
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.031467599990120054,-0.04116938022247352,0.03084499031233609
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.06691363040456721,0.0494025703221983,0.030862588408833564
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.03796371666257803,-0.06828355002322395,0.0070515534391731305
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.10902257128324722,0.07738731000970023,0.011284621731950228
53,31,2023-01,9.0,13.5,0.5,3,state,0.026234502524485077,0.04396742608665449,0.017823007683028705
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.03810364369698316,-0.011188746094309199,0.012786768359209989
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.03451270342604751,-0.010586465943505985,0.036669871004174404
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.06098460605305944,0.018809040898529528,0.03821861158868051
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.09674590004584638,-0.1059612174301896,0.003805582365615289
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.041829817486089715,-0.11540983062704546,0.040343251862243086
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.04152634184249204,-0.05052431788759071,0.07375572700693614
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.0010358018376567246,0.00937827890323728,0.016622334157025517
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.059711622462993885,-0.061470175630897295,0.008521404741139743
