event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.0016602536060217957,0.021456476552066214,0.0041175958224480246
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.018078741228714758,-0.022261232268112947,0.0034937423841533296
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.007381314430620775,0.04252133750615454,0.002736201809836585
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.019922280970499244,0.01090716336075953,0.023619250295365195
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.031620584603987145,0.010760461021977363,0.01657395326664943
12,6,2014-07,8.0,11.0,0.375,3,state,-0.006780802567063673,-0.009579687300269965,0.06419268397432926
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.014640123586101235,0.0005672427932890065,0.02032314512612061
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.006099963399753407,0.01600402792831493,0.022808278145976094
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0047094185090142265,-0.03929448187581605,0.00459306842985856
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.0016576408419295662,0.02214375842304539,0.0034467067240433686
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.05045719851619948,-0.010362194180730186,0.0005440757523415903
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.008894134410577594,0.022462133814186845,0.05725656676881482
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04814608093625423,0.07070943702657995,0.0012639369738888485
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.018880085516559297,0.031503172887161084,0.0007230290422274791
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.013372857249534232,0.026618235157555382,0.05614866903253082
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.011412856885912138,-0.014018921998757539,0.006313491938324703
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.027694948815336136,-0.02096971431208893,0.01823114025012701
41,25,2015-01,8.0,11.0,0.375,3,state,0.029587848034500257,0.020544650345082537,0.04227731746350749
43,26,2014-09,7.4,9.25,0.25,1,state,-0.01737869589154282,-0.017093206156299563,0.05978796670681904
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.003039600103079819,-0.0037853733860643834,0.053413619595566245
