event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.013062542707999357,0.028889386225877403,0.00393580300635924
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.03204903503852008,-0.07068429337148953,0.0029566692385949982
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.007844158043370283,-0.044652422098568095,0.03266624529995094
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.04961945242484978,0.020343328291012264,0.01250678321515423
12,6,2014-07,8.0,11.0,0.375,3,California,0.017269626385330326,0.01352698217599943,0.19741789510000537
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.025717235553231313,-0.08507952442438742,0.018565580745302197
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.024311753801323086,0.06386871293549706,0.0193882535373529
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.009138239350800006,0.02937445858936588,0.004651891154854466
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.01582363559431895,-0.0329634543460547,0.004038485762300754
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.021837273758223787,0.04160821218084372,0.0018036570697526175
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.021089151727294836,-0.039831236566212874,0.08078451354997142
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.0060190267355215155,-0.032715874503267545,0.006110651996635419
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.018532903447791252,-0.020874849701357542,0.006244259885821541
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.023677671519986454,0.04045205897453466,0.05667741956143351
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.0039554316826160285,0.04667212233580101,0.005125577911299953
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.05050935823110327,0.0206265985222487,0.024090931357744216
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.023962238972399276,0.006973870858507258,0.03493518509885356
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.06738787565951362,0.010652887542569392,0.04533388936101679
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.006506709560060907,-0.015822285219687204,0.02782760194633891
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.07741832654308375,0.1061640180434859,0.025456605720218472
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.004721246172817689,-0.022535423749522165,0.004639562834517128
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.013491248307468333,0.025869835150018908,0.006841400901443417
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.022283643595914837,0.040862791382278704,0.00914882993072958
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.010896841417904389,0.00454163117523175,0.014315437237418393
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.022723873140245102,-0.0037651951774987716,0.04500458534714025
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.00393853602098632,-0.017330020794680732,0.041477485992016845
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.020505414339966388,0.0405231222689134,0.011021088624476209
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.03740412840140848,-0.00898614507653376,0.0919377886218582
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.0047974551471286694,-0.01481404079638736,0.05452693888606316
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.03831357820116927,-0.049837333358076386,0.018705384821046223
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.0017590983112491104,0.022209136080065375,0.005338522359895164
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.012436822217108179,0.05026863220201866,0.003333637708665397
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.02035850674106926,0.0011859673679769922,0.0037761003579732805
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.023993150764603545,0.05572262093198084,0.0030813282652179396
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.024586633905341437,0.009885508197083157,0.03612206631513085
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.028331617668182145,-0.03417426836371301,0.031266584488849045
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,-0.003747145168924257,-0.007742911201649591,0.008945356788597383
