event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.028855070769891848,0.03532273608897071,0.003011613589823306
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.040012525769972315,-0.12081620669623974,0.0021388683115048965
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.00653381235257889,-0.06280579227230276,0.03189659109315289
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.018327073401789448,0.02992003113999203,0.010889490955322123
12,6,2014-07,8.0,11.0,0.375,3,state,0.03056664497338847,0.00482481811544834,0.10921000425576789
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.059420970717268845,-0.04428760554708809,0.016158827395325048
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.013721115923927631,0.058482999523722885,0.01881020822165203
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.005827921358083667,0.010634635572183207,0.005258658014183938
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.031322739126488794,-0.06730532939009888,0.004207267154003955
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.03944325118813465,0.006338237067811142,0.00232593545239809
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.05840156722656117,-0.07087223790063238,0.08514346472216393
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.012916071945221971,-0.0022439351365441534,0.005561691755867622
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.05235237561569089,-0.02488079841909735,0.005880280856804551
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.006188173309050589,-0.009671337194617033,0.046008329044694526
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.12544039523903308,-0.01098462003619903,0.004085109799973629
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.012474005627776272,-0.009264885619708535,0.01806577745676153
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03969885212294384,-0.028608525708548077,0.0348492763096615
43,26,2014-09,7.4,9.25,0.25,1,state,0.07478122234673487,-0.0009452533357366746,0.045942622979464415
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.057276541571293096,-0.0019662436150876816,0.021984295232500537
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0895346360721804,0.07486165239814736,0.02321207411341204
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.01886961613446652,-0.04661346165507302,0.004134971906269431
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.04986062591257933,0.021513557368134054,0.007036881449748025
53,31,2023-01,9.0,13.5,0.5,3,state,0.046843159698120244,0.04694352095421034,0.007226903028039219
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.01410219063114189,0.005381726561740241,0.014373997471150783
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.001438031758744289,0.00483400382763087,0.04104686759676729
