event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.01870631062636105,0.053326367732118546,0.02702702702702703
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.04675155227909353,-0.09574309351488702,0.02702702702702703
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.0244044102918744,-0.0400697009187195,0.02702702702702703
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.05146957171084897,0.012674339931219913,0.02702702702702703
12,6,2014-07,8.0,11.0,0.375,3,California,0.04109885899339945,0.01475572749258014,0.02702702702702703
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.036715204580775776,0.0019119655742463049,0.02702702702702703
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,-0.0024504877536702246,0.05749680325728343,0.02702702702702703
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-1.4043715112405097e-05,-0.0012930538332984465,0.02702702702702703
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.0724820646113433,-0.06937315678459641,0.02702702702702703
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.010756478063358402,0.025015597858357247,0.02702702702702703
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.016810072480515595,0.008381186885169284,0.02702702702702703
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.01619755915541886,-0.05574250614426099,0.02702702702702703
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.06403840090309379,-0.001266360092388813,0.02702702702702703
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.03841184055295521,0.059150204016982844,0.02702702702702703
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.006411149777938427,0.03229496123013301,0.02702702702702703
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.09438449833694328,0.05049666537475586,0.02702702702702703
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.02422519722701394,-0.02877418829218162,0.02702702702702703
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.055424149833010986,0.03463531984340931,0.02702702702702703
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.001093221753928536,-0.049349871326168776,0.02702702702702703
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.013535582361254947,0.06824764746542764,0.02702702702702703
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.06441189826503009,0.04211067337445751,0.02702702702702703
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.045658146055343754,-0.03946165358856785,0.02702702702702703
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.02791207953095422,-0.029672145477481066,0.02702702702702703
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.011012585428866795,-0.03239002841300759,0.02702702702702703
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.049731000717241916,-0.03034776727596092,0.02702702702702703
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.04526022391662801,0.019004828235992255,0.02702702702702703
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.0001267793098590625,0.03655009120195854,0.02702702702702703
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.01665778067908398,-0.005660551043658257,0.02702702702702703
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.001508940512209983,-0.03655050007665789,0.02702702702702703
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.014239499284710716,-0.0889603151400506,0.02702702702702703
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.014942284450250587,0.05181745579717936,0.02702702702702703
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.018112395896497033,0.007695137087882387,0.02702702702702703
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.0017385124054201256,-0.007870069106183541,0.02702702702702703
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.014139845569457701,0.003761790942799992,0.02702702702702703
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.012286431841466702,-0.0027508756226006514,0.02702702702702703
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.004520192488587496,0.020813475646840246,0.02702702702702703
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.016444594624234074,0.007697026383466671,0.02702702702702703
