event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.01870631062636105,0.053326367732118546,0.004845448030397836
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.04675155227909353,-0.11264743965383539,0.003640016310658909
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.029056946299794828,-0.0400697009187195,0.04021608644878723
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.05146957171084897,0.012674339931219913,0.015397358048298221
12,6,2014-07,8.0,11.0,0.375,3,California,0.04109885899339945,0.01475572749258014,0.24304523103214887
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.013672852886617645,0.0019119655742463049,0.022856468301428387
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,-0.0024504877536702246,0.05749680325728343,0.02386927769596954
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-1.4043715112405097e-05,-0.0012930538332984465,0.00572703887808792
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.0787860835304803,-0.06937315678459641,0.004971862883155642
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.010756478063358402,0.025015597858357247,0.002220519315124547
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,,,0.0
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.01619755915541886,-0.05574250614426099,0.007522949353334873
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.07354329448014543,0.08503024961227496,0.006401724255356046
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.06772957921563777,0.059150204016982844,0.0697767369297327
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.01508614756896276,0.03229496123013301,0.006310204386457073
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.09438449833694328,0.05049666537475586,0.029658841082549986
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.02422519722701394,-0.02877418829218162,0.04300942490142839
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.055424149833010986,0.03463531984340931,0.055811483592977995
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.001093221753928536,-0.049349871326168776,0.03425913309780007
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.031224634253661704,0.06824764746542764,0.0313401508785748
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,,,0.0
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.045658146055343754,-0.03946165358856785,0.008422589359655378
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.02791207953095422,,0.011263312695445452
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.02195482065927425,0.005343667208950409,0.009205201246526133
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.049731000717241916,-0.03034776727596092,0.05540607064856435
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.04112246017649479,0.019004828235992255,0.051063786089177984
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.006930524930564591,0.03655009120195854,0.013568288880826665
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.01665778067908398,-0.005660551043658257,0.11318650249444273
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,,,0.0
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.019535491722258144,-0.0889603151400506,0.023028583974484422
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.014942284450250587,0.05181745579717936,0.006572364676838141
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.018112395896497033,0.007695137087882387,0.004104109947427166
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,,,0.0
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.040916900943520074,0.003761790942799992,0.0037934866022475604
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,,,0.0
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.0064123152646802795,0.020813475646840246,0.038492935236843745
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.016444594624234074,0.007697026383466671,0.011012812725251234
